entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-bihar-1107,bihar,2010,ARARIA,216652,128554,59.34,ZAKIR HUSSAIN KHAN,,49532,38.53,NARAYAN KUMAR JHA,,31471,18061,14.05,src-1b7bc1c9d39a
IN-AC-2008-bihar-1108,bihar,2010,FORBESGANJ,241677,143965,59.57,PADAM PARAG ROY 'VENU',,70463,48.94,MAYA NAND THAKUR,,43636,26827,18.63,src-1b7bc1c9d39a
IN-AC-2008-bihar-1109,bihar,2010,JOKIHAT,209567,124612,59.46,SARFRAZ ALAM,,44027,35.33,KOSHAR ZIA,,18697,25330,20.33,src-1b7bc1c9d39a
IN-AC-2008-bihar-1110,bihar,2010,NARPATGANJ,237915,149093,62.67,DEVANTI YADAV,,61106,40.99,ANIL KUMAR YADAV,,54169,6937,4.66,src-1b7bc1c9d39a
IN-AC-2008-bihar-1111,bihar,2010,RANIGANJ,229649,131191,57.13,PARMANAND RISHIDEO,,65111,49.63,SHANTI DEVI,,41458,23653,18.03,src-1b7bc1c9d39a
IN-AC-2008-bihar-1112,bihar,2010,SIKTI,211844,134957,63.71,ANANDI PRASAD YADAV,,42076,31.18,VIJAY KUMAR MANDAL,,32202,9874,7.32,src-1b7bc1c9d39a
IN-AC-2008-bihar-1113,bihar,2010,AGIAON,200627,92365,46.04,SHIVESH KUMAR,,29257,31.68,SURESH PASWAN,,24008,5249,5.69,src-1b7bc1c9d39a
IN-AC-2008-bihar-1114,bihar,2010,ARRAH,229649,113450,49.4,AMRENDRA PRATAP SINGH,,56504,49.81,SHREE KUMAR SINGH,,37564,18940,16.7,src-1b7bc1c9d39a
IN-AC-2008-bihar-1115,bihar,2010,BARHARA,232971,111049,47.67,RAGHWENDRA PRATAP SINGH,,46102,41.52,ASHA DEVI,,45019,1083,0.98,src-1b7bc1c9d39a
IN-AC-2008-bihar-1116,bihar,2010,JAGDISHPUR,239532,130261,54.38,DINESH KUMAR SINGH,,55560,42.65,SRIBHAGWAN SINGH KUSHWAHA,,45374,10186,7.82,src-1b7bc1c9d39a
IN-AC-2008-bihar-1117,bihar,2010,SANDESH,213826,112866,52.78,SANJAY SINGH (TIGER),,29988,26.57,ARUN KUMAR,,23166,6822,6.04,src-1b7bc1c9d39a
IN-AC-2008-bihar-1118,bihar,2010,SHAHPUR,239032,111194,46.52,MUNNI DEVI,,44795,40.29,DHARMPAL SINGH,,36584,8211,7.39,src-1b7bc1c9d39a
IN-AC-2008-bihar-1119,bihar,2010,TARARI,228190,127786,56,NARENDRA KUMAR PANDEY ALIAS SUNIL PANDEY,,48413,37.89,ADIB RIZVI,,34093,14320,11.21,src-1b7bc1c9d39a
IN-AC-2008-bihar-1120,bihar,2010,AURANGABAD,226141,111326,49.23,RAMADHAR SINGH,,41176,36.99,SUNIL KUMAR SINGH,,34934,6242,5.61,src-1b7bc1c9d39a
IN-AC-2008-bihar-1121,bihar,2010,GURUA,221346,120672,54.52,SURENDRA PRASAD SINHA,,46767,38.76,BINDESHWARI PRASAD YADAV,,35331,11436,9.48,src-1b7bc1c9d39a
IN-AC-2008-bihar-1122,bihar,2010,IMAMGANJ,229249,109088,47.58,UDAY NARAIN CHOUDHARY,,44126,40.45,RAUSHAN KUMAR,,42915,1211,1.11,src-1b7bc1c9d39a
IN-AC-2008-bihar-1123,bihar,2010,KUTUMBA,195497,93460,47.81,LALAN RAM,,42559,45.54,SURESH PASWAN,,28649,13910,14.89,src-1b7bc1c9d39a
IN-AC-2008-bihar-1124,bihar,2010,RAFIGANJ,246531,117986,47.86,ASHOK KUMAR SINGH,,58501,49.58,MOHAMMAD NEHALUDDIN,,34816,23685,20.07,src-1b7bc1c9d39a
IN-AC-2008-bihar-1125,bihar,2010,TIKARI,244914,131910,53.86,DR. ANIL KUMAR,,67706,51.33,BAGI KUMAR VERMA,,49165,18541,14.06,src-1b7bc1c9d39a
IN-AC-2008-bihar-1126,bihar,2010,AMARPUR,233495,115992,49.68,JANARDAN MANJHI,,47300,40.78,SURENDRA PRASAD SINGH,,29293,18007,15.53,src-1b7bc1c9d39a
IN-AC-2008-bihar-1127,bihar,2010,BANKA,204097,106691,52.27,JAVED IQBAL ANSARI,,29047,27.23,RAM NARAYAN MANDAL,,26637,2410,2.26,src-1b7bc1c9d39a
IN-AC-2008-bihar-1128,bihar,2010,BELHAR,247681,120345,48.59,GIRIDHARI YADAV,,33776,28.07,RAMDEO YADAV,,26160,7616,6.33,src-1b7bc1c9d39a
IN-AC-2008-bihar-1129,bihar,2010,DHURAIYA,226035,112758,49.89,MANISH KUMAR,,40261,35.71,NARESH DAS,,31919,8342,7.4,src-1b7bc1c9d39a
IN-AC-2008-bihar-1130,bihar,2010,KATORIA,186153,85187,45.76,SONELAL HEMBRAM,,32332,37.95,SUKLAL BESARA,,23569,8763,10.28,src-1b7bc1c9d39a
