entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-bihar-1346,bihar,2014,3,NARKATIAGANJ,Rashmi Varma,parties.IN.BJP,64602,50.6,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1346,bihar,2014,3,NARKATIAGANJ,Fakhruddin Khan,parties.IN.INC,48860,38.27,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1346,bihar,2014,3,NARKATIAGANJ,Rambhaju Mahato,,3769,2.95,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1346,bihar,2014,3,NARKATIAGANJ,Manjubala Pathak,parties.IN.IND,3694,2.89,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1346,bihar,2014,3,NARKATIAGANJ,Mukhtar Miya,,1846,1.45,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1346,bihar,2014,3,NARKATIAGANJ,Bhot Chaturvedi,parties.IN.IND,1425,1.12,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1346,bihar,2014,3,NARKATIAGANJ,Niranjan Mishra,parties.IN.IND,1137,0.89,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1346,bihar,2014,3,NARKATIAGANJ,Naushad Alam,parties.IN.IND,1133,0.89,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1346,bihar,2014,3,NARKATIAGANJ,Anand Kumar Singh,parties.IN.IND,673,0.53,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1346,bihar,2014,3,NARKATIAGANJ,Md. Jahid Hussain,parties.IN.IND,528,0.41,10,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1309,bihar,2014,20,CHIRAIA,Laxmi Narayan Prasad Yadav,parties.IN.RJD,38709,29.02,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1309,bihar,2014,20,CHIRAIA,Lal Babu Prasad Gupta,parties.IN.BJP,38081,28.55,2,lost,U,,,,crossover,src-1b7bc1c9d39a
IN-AC-2008-bihar-1309,bihar,2014,20,CHIRAIA,Manoj Kumar Singh,parties.IN.INC,25782,19.33,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1309,bihar,2014,20,CHIRAIA,Manju Devi,parties.IN.JDU,20484,15.36,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1309,bihar,2014,20,CHIRAIA,Imteyazul Haque,parties.IN.BSP,2778,2.08,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1309,bihar,2014,20,CHIRAIA,Birendra Ram,parties.IN.IND,1572,1.18,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1309,bihar,2014,20,CHIRAIA,Awadhesh Thakur,parties.IN.IND,1560,1.17,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1309,bihar,2014,20,CHIRAIA,Tanweer Alam,parties.IN.AAP,1253,0.94,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1309,bihar,2014,20,CHIRAIA,Shatrudhan Singh,parties.IN.IND,1154,0.87,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1309,bihar,2014,20,CHIRAIA,Akhileshwar Kumar,parties.IN.IND,1044,0.78,10,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1309,bihar,2014,20,CHIRAIA,MD. Ejajur Rahman,parties.IN.AIFB,981,0.74,11,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1192,bihar,2014,37,RAJNAGAR,Rama Watar Paswan,,58495,48.16,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1192,bihar,2014,37,RAJNAGAR,Ram Prit Paswan,parties.IN.BJP,55047,45.32,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1192,bihar,2014,37,RAJNAGAR,Utim Paswan,,2736,2.25,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1192,bihar,2014,37,RAJNAGAR,Lal Paswan,parties.IN.ABMP,1918,1.58,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1192,bihar,2014,37,RAJNAGAR,Ram Bilas Sadai,parties.IN.SP,1817,1.5,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1192,bihar,2014,37,RAJNAGAR,Bhogendra Prasad Paswan,,1437,1.18,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1215,bihar,2014,55,KOCHADHAMAN,Mujahid Alam,parties.IN.JDU,41288,32.65,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1215,bihar,2014,55,KOCHADHAMAN,Sadique Samdani,parties.IN.INC,31050,24.55,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1215,bihar,2014,55,KOCHADHAMAN,Abdur Rahman,parties.IN.BJP,28924,22.87,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1215,bihar,2014,55,KOCHADHAMAN,Muhammad Intekhab Alam,parties.IN.RJD,22818,18.04,4,lost,U,,,,crossover,src-1b7bc1c9d39a
IN-AC-2008-bihar-1215,bihar,2014,55,KOCHADHAMAN,Babul Alam,,2391,1.89,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1213,bihar,2014,57,BAISI,Abdus Subhan,parties.IN.RJD,52861,35.58,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1213,bihar,2014,57,BAISI,Sayed Ruknuddin,parties.IN.JDU,47794,32.17,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1213,bihar,2014,57,BAISI,Shameen Akhatar,parties.IN.BJP,41213,27.74,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1213,bihar,2014,57,BAISI,MD Parwez Hassan,parties.IN.IND,3357,2.26,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1213,bihar,2014,57,BAISI,Naval Kishor Biswas,parties.IN.IND,3328,2.24,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1226,bihar,2014,87,JALE,Rishi Mishra,parties.IN.JDU,47284,40.18,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1226,bihar,2014,87,JALE,Ramniwas Prasad,parties.IN.BJP,39564,33.62,2,lost,U,,,,crossover,src-1b7bc1c9d39a
IN-AC-2008-bihar-1226,bihar,2014,87,JALE,Ahmad Ali Tamanne,parties.IN.CPI,20579,17.49,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1226,bihar,2014,87,JALE,Md. Sargaraz Ansari,parties.IN.IND,4029,3.42,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1226,bihar,2014,87,JALE,Naresh Kumar Sah,,2296,1.95,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1226,bihar,2014,87,JALE,Bishwanath Chaudhary,parties.IN.IND,1875,1.59,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1226,bihar,2014,87,JALE,Vijay Kumar Mishra,parties.IN.IND,704,0.6,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1226,bihar,2014,87,JALE,Binay Kumar Singh,parties.IN.SP,672,0.57,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1226,bihar,2014,87,JALE,Sadre Alam Khan,parties.IN.ABMP,664,0.56,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1232,bihar,2014,112,MAHARAJGANJ,Kumar Deo Ranjan Singh,parties.IN.BJP,38407,28.1,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1232,bihar,2014,112,MAHARAJGANJ,Manik Chand Ray,parties.IN.RJD,34857,25.5,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1232,bihar,2014,112,MAHARAJGANJ,Sonamati Devi,parties.IN.JDU,31229,22.85,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1232,bihar,2014,112,MAHARAJGANJ,Hem Narayan Sah,parties.IN.IND,20332,14.88,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1232,bihar,2014,112,MAHARAJGANJ,Kuntal Krishna,parties.IN.INC,6159,4.51,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1232,bihar,2014,112,MAHARAJGANJ,Rajkumar Sen Gupta,parties.IN.IND,1728,1.26,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1232,bihar,2014,112,MAHARAJGANJ,Shri Bhagwan Singh,parties.IN.IND,1679,1.23,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1232,bihar,2014,112,MAHARAJGANJ,Ashok Kumar Verma,parties.IN.AAP,1350,0.99,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1232,bihar,2014,112,MAHARAJGANJ,Nayan Prasad,parties.IN.IND,942,0.69,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1297,bihar,2014,118,CHAPRA,Randhir Kumar Singh,,55787,44.47,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1297,bihar,2014,118,CHAPRA,Dr. C.N. Gupta,parties.IN.IND,31681,25.26,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1297,bihar,2014,118,CHAPRA,Kanhaiya Singh,parties.IN.BJP,25326,20.19,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1297,bihar,2014,118,CHAPRA,Pritam Kumar,parties.IN.IND,2991,2.38,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1297,bihar,2014,118,CHAPRA,Lalan Prasad,parties.IN.IND,2908,2.32,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1297,bihar,2014,118,CHAPRA,Santosh Kumar Pandey,,1871,1.49,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1297,bihar,2014,118,CHAPRA,Yogendra Rai,parties.IN.IND,1347,1.07,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1297,bihar,2014,118,CHAPRA,Manoj Kumar Singh,parties.IN.IND,1254,1,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1297,bihar,2014,118,CHAPRA,Chandan Gupta Alias Chandan Kumar,parties.IN.BJP,927,0.74,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1297,bihar,2014,118,CHAPRA,Krishan Kumar Gupta,parties.IN.IND,713,0.57,10,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1297,bihar,2014,118,CHAPRA,Arpana Devi,,639,0.51,11,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Awadhesh Singh,parties.IN.BJP,52528,38.8,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Rajinder Roy,parties.IN.JDU,46401,34.27,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Deo Kumar Chaurasia,parties.IN.IND,21010,15.52,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Sunil Ray,parties.IN.IND,2483,1.83,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Nishant Gandhi,parties.IN.IND,2044,1.51,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Pradeep Ray,,1831,1.35,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Sunil Kumar Sharma,parties.IN.IND,1775,1.31,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Chaturbhuwan Prasad,,1234,0.91,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Dharmveer Ray,parties.IN.IND,1208,0.89,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Poonam Devi,parties.IN.IND,1082,0.8,10,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Shiv Ranjan kumar,parties.IN.IND,1052,0.78,11,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Naresh Kumar Paswan,parties.IN.IND,784,0.58,12,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Ratnesh Kumar,parties.IN.IND,747,0.55,13,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Manok Kumar Gupta,,667,0.49,14,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1169,bihar,2014,123,HAJIPUR,Kishor Kumar,parties.IN.IND,535,0.4,15,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1333,bihar,2014,137,MOHIUDDINNAGAR,Ajay Kumar Bulganin,parties.IN.RJD,56232,49.32,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1333,bihar,2014,137,MOHIUDDINNAGAR,Rajesh Kumar Singh,parties.IN.BJP,34702,30.44,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1333,bihar,2014,137,MOHIUDDINNAGAR,Manoj Prasad Sunil,,9000,7.89,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1333,bihar,2014,137,MOHIUDDINNAGAR,Ramashary Thakur,parties.IN.IND,7338,6.44,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1333,bihar,2014,137,MOHIUDDINNAGAR,Ram Vivek Paswan,parties.IN.IND,1867,1.64,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1333,bihar,2014,137,MOHIUDDINNAGAR,Ram Niwash Ray,parties.IN.IND,1147,1.01,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1333,bihar,2014,137,MOHIUDDINNAGAR,Amrendra Kumar Yadav,parties.IN.SP,1055,0.93,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1333,bihar,2014,137,MOHIUDDINNAGAR,Radha Krishan Sah,parties.IN.IND,1033,0.91,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1333,bihar,2014,137,MOHIUDDINNAGAR,Nagina Sahni,,905,0.79,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1333,bihar,2014,137,MOHIUDDINNAGAR,Randheer Bhai,,387,0.34,10,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1333,bihar,2014,137,MOHIUDDINNAGAR,Ajay Kumar Yadav,parties.IN.IND,339,0.3,11,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1137,bihar,2014,145,SAHEBPUR KAMAL,Shri Narayan Yadav,parties.IN.RJD,53813,39.01,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1137,bihar,2014,145,SAHEBPUR KAMAL,Shashi Kant Kumar,parties.IN.BJP,37178,26.95,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1137,bihar,2014,145,SAHEBPUR KAMAL,Shabnam Perwin,parties.IN.JDU,32665,23.68,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1137,bihar,2014,145,SAHEBPUR KAMAL,Rabindra Kumar Singh,parties.IN.INC,4108,2.98,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1137,bihar,2014,145,SAHEBPUR KAMAL,Anant Kumar Poddar,parties.IN.BSP,3854,2.79,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1137,bihar,2014,145,SAHEBPUR KAMAL,Indradeo Ram,,1999,1.45,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-bihar-1137,bihar,2014,145,SAHEBPUR KAMAL,Pramod Kumar,parties.IN.IND,1787,1.3,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
