entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Nirmal Sinha,parties.IN.BJP,BJP,45576,45.04,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Mohan Mani,parties.IN.INC,INC,23589,23.31,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Lal Sai Khunte,parties.IN.BSP,BSP,22144,21.88,3,lost,U,,,,incumbent,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Raman Singh,parties.IN.IND,IND,2674,2.64,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Sawitri,parties.IN.IND,IND,1391,1.37,5,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Prem Lal,parties.IN.IND,IND,1138,1.12,6,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Nain Kumari,parties.IN.IND,IND,881,0.87,7,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Het Ram Kurre,parties.IN.IND,IND,814,0.8,8,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Dharamvir Jat,parties.IN.SSP,SSP,476,0.47,9,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Kunti Devi,parties.IN.IND,IND,441,0.44,10,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Hira Ram,parties.IN.GGP,GGP,412,0.41,11,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Ambika Bai,parties.IN.IND,IND,361,0.36,12,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Khilawan Prasad,parties.IN.IND,IND,308,0.3,13,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Nil Kanth,parties.IN.CSP,CSP,250,0.25,14,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Amaru Ram,parties.IN.IND,IND,241,0.24,15,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Radhe Shyam Anant,parties.IN.BPD,BPD,193,0.19,16,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Rakesh Bhabve,parties.IN.SP,SP,157,0.16,17,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-38,chhattisgarh,2007,38,MALKHARODA(SC),Raju,parties.IN.RPIA,RPI(A),147,0.15,18,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-88,chhattisgarh,2007,88,KHAIRAGARH,Komal Janghel,parties.IN.BJP,BJP,57949,52.21,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-88,chhattisgarh,2007,88,KHAIRAGARH,Padma Devwrat singh,parties.IN.INC,INC,41962,37.81,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-88,chhattisgarh,2007,88,KHAIRAGARH,Kumbhalal Sahu,parties.IN.BSP,BSP,4113,3.71,3,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-88,chhattisgarh,2007,88,KHAIRAGARH,Humum Das Verma,parties.IN.IND,IND,2138,1.93,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-88,chhattisgarh,2007,88,KHAIRAGARH,D.R.Yadav Pracharya,parties.IN.CVP,CVP,1355,1.22,5,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-88,chhattisgarh,2007,88,KHAIRAGARH,Bhola Sarathi,parties.IN.IND,IND,1301,1.17,6,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-88,chhattisgarh,2007,88,KHAIRAGARH,S.M.T.Kaushilya Bai Verma (Lodhi),parties.IN.IND,IND,1227,1.11,7,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-88,chhattisgarh,2007,88,KHAIRAGARH,Komal JKanghel,parties.IN.IND,IND,541,0.49,8,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-chhattisgarh-88,chhattisgarh,2007,88,KHAIRAGARH,Shamim Ahamed,parties.IN.RPIA,RPI(A),409,0.37,9,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
