entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-chhattisgarh-2411,chhattisgarh,2008,1,BHARATPUR-SONHAT,PHOOLCHAND SINGH,parties.IN.BJP,BJP,35443,39.5,1,won,U,61,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2411,chhattisgarh,2008,1,BHARATPUR-SONHAT,GULAB SINGH,parties.IN.INC,INC,28145,31.37,2,lost,U,41,Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2411,chhattisgarh,2008,1,BHARATPUR-SONHAT,YESHWANT GOND,parties.IN.GGP,GGP,9117,10.16,3,forfeit,U,34,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2411,chhattisgarh,2008,1,BHARATPUR-SONHAT,MOHAN KUMAR CHERWA,parties.IN.IND,IND,7108,7.92,4,forfeit,U,36,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2411,chhattisgarh,2008,1,BHARATPUR-SONHAT,SUSHILA SINGH,parties.IN.BSP,BSP,3608,4.02,5,forfeit,U,34,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2411,chhattisgarh,2008,1,BHARATPUR-SONHAT,BHAGWAN SINGH (GURUJI),parties.IN.IND,IND,1488,1.66,6,forfeit,U,41,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2411,chhattisgarh,2008,1,BHARATPUR-SONHAT,JANSAI CHERWA,parties.IN.SP,SP,1134,1.26,7,forfeit,U,55,Literate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2411,chhattisgarh,2008,1,BHARATPUR-SONHAT,BUDDHSEN,parties.IN.IND,IND,911,1.02,8,forfeit,U,54,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2411,chhattisgarh,2008,1,BHARATPUR-SONHAT,SANT KUMAR,parties.IN.SHS,SHS,799,0.89,9,forfeit,U,60,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2411,chhattisgarh,2008,1,BHARATPUR-SONHAT,RAMESH SINGH,parties.IN.UNK,RGOP,718,0.8,10,forfeit,U,25,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2411,chhattisgarh,2008,1,BHARATPUR-SONHAT,RITA SINGH GOND,parties.IN.LJP,LJP,653,0.73,11,forfeit,U,25,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2411,chhattisgarh,2008,1,BHARATPUR-SONHAT,SADHU SINGH,parties.IN.JDU,JD(U),607,0.68,12,forfeit,U,59,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2414,chhattisgarh,2008,2,MANENDRAGARH,DEEPAK KUMAR PATEL,parties.IN.BJP,BJP,30912,42.06,1,won,U,40,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2414,chhattisgarh,2008,2,MANENDRAGARH,RAMANUJ (RAMU BHAIYA ),parties.IN.NCP,NCP,16630,22.63,2,lost,U,54,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2414,chhattisgarh,2008,2,MANENDRAGARH,AMIR SINGH SHYAM,parties.IN.GGP,GGP,7393,10.06,3,forfeit,U,44,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2414,chhattisgarh,2008,2,MANENDRAGARH,BABA SAHAB CHANDRAPRATAP SINGH,parties.IN.BSP,BSP,6275,8.54,4,forfeit,U,47,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2414,chhattisgarh,2008,2,MANENDRAGARH,RAMESH SINGH,parties.IN.IND,IND,5295,7.2,5,forfeit,U,55,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2414,chhattisgarh,2008,2,MANENDRAGARH,SURESH AGRAWAL,parties.IN.IND,IND,2443,3.32,6,forfeit,U,51,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2414,chhattisgarh,2008,2,MANENDRAGARH,RAMASHANKAR GUPTA,parties.IN.CPI,CPI,1141,1.55,7,forfeit,U,56,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2414,chhattisgarh,2008,2,MANENDRAGARH,RAKESH KUMAR,parties.IN.GMS,GMS,819,1.11,8,forfeit,U,27,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2414,chhattisgarh,2008,2,MANENDRAGARH,KHUSHIRAM SURYAVANSI,parties.IN.IND,IND,596,0.81,9,forfeit,U,38,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2414,chhattisgarh,2008,2,MANENDRAGARH,MALTI SINGH RAJPUT,parties.IN.SP,SP,540,0.73,10,forfeit,U,40,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2414,chhattisgarh,2008,2,MANENDRAGARH,MD. AJMUDDIN ANSARI (GUDDA),parties.IN.BJSH,BJSH,527,0.72,11,forfeit,U,42,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2414,chhattisgarh,2008,2,MANENDRAGARH,AMARJEET SINGH NAGRA,parties.IN.SHS,SHS,502,0.68,12,forfeit,U,40,Others,,challenger,src-1b7bc1c9d39a
