entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-chhattisgarh-2369,chhattisgarh,2018,BASTAR,153714,128211,83.41,BAGHEL LAKHESHWAR,,74378,58.01,DR. SUBHAU KASHYAP,,40907,33471,26.1,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2370,chhattisgarh,2018,BIJAPUR,160826,78702,48.94,VIKRAM MANDAVI,,44011,55.92,MAHESH GAGDA,,22427,21584,27.42,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2371,chhattisgarh,2018,CHITRAKOT,165327,133417,80.7,DEEPAK BAIJ,,62616,46.93,LACHHURAM KASHYAP,,44846,17770,13.32,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2372,chhattisgarh,2018,DANTEWARA,187641,113663,60.57,BHIMA MANDAVI,,37990,33.42,DEVATI KARMA,,35818,2172,1.91,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2373,chhattisgarh,2018,JAGDALPUR,184420,144651,78.44,REKHCHAND JAIN,,76556,52.92,SANTOSH BAFNA,,49116,27440,18.97,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2374,chhattisgarh,2018,KONDAGAON,164741,138072,83.81,MOHAN MARKAM,,61582,44.6,LATA USENDI,,59786,1796,1.3,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2375,chhattisgarh,2018,KONTA,164744,91113,55.31,KAWASI LAKHMA,,31933,35.05,DHANIRAM BARSE,,25224,6709,7.37,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2376,chhattisgarh,2018,NARAINPUR,176030,132277,75.14,CHANDAN KASHYAP,,58652,44.34,KEDAR KASHYAP,,56005,2647,2,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2377,chhattisgarh,2018,BELTARA,211315,143799,68.05,RAJNISH KUMAR SINGH,,49601,34.49,RAJENDRA SAHU(DABBU),,43342,6259,4.35,src-1b7bc1c9d39a
IN-AC-2008-chhattisgarh-2378,chhattisgarh,2018,BILASPUR,217898,134251,61.61,SHAILESH PANDEY,,67896,50.57,AMAR AGRAWAL,,56675,11221,8.35,src-1b7bc1c9d39a
