entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-delhi-1,delhi,1983,SAROJINI NAGAR,36402,16612,45.63,RAM BHAJ,parties.IN.BJP,BJP,9566,57.58,DAMYANTI SHARMA,parties.IN.INC,INC,5942,3624,21.81,src-0c1b8f274551,minor,
IN-AC-1976-delhi-10,delhi,1983,OKHLA,73620,31335,42.56,DES RAJ CHHABRA,parties.IN.INC,INC,13737,43.84,CH. RATTAN SINGH,parties.IN.BJP,BJP,12937,800,2.55,src-0c1b8f274551,minor,
IN-AC-1976-delhi-11,delhi,1983,MALVIYA NAGAR,110736,43586,39.36,HANS RAJ SETHI,parties.IN.BJP,BJP,19987,45.86,YOGA NATH SHASTRI,parties.IN.INC,INC,19295,692,1.59,src-0c1b8f274551,minor,
IN-AC-1976-delhi-12,delhi,1983,R .K. PURAM,25588,18520,72.38,ARCHNA KUMARI,parties.IN.BJP,BJP,9508,51.34,GOPAL PRASAD SHASTRI,parties.IN.INC,INC,7561,1947,10.51,src-0c1b8f274551,minor,
IN-AC-1976-delhi-13,delhi,1983,HAUZ KHAS,62086,25993,41.87,ASHOK KUMAR JAIN,parties.IN.INC,INC,12302,47.33,BODH RAJ,parties.IN.BJP,BJP,11810,492,1.89,src-0c1b8f274551,minor,
IN-AC-1976-delhi-14,delhi,1983,RAJINDER NAGAR,65580,33105,50.48,RAM NATH VIJ,parties.IN.BJP,BJP,16771,50.66,CHAMAN LALL CHAUHAN,parties.IN.INC,INC,15800,971,2.93,src-0c1b8f274551,minor,
IN-AC-1976-delhi-15,delhi,1983,ASHOK NAGAR,105175,50857,48.35,JAGDISH MUKHI,parties.IN.BJP,BJP,27954,54.97,OM PARKASH WALIA,parties.IN.INC,INC,21287,6667,13.11,src-0c1b8f274551,minor,
IN-AC-1976-delhi-16,delhi,1983,TILAK NAGAR,72523,39169,54.01,JASPAL SINGH,parties.IN.INC,INC,19999,51.06,O.P. BABBAR,parties.IN.BJP,BJP,17723,2276,5.81,src-0c1b8f274551,minor,
IN-AC-1976-delhi-17,delhi,1983,RAJOURI GARDEN,63678,35228,55.32,SUBHASH ARYA,parties.IN.BJP,BJP,17074,48.47,H.P. MALHOTRA,parties.IN.INC,INC,15925,1149,3.26,src-0c1b8f274551,minor,
IN-AC-1976-delhi-18,delhi,1983,MOTI NAGAR,40204,29793,74.1,MADAN LAL KHURANA,parties.IN.BJP,BJP,18655,62.62,SATYA WATI CHOUDHARY,parties.IN.INC,INC,10915,7740,25.98,src-0c1b8f274551,minor,
IN-AC-1976-delhi-19,delhi,1983,SHAKUR BASTI,96552,48997,50.75,S.C. VATS,parties.IN.INC,INC,25567,52.18,JANARDAN GUPTA,parties.IN.BJP,BJP,17832,7735,15.79,src-0c1b8f274551,minor,
IN-AC-1976-delhi-2,delhi,1983,LAXMIBAI NAGAR,39610,19679,49.68,ARJUN DASS,parties.IN.INC,INC,9972,50.67,KEDAR NATH SACHDEVA,parties.IN.BJP,BJP,8144,1828,9.29,src-0c1b8f274551,minor,
