entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-1976-goa-1,goa,1999,1,MANDREM,KHALAP RAMAKANT DATTARAM,parties.IN.MAG,MAG,5401,39.6,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-1,goa,1999,1,MANDREM,PARAB SANGEETA GOPAL,parties.IN.INC,INC,4219,30.94,2,lost,U,,,,incumbent,src-1b7bc1c9d39a
IN-AC-1976-goa-1,goa,1999,1,MANDREM,PARSEKAR LAXIMIKANT YESHWANT,parties.IN.BJP,BJP,3017,22.12,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-1,goa,1999,1,MANDREM,VENGURLEKAR ANANT MAHADEV,parties.IN.IND,IND,372,2.73,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-1,goa,1999,1,MANDREM,POKE YESHWANT LAXMAN,parties.IN.SHS,SHS,243,1.78,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-1,goa,1999,1,MANDREM,POKE GOVIND SADASHIV,parties.IN.IND,IND,154,1.13,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-1,goa,1999,1,MANDREM,KASHALKAR VISHNU VITHAL,parties.IN.IND,IND,133,0.98,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-1,goa,1999,1,MANDREM,GOVEKAR PRAKASH MAHADEV,parties.IN.GRCP,GRCP,99,0.73,8,forfeit,U,,,,crossover,src-1b7bc1c9d39a
IN-AC-1976-goa-2,goa,1999,2,PERNEM,DESHPRABHU JITENDRA RAGHURAJ,parties.IN.INC,INC,5129,41.32,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-2,goa,1999,2,PERNEM,KOTKAR PARSHURAM NAGESH,parties.IN.MAG,MAG,3963,31.93,2,lost,U,,,,incumbent,src-1b7bc1c9d39a
IN-AC-1976-goa-2,goa,1999,2,PERNEM,PRABHU DESSAI UDAY DATTRAM,parties.IN.BJP,BJP,2762,22.25,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-2,goa,1999,2,PERNEM,POLJI CHANDRASHEKHAR PRABHAKAR,parties.IN.SHS,SHS,559,4.5,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-3,goa,1999,3,DARGALIM,AZGAONKAR MONOHAR TRIMBAK,parties.IN.INC,INC,4328,42.92,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-3,goa,1999,3,DARGALIM,DHARGALKAR BALKRISHNA ATMARAM,parties.IN.BJP,BJP,3232,32.05,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-3,goa,1999,3,DARGALIM,HARMALKAR RAMESH MUKUND,parties.IN.MAG,MAG,1934,19.18,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-3,goa,1999,3,DARGALIM,MANDREKAR DEU GUNAJI,parties.IN.IND,IND,296,2.94,4,forfeit,U,,,,incumbent,src-1b7bc1c9d39a
IN-AC-1976-goa-3,goa,1999,3,DARGALIM,RAO NARAYAN BHIKAJI,parties.IN.JD,JD,161,1.6,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-goa-3,goa,1999,3,DARGALIM,PARSHEKAR RESHA RAJANIKANT,parties.IN.GVP,GVP,133,1.32,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
