entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-goa-1,goa,1999,MANDREM,18601,13638,73.32,KHALAP RAMAKANT DATTARAM,parties.IN.MAG,MAG,5401,39.6,PARAB SANGEETA GOPAL,parties.IN.INC,INC,4219,1182,8.66,src-1b7bc1c9d39a
IN-AC-1976-goa-10,goa,1999,PANAJI,18609,10471,56.27,PARRIKAR PRABHU MANOHAR,parties.IN.BJP,BJP,5396,51.53,PRABHU KESHAV LAXIMIDHAR,parties.IN.INC,INC,2647,2749,26.25,src-1b7bc1c9d39a
IN-AC-1976-goa-11,goa,1999,TALEIGAO,26051,15724,60.36,JUWARKAR SOMANTH DATTA,parties.IN.INC,INC,8288,52.71,SALKAR SUBHASH TUKARAM,parties.IN.BJP,BJP,6461,1827,11.62,src-1b7bc1c9d39a
IN-AC-1976-goa-12,goa,1999,SANTA CRUZ,25965,17388,66.97,FERNANDES VICTORIA ROMIO,parties.IN.INC,INC,8829,50.78,HOBLE ANIL RAGHUVIR,parties.IN.MAG,MAG,3442,5387,30.98,src-1b7bc1c9d39a
IN-AC-1976-goa-13,goa,1999,ST. ANDRE,21593,15562,72.07,SILVERIA FRANCIS MANUEL,parties.IN.INC,INC,7080,45.5,KAMAT DHAKANKAR AVINASH GOVIND,parties.IN.BJP,BJP,4376,2704,17.38,src-1b7bc1c9d39a
IN-AC-1976-goa-14,goa,1999,CUMBARJUA,24935,16148,64.76,NIRMALA PRABHAKAR SAWANT,parties.IN.INC,INC,6004,37.18,PARVATKAR GOVIND BHIKAJI,parties.IN.BJP,BJP,5154,850,5.26,src-1b7bc1c9d39a
IN-AC-1976-goa-15,goa,1999,BICHOLIM,21060,15402,73.13,RAUT PANDURANG DATTARAM,parties.IN.MAG,MAG,5089,33.04,PATNEKAR RAJESH TULSHIDAS,parties.IN.BJP,BJP,4999,90,0.58,src-1b7bc1c9d39a
IN-AC-1976-goa-16,goa,1999,MAEM,17310,12590,72.73,FADTE PRAKASH JAGNNATH,parties.IN.BJP,BJP,3420,27.16,CHOPDEKAR MURARI SAMBHA,parties.IN.INC,INC,2582,838,6.65,src-1b7bc1c9d39a
IN-AC-1976-goa-17,goa,1999,PALE,22541,16112,71.48,AMONKAR SURESH KUSO,parties.IN.BJP,BJP,7156,44.41,GAWAS GURUDAS PRABHAKAR,parties.IN.INC,INC,4805,2351,14.59,src-1b7bc1c9d39a
IN-AC-1976-goa-18,goa,1999,PORIEM,19912,14858,74.62,RANE PRATAPSINGH RAOJI,parties.IN.INC,INC,7865,52.93,DESAI SANTOBA KRISHNARAO,parties.IN.MAG,MAG,3407,4458,30,src-1b7bc1c9d39a
IN-AC-1976-goa-19,goa,1999,VALPOI,15449,10988,71.12,DESSAI VENKATESH ATMARAM,parties.IN.INC,INC,4177,38.01,HALDANKAR NARHARI TUKARAM,parties.IN.BJP,BJP,3323,854,7.77,src-1b7bc1c9d39a
IN-AC-1976-goa-2,goa,1999,PERNEM,17069,12413,72.72,DESHPRABHU JITENDRA RAGHURAJ,parties.IN.INC,INC,5129,41.32,KOTKAR PARSHURAM NAGESH,parties.IN.MAG,MAG,3963,1166,9.39,src-1b7bc1c9d39a
IN-AC-1976-goa-20,goa,1999,PONDA,28730,19190,66.79,NAIK RAVI SITARAM,parties.IN.INC,INC,9349,48.72,KHEDEKAR YESHWANT UTTAM,parties.IN.BJP,BJP,5313,4036,21.03,src-1b7bc1c9d39a
IN-AC-1976-goa-21,goa,1999,PRIOL,24107,17600,73.01,SATARKAR VISHWAS RAMNATH,parties.IN.BJP,BJP,6563,37.29,JALMI DR. KASHINATH GOVIND,parties.IN.MAG,MAG,4593,1970,11.19,src-1b7bc1c9d39a
IN-AC-1976-goa-22,goa,1999,MARCAIM,22736,16789,73.84,DHAVALIKAR RAMKRISHNA ALIAS SUDIN MADHAV,parties.IN.MAG,MAG,6537,38.94,NAIK SHRIPAD YASSO,parties.IN.BJP,BJP,5843,694,4.14,src-1b7bc1c9d39a
IN-AC-1976-goa-23,goa,1999,SIRODA,22275,16882,75.79,SHIRODKAR SUBHASH ANKUSH,parties.IN.INC,INC,9548,56.56,NAIK MANOHAR GOPAL,parties.IN.BJP,BJP,6339,3209,19.01,src-1b7bc1c9d39a
IN-AC-1976-goa-24,goa,1999,MORMUGAO,30368,15921,52.43,SHAIKH HASSAN HAROON,parties.IN.INC,INC,4721,29.65,KOCHAREKAR ARCHANA KISHOR,parties.IN.BJP,BJP,3698,1023,6.42,src-1b7bc1c9d39a
IN-AC-1976-goa-25,goa,1999,VASCO DA GAMA,33127,17188,51.89,D SOUZA JOSE PHILIPS DOMINGO,parties.IN.UGDP,UGDP,5691,33.11,ARLEKAR RAJENDRA VISHWANATH,parties.IN.BJP,BJP,4183,1508,8.77,src-1b7bc1c9d39a
IN-AC-1976-goa-26,goa,1999,CORTALIM,28219,17609,62.4,GODINHO MAUVIN HELIODORO,parties.IN.INC,INC,7230,41.06,DOURADO HERCULANO T.,parties.IN.UGDP,UGDP,6129,1101,6.25,src-1b7bc1c9d39a
IN-AC-1976-goa-27,goa,1999,LOUTOLIM,19690,0,0,ALEIXO SEQUEIRA,parties.IN.INC,INC,0,,,,,,,,src-1b7bc1c9d39a
