entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-goa-1,goa,2007,MANDREM,20602,16483,80.01,PARSEKAR LAXMIKANT,parties.IN.BJP,BJP,5858,35.54,KHALAP RAMAKANT,parties.IN.INC,INC,4148,1710,10.37,src-0c1b8f274551,minor,
IN-AC-1976-goa-10,goa,2007,PANAJI,14937,10564,70.72,MANOHAR GOPALKRISHNA PRABHU PARRIKAR,parties.IN.BJP,BJP,6004,56.83,DINAR PURSHOTTAM KAMAT TARCAR,parties.IN.INC,INC,4560,1444,13.66,src-0c1b8f274551,minor,
IN-AC-1976-goa-11,goa,2007,TALEIGAO,28993,19373,66.82,MONSERRATE ATANASIO J.,parties.IN.UGDP,UGDP,9641,49.77,SILVEIRA AGNELO MARIANO,parties.IN.BJP,BJP,5619,4022,20.77,src-0c1b8f274551,minor,
IN-AC-1976-goa-12,goa,2007,SANTA CRUZ,29368,20321,69.19,FERNANDES VICTORIA,parties.IN.INC,INC,7385,36.34,HOBLE ANIL RAGHUVIR,parties.IN.BJP,BJP,6040,1345,6.62,src-0c1b8f274551,minor,
IN-AC-1976-goa-13,goa,2007,ST. ANDRE,22197,15236,68.64,SILVEIRA FRANCISCO,parties.IN.INC,INC,8593,56.4,CAIADO ANTONIO JOAO,parties.IN.BJP,BJP,6074,2519,16.53,src-0c1b8f274551,minor,
IN-AC-1976-goa-14,goa,2007,CUMBARJUA,27785,20320,73.13,MADKAIKAR PANDURANG ARJUN,parties.IN.INC,INC,10016,49.29,SAWANT NIRMALA,parties.IN.IND,IND,9445,571,2.81,src-0c1b8f274551,minor,
IN-AC-1976-goa-15,goa,2007,BICHOLIM,23176,18368,79.25,PATNEKAR RAJESH TULSIDAS,parties.IN.BJP,BJP,9352,50.91,NARESH SAWAL,parties.IN.INC,INC,6657,2695,14.67,src-0c1b8f274551,minor,
IN-AC-1976-goa-16,goa,2007,MAEM,19137,15708,82.08,ANANT V. SHET,parties.IN.BJP,BJP,5370,34.19,ZANTYE PRAVIN,parties.IN.INC,INC,4890,480,3.06,src-0c1b8f274551,minor,
IN-AC-1976-goa-17,goa,2007,PALE,23559,18598,78.94,GURUDAS PRABHAKAR GAUNS,parties.IN.INC,INC,7768,41.77,AMONKAR SURESH KUSO,parties.IN.BJP,BJP,6177,1591,8.56,src-0c1b8f274551,minor,
IN-AC-1976-goa-18,goa,2007,PORIEM,23251,18122,77.94,RANE PRATAPSINGH RAOJI,parties.IN.INC,INC,10605,58.52,VASSUDEO RAMNATH PARAB,parties.IN.BJP,BJP,6869,3736,20.62,src-0c1b8f274551,minor,
IN-AC-1976-goa-19,goa,2007,VALPOI,17669,14002,79.25,RANE VISHWAJIT PRATAPSINGH,parties.IN.IND,IND,8590,61.35,GAONKAR PUTI,parties.IN.BJP,BJP,5041,3549,25.35,src-0c1b8f274551,minor,
IN-AC-1976-goa-2,goa,2007,PERNEM,19349,15612,80.69,SOPTE DAYANAND RAGHUNATH,parties.IN.BJP,BJP,7272,46.58,DESHPRABHU JITENDRA RAGHURAJ,parties.IN.INC,INC,4827,2445,15.66,src-0c1b8f274551,minor,
IN-AC-1976-goa-20,goa,2007,PONDA,37068,24557,66.25,NAIK RAVI,parties.IN.INC,INC,9972,40.61,MAMLEDAR LAVOO,parties.IN.MAG,MAG,8316,1656,6.75,src-0c1b8f274551,minor,
