entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-gujarat-1,gujarat,1985,ABDASA,87200,55950,64.16,KANUBHA MADHUBHA JADEJA,parties.IN.INC,INC,21435,38.31,ABDULAHAJI IBRAHIM MANOHARA,parties.IN.IND,IND,17597,3838,6.86,src-1b7bc1c9d39a
IN-AC-1976-gujarat-10,gujarat,1985,CHOTILA,88452,50152,56.7,KARAMSHIBHAI KANJIBHAI MAKWANA,parties.IN.IND,IND,28934,57.69,SAMAND MOTIBHAI HIRABHAI,parties.IN.INC,INC,18823,10111,20.16,src-1b7bc1c9d39a
IN-AC-1976-gujarat-100,gujarat,1985,PALANPUR,106155,53930,50.8,MEHTA SURESHBHAI SARABHAI,parties.IN.INC,INC,25566,47.41,PATEL PARSOTAMBHAI VELCHANDBHAI,parties.IN.BJP,BJP,8818,16748,31.06,src-1b7bc1c9d39a
IN-AC-1976-gujarat-101,gujarat,1985,VADGAM,104774,51478,49.13,PARMAR DOLATBHAI CHELARAM,parties.IN.INC,INC,33025,64.15,PARMAR MUKUL JIVRAM,parties.IN.JP,JNP,16993,16032,31.14,src-1b7bc1c9d39a
IN-AC-1976-gujarat-102,gujarat,1985,DANTA,114514,46250,40.39,BALDEVSINH D. VEGHELA,parties.IN.INC,INC,26438,57.16,IBRAHIM HABIBBHAI,parties.IN.JP,JNP,18772,7666,16.57,src-1b7bc1c9d39a
IN-AC-1976-gujarat-103,gujarat,1985,KHEDBRAHMA,97623,34518,35.36,KATARA KALJIBHAI RATNAJI,parties.IN.INC,INC,14040,40.67,DABHI MALJIBHAI SAGRAMBHAI,parties.IN.JP,JNP,6978,7062,20.45,src-1b7bc1c9d39a
IN-AC-1976-gujarat-104,gujarat,1985,IDAR,103209,51559,49.96,KARSANDAS SONERI,parties.IN.JP,JNP,25667,49.78,MANABHAI REVABHAI BHAMBHI,parties.IN.INC,INC,22920,2747,5.33,src-1b7bc1c9d39a
IN-AC-1976-gujarat-105,gujarat,1985,BHILODA,105859,59587,56.29,UPENDRA TRIVEDI,parties.IN.INC,INC,33663,56.49,KHEMABHAI HIRABHAI PATEL,parties.IN.JP,JNP,13324,20339,34.13,src-1b7bc1c9d39a
IN-AC-1976-gujarat-106,gujarat,1985,HIMATNAGAR,108776,56988,52.39,PATEL LAKHABHAI BACHECHARDAS,parties.IN.INC,INC,24801,43.52,PATEL BHAGVANDAS HARIBHAI,parties.IN.JP,JNP,17616,7185,12.61,src-1b7bc1c9d39a
IN-AC-1976-gujarat-107,gujarat,1985,PRANTIJ,97452,54609,56.04,PATEL GOVINDBHAI PRABHUDAS,parties.IN.INC,INC,24315,44.53,ZALA VINENDRASINH DILIPSINH,parties.IN.BJP,BJP,24045,270,0.5,src-1b7bc1c9d39a
IN-AC-1976-gujarat-108,gujarat,1985,MODASA,101147,48467,47.92,CHANDUSINH THAKOR,parties.IN.INC,INC,26363,54.39,HARIBHAI CHHAGANBHAI PATEL,parties.IN.IND,IND,16706,9657,19.92,src-1b7bc1c9d39a
IN-AC-1976-gujarat-109,gujarat,1985,BAYAD,91840,55358,60.28,SOLANKI RAMSINJI RUPSINHJI,parties.IN.IND,IND,18223,32.92,INDRAVIJAYSIHJI SURSIHJI SOLANKI,parties.IN.INC,INC,12577,5646,10.2,src-1b7bc1c9d39a
IN-AC-1976-gujarat-11,gujarat,1985,HALVAD,84541,42604,50.39,JIVUBHABHAI GHELUBHABHAI ZALA,parties.IN.INC,INC,19695,46.23,PATEL GANESHBHAI JIVABHAI,parties.IN.JP,JNP,11327,8368,19.64,src-1b7bc1c9d39a
IN-AC-1976-gujarat-110,gujarat,1985,MEGHRAJ,109285,47786,43.73,ZALA NARENDRASINH MANSINH,parties.IN.INC,INC,21176,44.31,CHAUHAN NATUBHAI SHIVLAL,parties.IN.JP,JNP,16667,4509,9.43,src-1b7bc1c9d39a
IN-AC-1976-gujarat-111,gujarat,1985,SANTRAMPUR,97095,36025,37.1,PANDYA PROBHKANT DAMODARDAS,parties.IN.JP,JNP,21973,60.99,DAMOR JIVABHAI MOTIBHAI,parties.IN.INC,INC,11584,10389,28.83,src-1b7bc1c9d39a
IN-AC-1976-gujarat-112,gujarat,1985,JHALOD,102782,23932,23.28,MUNIA VIRJIBHAI LIMBABHAI,parties.IN.INC,INC,17310,72.33,HATHILAL TITABHAI MEGHJIBHAI,parties.IN.JP,JNP,3845,13465,56.26,src-1b7bc1c9d39a
IN-AC-1976-gujarat-113,gujarat,1985,LIMDI,95937,18531,19.32,DAMOR MALSING FATA,parties.IN.INC,INC,12679,68.42,PALAS DALSUKHBHAI KALABHAI,parties.IN.BJP,BJP,2426,10253,55.33,src-1b7bc1c9d39a
IN-AC-1976-gujarat-114,gujarat,1985,DOHAD,92222,27424,29.74,PATEL LALITKUMAR BHAGWANDAS,parties.IN.INC,INC,22634,82.53,DINDOD DINESHKUMAR JALJIBHAI,parties.IN.JP,JNP,3305,19329,70.48,src-1b7bc1c9d39a
IN-AC-1976-gujarat-115,gujarat,1985,LIMKHEDA,104006,18502,17.79,PASAYA VIRSINGHBHAI BHULABHAI,parties.IN.INC,INC,11159,60.31,PASAYA NAGARSINH GULABSING,parties.IN.JP,JNP,4424,6735,36.4,src-1b7bc1c9d39a
IN-AC-1976-gujarat-116,gujarat,1985,DEVGADH BARIA,88323,30095,34.07,RAMAN PATEL,parties.IN.INC,INC,22256,73.95,KENDOI JAYRAJ BEHARISINH,parties.IN.JP,JNP,7040,15216,50.56,src-1b7bc1c9d39a
IN-AC-1976-gujarat-117,gujarat,1985,RAJGADH,86674,46039,53.12,PATEL SHANTILAL PARSHOTAMBHAI,parties.IN.JP,JNP,26167,56.84,URVASHIDEVI,parties.IN.INC,INC,19872,6295,13.68,src-1b7bc1c9d39a
IN-AC-1976-gujarat-118,gujarat,1985,HALOL,91798,42858,46.69,BARIA UDESINH MOHANBHAI,parties.IN.INC,INC,25121,58.61,THAKKER KIRITBHAI JAYKUSHNABHAI,parties.IN.BJP,BJP,9653,15468,36.09,src-1b7bc1c9d39a
IN-AC-1976-gujarat-119,gujarat,1985,KALOL,93416,40734,43.6,CHAUHAN PRABHATSINH PRATAPSINH,parties.IN.INC,INC,29058,71.34,SOLANKI SALAMSINH MAMGALBHAI,parties.IN.JP,JNP,10344,18714,45.95,src-1b7bc1c9d39a
IN-AC-1976-gujarat-12,gujarat,1985,DHRANGADHRA,90602,41249,45.53,SANGHVI ARVIND SAKERCHAND,parties.IN.INC,INC,20561,49.85,SHAH HASMUKHLAL MANEKLAL,parties.IN.IND,IND,16039,4522,10.97,src-1b7bc1c9d39a
IN-AC-1976-gujarat-120,gujarat,1985,GODHRA,109332,38563,35.27,KHALPA ABDULRAHIM ISMAIL,parties.IN.INC,INC,25191,65.32,SOLANKI GOPALSINH,parties.IN.BJP,BJP,6910,18281,47.4,src-1b7bc1c9d39a
IN-AC-1976-gujarat-121,gujarat,1985,SHEHRA,101621,37622,37.02,PARMAR JASHBANTSINH MANSUKH,parties.IN.INC,INC,17126,45.52,PATEL BABUBHAI KHATUBHAI,parties.IN.JP,JNP,15564,1562,4.15,src-1b7bc1c9d39a
