entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-gujarat-1,gujarat,1995,1,ABDASA,DR. NIMABEN B.,parties.IN.INC,INC,36810,47.08,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-1,gujarat,1995,1,ABDASA,CHHEDAD TARA CHAND BHAI JAGSHI,parties.IN.BJP,BJP,35471,45.37,2,lost,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-1,gujarat,1995,1,ABDASA,KARMASHI NAYA BHAI PATEL,parties.IN.IND,IND,3520,4.5,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-1,gujarat,1995,1,ABDASA,BHANUSHALI CHANDULAL LILADHAR,parties.IN.IND,IND,837,1.07,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-1,gujarat,1995,1,ABDASA,SHAH DINESH UMARSHIH,parties.IN.JD,JD,757,0.97,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-1,gujarat,1995,1,ABDASA,SHAH GULABCHAND NARSHI,parties.IN.IND,IND,492,0.63,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-1,gujarat,1995,1,ABDASA,SAIYAHAJI DHASHMSHA KHERSHA,parties.IN.BSP,BSP,293,0.37,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,MEHTA SURESHCHANDRA RUPSHANKAR,parties.IN.BJP,BJP,41829,52.01,1,won,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,JAYKUMAR SANGHAVI,parties.IN.INC,INC,32608,40.55,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,KHETANI RATILAL PREMJI,parties.IN.IND,IND,2165,2.69,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,GARANA JUSAB ISA,parties.IN.IND,IND,723,0.9,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,JAKARIYA JUSABBHAI SATI,parties.IN.IND,IND,536,0.67,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,CHAUHAN MAMAD ABDULLA,parties.IN.IND,IND,486,0.6,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,RAJGOR RAJESHKUMAR VISHANJI,parties.IN.IND,IND,396,0.49,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,GADHAVI GOPENDRA NARAYANJI,parties.IN.IND,IND,335,0.42,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,ADAM JUSAB SAMEJA,parties.IN.BSP,BSP,293,0.36,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,JADEJA CHANDRASINH RAGHUVIRSINH,parties.IN.DDP,DDP,259,0.32,10,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,PATEL RAVJI PREMJI,parties.IN.IND,IND,252,0.31,11,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,MAHESHWARI DADA LAKHMAN,parties.IN.RPI_D,RPI(D),194,0.24,12,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,PUJARA PRAHALADBHAI KESHAVJI,parties.IN.IND,IND,140,0.17,13,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,SAMA ANVARALI ABDULLA,parties.IN.IND,IND,120,0.15,14,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-2,gujarat,1995,2,MANDVI,FOFINDI SHIVJI BHUDA,parties.IN.IND,IND,85,0.11,15,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,MUKESH BABULAL ZAVERI,parties.IN.BJP,BJP,46441,49.83,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,JADEJA HAKUMATSINH GAJUBHA,parties.IN.INC,INC,40474,43.43,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,LODHIYA MUSTAK HUSEN,parties.IN.BSP,BSP,1432,1.54,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,GARVA KHIMJI JAKHU,parties.IN.IND,IND,1012,1.09,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,UPADHYAY CHHOTALAL REVASHANKAR,parties.IN.IND,IND,942,1.01,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,JUSAB HUSEN SAMA (VAKIL),parties.IN.JD,JD,529,0.57,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,DILIP DAYARAM THACKER (D.D.),parties.IN.IND,IND,443,0.48,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,MANKAD PRAFULCHANDRA KUNDANLAL,parties.IN.IND,IND,434,0.47,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,ASHOK SOLANKI,parties.IN.RPI_D,RPI(D),236,0.25,9,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,ARJAN DEVJI BHUDIYA,parties.IN.IND,IND,234,0.25,10,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,ANJARIYA SHIVKUMAR MAGANLAL,parties.IN.IND,IND,217,0.23,11,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,RAJKUMAR MOHAN,parties.IN.IND,IND,193,0.21,12,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,SHAH RAJNIKANT GANGJI,parties.IN.DDP,DDP,175,0.19,13,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-gujarat-3,gujarat,1995,3,BHUJ,THACKER MANGALDAS (KAKA),parties.IN.IND,IND,172,0.18,14,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
