entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-gujarat-1,gujarat,2007,ABDASA,137105,87912,64.12,JAYANTILAL PARSOTTAM BHANUSHALI,parties.IN.BJP,BJP,39004,44.37,JADEJA NARENDRASINH MADHAVSINHJI,parties.IN.INC,INC,28985,10019,11.4,src-0c1b8f274551,minor,
IN-AC-1976-gujarat-10,gujarat,2007,CHOTILA,184601,94476,51.18,JINJARIYA POPATBHAI SAVSIBHAI,parties.IN.INC,INC,29164,30.87,CHAUHAN SHAMJIBHAI BHIMJIBHAI,parties.IN.IND,IND,27443,1721,1.82,src-0c1b8f274551,minor,
IN-AC-1976-gujarat-100,gujarat,2007,PALANPUR,215054,128703,59.85,PRAJAPATI GOVINDBHAI MADHAVLAL,parties.IN.BJP,BJP,66835,51.93,JOSHI RAJENDRAKUMAR DHUDALAL,parties.IN.INC,INC,50735,16100,12.51,src-0c1b8f274551,minor,
IN-AC-1976-gujarat-101,gujarat,2007,VADGAM,191904,112776,58.77,VAGHELA FAKIRBHAI RAGHABHAI,parties.IN.BJP,BJP,50481,44.76,DOLATBHAI PARMAR,parties.IN.INC,INC,40776,9705,8.6,src-0c1b8f274551,minor,
IN-AC-1976-gujarat-102,gujarat,2007,DANTA,226688,137061,60.46,GADHAVI MUKESHKUMAR BHERAVDANJI,parties.IN.INC,INC,74895,54.64,SOLANKI JAVANSINH GAMBHIRSINH,parties.IN.BJP,BJP,41952,32943,24.03,src-0c1b8f274551,minor,
IN-AC-1976-gujarat-103,gujarat,2007,KHEDBRAHMA,194130,109189,56.25,ASHWIN KOTVAL,parties.IN.INC,INC,60570,55.47,BARA RAMILABEN BECHARBHAI,parties.IN.BJP,BJP,34680,25890,23.71,src-0c1b8f274551,minor,
IN-AC-1976-gujarat-104,gujarat,2007,IDAR,172054,115174,66.94,VORA RAMANLAL ISHVARLAL,parties.IN.BJP,BJP,62818,54.54,VAGHELA MANILAL JETHABHAI,parties.IN.INC,INC,47601,15217,13.21,src-0c1b8f274551,minor,
IN-AC-1976-gujarat-105,gujarat,2007,BHILODA,195623,121299,62.01,ANIL JOSHIYARA,parties.IN.INC,INC,58697,48.39,CHAUDHARI VIPULBHAI MANSINHBHAI,parties.IN.BJP,BJP,46941,11756,9.69,src-0c1b8f274551,minor,
IN-AC-1976-gujarat-106,gujarat,2007,HIMATNAGAR,196042,132066,67.37,PATEL PRAFULLBHAI KHODABHAI,parties.IN.BJP,BJP,66221,50.14,C. K. PATEL,parties.IN.INC,INC,57519,8702,6.59,src-0c1b8f274551,minor,
IN-AC-1976-gujarat-107,gujarat,2007,PRANTIJ,165298,104808,63.41,CHAUHAN JAYSINHJI MANSINHJI,parties.IN.BJP,BJP,55613,53.06,ZALA VINENDRASINH DILIPSINH,parties.IN.INC,INC,43816,11797,11.25,src-0c1b8f274551,minor,
