entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-gujarat-2854,gujarat,2013,61,LIMBDI,K.J. Rana,parties.IN.BJP,81159,56.51,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2013,61,LIMBDI,K.S. Somabhai,parties.IN.INC,56372,39.25,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2013,61,LIMBDI,S.L. Mohanbhai,parties.IN.IND,2661,1.85,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2013,61,LIMBDI,P.P. Gokalbhai,parties.IN.IND,1586,1.1,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2013,61,LIMBDI,R.S. Bachubhai,parties.IN.IND,1185,0.83,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2013,61,LIMBDI,M.L. Chaturbhai,parties.IN.IND,653,0.45,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2824,gujarat,2013,74,JETPUR,R.J. Vithalbhai,parties.IN.BJP,78216,73.23,1,won,U,,,,crossover,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2824,gujarat,2013,74,JETPUR,P.J. Gandubhai,parties.IN.INC,25310,23.7,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2824,gujarat,2013,74,JETPUR,S.M. Barot,parties.IN.IND,1196,1.12,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2824,gujarat,2013,74,JETPUR,S.K. Narotambhai (Mis),parties.IN.IND,1176,1.1,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2824,gujarat,2013,74,JETPUR,J.D. Dangar,parties.IN.IND,908,0.85,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2822,gujarat,2013,75,DHORAJI,P.M. Makadiya,parties.IN.BJP,44751,55.42,1,won,U,,,,challenger,src-1b7bc1c9d39a
