entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-gujarat-2780,gujarat,2020,1,ABDASA,JADEJA PRADHYUMANSINH MAHIPATSINH,parties.IN.BJP,BJP,71848,49.3,1,won,M,56,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2780,gujarat,2020,1,ABDASA,DR. SHANTILAL SENGHANI,parties.IN.INC,INC,35070,24.06,2,lost,M,63,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2780,gujarat,2020,1,ABDASA,PADYAR HANIF JAKAB,parties.IN.IND,IND,26463,18.16,3,lost,M,46,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2780,gujarat,2020,1,ABDASA,AKUB ACHARBHAI MUTVA,parties.IN.UNK,Bahujan Mukti Party,4983,3.42,4,forfeit,M,27,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2780,gujarat,2020,1,ABDASA,NOTA,parties.IN.UNK,,2960,2.03,5,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2780,gujarat,2020,1,ABDASA,RAMNIK SHANTILAL GARVA,parties.IN.IND,IND,1591,1.09,6,forfeit,M,33,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2780,gujarat,2020,1,ABDASA,IBRAHIM JAFAR HALEPOTRA,parties.IN.IND,IND,1239,0.85,7,forfeit,M,51,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2780,gujarat,2020,1,ABDASA,BRAHMKSHATRIY BHAGVATIBEN KHETSINHBHAI,parties.IN.IND,IND,691,0.47,8,forfeit,F,66,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2780,gujarat,2020,1,ABDASA,MAHESHWARI RAMJI ASHABHAI,parties.IN.UNK,Bhartiya Jan Parishad,375,0.26,9,forfeit,M,55,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2780,gujarat,2020,1,ABDASA,AMRUTLAL LADHABHAI PATEL,parties.IN.IND,IND,287,0.2,10,forfeit,M,67,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2780,gujarat,2020,1,ABDASA,MEGHVAL BHIMAJIBHAI BHIKHABHAI,parties.IN.UNK,Bahujan Maha Party,229,0.16,11,forfeit,M,35,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,KIRITSINH JITUBHA RANA,parties.IN.BJP,BJP,88928,55.91,1,won,M,56,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,KHACHAR CHETANBHAI  RAMKUBHAI,parties.IN.INC,INC,56878,35.76,2,lost,M,43,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,GABU NAGJIBHAI MOHANBHAI,parties.IN.IND,IND,4145,2.61,3,forfeit,M,60,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,NOTA,parties.IN.UNK,,3647,2.29,4,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,SOLANKI BHIMJIBHAI BALUBHAI,parties.IN.IND,IND,1133,0.71,5,forfeit,M,35,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,METALIYA TEJABHAI NARSHIBHAI,parties.IN.IND,IND,785,0.49,6,forfeit,M,62,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,SHAILESHBHAI UKABHAI PARMAR,parties.IN.IND,IND,751,0.47,7,forfeit,M,55,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,PARMAR DILIPBHAI MOHANBHAI,parties.IN.UNK,Akhil Bharatiya Rajarya Sabha,671,0.42,8,forfeit,M,55,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,PARMAR JAYANTIBHAI ARJANBHAI,parties.IN.IND,IND,507,0.32,9,forfeit,M,39,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,VELANI LAKHAMANBHAI CHATURBHAI,parties.IN.IND,IND,432,0.27,10,forfeit,M,38,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,RUPABHAI LAGHARBHAI RATHOD,parties.IN.IND,IND,286,0.18,11,forfeit,M,49,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,VADHER HARSHADKUMAR MOHANLAL,parties.IN.IND,IND,237,0.15,12,forfeit,M,32,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,GOYAL RAJESHBHAI THAKRSHIBHAI,parties.IN.IND,IND,234,0.15,13,forfeit,M,32,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,PANCHALA MAVJIBHAI VITTHALBHAI,parties.IN.IND,IND,221,0.14,14,forfeit,M,42,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2854,gujarat,2020,61,LIMBDI,MAKWANA DALPATBHAI LAGHARBHAI,parties.IN.IND,IND,197,0.12,15,forfeit,M,61,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2785,gujarat,2020,65,MORVI,BRIJESH MERJA,parties.IN.BJP,BJP,64711,45.14,1,won,M,62,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-gujarat-2785,gujarat,2020,65,MORVI,JAYANTILAL JERAJBHAI PATEL,parties.IN.INC,INC,60062,41.9,2,lost,M,64,,,challenger,src-1b7bc1c9d39a
