entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1967-haryana-1,haryana,1968,KALKA,58604,39221,66.93,KISHORI LAL,parties.IN.INC,INC,22880,58.34,LACHHMAN SINGH,parties.IN.IND,IND,13552,9328,23.79,src-0c1b8f274551,minor,
IN-AC-1967-haryana-10,haryana,1968,SHAHABAD,46256,26531,57.36,JAGDISH CHANDER,parties.IN.INC,INC,10215,38.5,JAGJIT SINGH,parties.IN.VHP,VHP,8583,1632,6.15,src-0c1b8f274551,minor,
IN-AC-1967-haryana-11,haryana,1968,THANESAR,51244,30120,58.78,OM PARKASH,parties.IN.INC,INC,14473,48.05,RAM SARAN DASS,parties.IN.BJS,BJS,14089,384,1.27,src-0c1b8f274551,minor,
IN-AC-1967-haryana-12,haryana,1968,BABAIN,52617,26491,50.35,CHAND RAM,parties.IN.IND,IND,13535,51.09,TEKA,parties.IN.INC,INC,9242,4293,16.2,src-0c1b8f274551,minor,
IN-AC-1967-haryana-13,haryana,1968,NILOKHERI,46172,30344,65.72,CHANDA SINGH,parties.IN.IND,IND,15155,49.94,RAM SARUP GIRI,parties.IN.INC,INC,8617,6538,21.54,src-0c1b8f274551,minor,
IN-AC-1967-haryana-14,haryana,1968,INDRI,53554,30845,57.6,PRASANNI DEVI,parties.IN.INC,INC,10846,35.16,DES RAJ,parties.IN.IND,IND,8060,2786,9.03,src-0c1b8f274551,minor,
IN-AC-1967-haryana-15,haryana,1968,KARNAL,52295,32222,61.62,SHANTI PRASAD,parties.IN.IND,IND,10648,33.05,RAM LAL,parties.IN.BJS,BJS,8285,2363,7.34,src-0c1b8f274551,minor,
IN-AC-1967-haryana-16,haryana,1968,JUNDLA,51441,26039,50.62,BANWARI RAM,parties.IN.RPI,RPI,14253,54.74,RAM KISHAN,parties.IN.INC,INC,10642,3611,13.87,src-0c1b8f274551,minor,
IN-AC-1967-haryana-17,haryana,1968,GHARAUNDA,57691,32629,56.56,RANDHIR SINGH,parties.IN.BJS,BJS,7766,23.8,RULYA RAM,parties.IN.SWA,SWA,7754,12,0.04,src-0c1b8f274551,minor,
IN-AC-1967-haryana-18,haryana,1968,SAMBHAKLA,58797,29763,50.62,KARTAR SINGH,parties.IN.INC,INC,17486,58.75,DHRAM VIR,parties.IN.BJS,BJS,9046,8440,28.36,src-0c1b8f274551,minor,
IN-AC-1967-haryana-19,haryana,1968,PANIPAT,58343,36886,63.22,FATEH CHAND,parties.IN.BJS,BJS,16957,45.97,CHAMAN LAL,parties.IN.INC,INC,13386,3571,9.68,src-0c1b8f274551,minor,
IN-AC-1967-haryana-2,haryana,1968,NARAINGARH,57091,22525,39.45,LAL SINGH,parties.IN.INC,INC,14745,65.46,JAGAT NARAIN,parties.IN.BKD,BKD,3585,11160,49.54,src-0c1b8f274551,minor,
IN-AC-1967-haryana-20,haryana,1968,NAULTHA,50124,29889,59.63,JAI SINGH,parties.IN.INC,INC,16130,53.97,INDER SINGH,parties.IN.VHP,VHP,13264,2866,9.59,src-0c1b8f274551,minor,
IN-AC-1967-haryana-21,haryana,1968,RAJAUND,61998,22260,35.9,RAN SINGH,parties.IN.INC,INC,11588,52.06,JOGI RAM,parties.IN.VHP,VHP,6534,5054,22.71,src-0c1b8f274551,minor,
IN-AC-1967-haryana-22,haryana,1968,PUNDRI,54330,31278,57.57,ISHWAR SINGH,parties.IN.IND,IND,14211,45.43,TARA SINGH,parties.IN.INC,INC,13773,438,1.4,src-0c1b8f274551,minor,
IN-AC-1967-haryana-23,haryana,1968,SHERHADA,55827,36878,66.06,SURJIT SINGH,parties.IN.INC,INC,21074,57.15,JAGJIT SINGH ALIAS POHLU,parties.IN.SWA,SWA,11929,9145,24.8,src-0c1b8f274551,minor,
IN-AC-1967-haryana-24,haryana,1968,KAITHAL,59598,42203,70.81,OM PRABHA,parties.IN.INC,INC,21273,50.41,GIAN CHAND,parties.IN.BJS,BJS,18950,2323,5.51,src-0c1b8f274551,minor,
IN-AC-1967-haryana-25,haryana,1968,PEHOWA,59767,30498,51.03,PIARA SINGH,parties.IN.INC,INC,11798,38.68,RAM DIA,parties.IN.BJS,BJS,7627,4171,13.67,src-0c1b8f274551,minor,
IN-AC-1967-haryana-26,haryana,1968,KALAYAT,54020,14879,27.54,BHAGTU,parties.IN.INC,INC,9117,61.27,ANANT RAM,parties.IN.SWA,SWA,4998,4119,27.68,src-0c1b8f274551,minor,
IN-AC-1967-haryana-27,haryana,1968,NARWANA,55653,35022,62.93,NEKI RAM,parties.IN.INC,INC,17833,50.92,SHAMSHER SINGH,parties.IN.SWA,SWA,11685,6148,17.56,src-0c1b8f274551,minor,
IN-AC-1967-haryana-28,haryana,1968,JIND,62833,34254,54.52,DAYA KRISHAN,parties.IN.INC,INC,17733,51.77,SHANKAR DASS,parties.IN.IND,IND,16136,1597,4.66,src-0c1b8f274551,minor,
IN-AC-1967-haryana-29,haryana,1968,JULANA,52879,34169,64.62,NARAIN SINGH,parties.IN.SWA,SWA,17052,49.9,DAL SINGH,parties.IN.INC,INC,16008,1044,3.05,src-0c1b8f274551,minor,
IN-AC-1967-haryana-3,haryana,1968,CHHACHHRAULI,57897,23036,39.79,PARBHU,parties.IN.INC,INC,13696,59.45,PHOOL CHAND,parties.IN.VHP,VHP,9340,4356,18.9,src-0c1b8f274551,minor,
IN-AC-1967-haryana-30,haryana,1968,SAFIDON,51569,30012,58.2,SATYA NARAIN,parties.IN.VHP,VHP,14895,49.63,RAM KISHAN,parties.IN.INC,INC,12655,2240,7.46,src-0c1b8f274551,minor,
IN-AC-1967-haryana-31,haryana,1968,MEHAM,52534,33664,64.08,RAJ SINGH,parties.IN.INC,INC,16479,48.95,MAHA SINGH,parties.IN.IND,IND,16253,226,0.67,src-0c1b8f274551,minor,
