entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,LACHHMAN SINGH,parties.IN.IND,IND,22544,39.68,1,won,U,,,,incumbent,src-0c1b8f274551,minor,
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,SUKHDEV SINGH,parties.IN.INC,INC,15006,26.41,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,ANOKH SINGH,parties.IN.IND,IND,7460,13.13,3,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,ROOP LAL,parties.IN.JP,JNP,4617,8.13,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,RAM GOPAL,parties.IN.LKD,LKD,2093,3.68,5,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,ABHEY SINGH,parties.IN.CPI,CPI,1652,2.91,6,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,SOHAN LAL,parties.IN.IND,IND,1384,2.44,7,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,SARWAN DASS,parties.IN.IND,IND,848,1.49,8,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,RAM KUMAR,parties.IN.IND,IND,418,0.74,9,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,PARAS RAM,parties.IN.IND,IND,351,0.62,10,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,JAGAT RAM,parties.IN.IND,IND,188,0.33,11,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,NIRMALA,parties.IN.IND,IND,135,0.24,12,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-1,haryana,1982,1,KALKA,SHAKTI PRASAD,parties.IN.IND,IND,114,0.2,13,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-2,haryana,1982,2,NARAINGARH,LAL SINGH,parties.IN.IND,IND,18091,34.63,1,won,U,,,,incumbent,src-0c1b8f274551,minor,
IN-AC-1976-haryana-2,haryana,1982,2,NARAINGARH,JAGJIT SINGH,parties.IN.INC,INC,13842,26.5,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-2,haryana,1982,2,NARAINGARH,BHARAT BHUSHAN,parties.IN.BJP,BJP,8822,16.89,3,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-2,haryana,1982,2,NARAINGARH,SADHU RAM,parties.IN.IND,IND,4809,9.21,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-2,haryana,1982,2,NARAINGARH,AMAN KUMAR,parties.IN.IND,IND,3550,6.8,5,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-2,haryana,1982,2,NARAINGARH,KANTA RAM,parties.IN.IND,IND,2352,4.5,6,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-haryana-2,haryana,1982,2,NARAINGARH,OM PRAKASH SEN,parties.IN.IND,IND,276,0.53,7,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
