entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-haryana-1,haryana,1987,KALKA,113251,76446,67.5,KANTI PARKASH BHALLA,parties.IN.LKD,LKD,38473,50.33,BRIJ BHUSHAN,parties.IN.INC,INC,31001,7472,9.78,src-1b7bc1c9d39a
IN-AC-1976-haryana-10,haryana,1987,NAGGAL,84040,66666,79.33,HARMINDRA SINGH,parties.IN.IND,IND,35406,53.11,NIRMAL SINGH,parties.IN.INC,INC,24171,11235,16.85,src-1b7bc1c9d39a
IN-AC-1976-haryana-11,haryana,1987,INDRI,93189,69013,74.06,LACHHMAN SINGH,parties.IN.LKD,LKD,38114,55.23,DES RAJ,parties.IN.INC,INC,18771,19343,28.03,src-1b7bc1c9d39a
IN-AC-1976-haryana-12,haryana,1987,NILOKHERI,90269,66984,74.2,JAI SINGH,parties.IN.IND,IND,17757,26.51,DEVI SINGH,parties.IN.LKD,LKD,14071,3686,5.5,src-1b7bc1c9d39a
IN-AC-1976-haryana-13,haryana,1987,KARNAL,98769,61205,61.97,LACHHMAN DASS,parties.IN.BJP,BJP,32156,52.54,JAI PRAKASH,parties.IN.INC,INC,26955,5201,8.5,src-1b7bc1c9d39a
IN-AC-1976-haryana-14,haryana,1987,JUNDLA,90233,57763,64.02,RISAL SINGH,parties.IN.LKD,LKD,45096,78.07,PURAN SINGH,parties.IN.INC,INC,9942,35154,60.86,src-1b7bc1c9d39a
IN-AC-1976-haryana-15,haryana,1987,GHARAUNDA,94663,64393,68.02,PIRU RAM,parties.IN.LKD,LKD,23424,36.38,VED PAL,parties.IN.INC,INC,19338,4086,6.35,src-1b7bc1c9d39a
IN-AC-1976-haryana-16,haryana,1987,ASSANDH,90674,59792,65.94,MAN PHOOL SINGH,parties.IN.LKD,LKD,39730,66.45,SARWAN KUMAR,parties.IN.INC,INC,15934,23796,39.8,src-1b7bc1c9d39a
IN-AC-1976-haryana-17,haryana,1987,PANIPAT,108543,77330,71.24,BAL BIR PAL SHAH,parties.IN.INC,INC,32476,42,KASTURI LAL,parties.IN.IND,IND,21502,10974,14.19,src-1b7bc1c9d39a
IN-AC-1976-haryana-18,haryana,1987,SAMBHALKA,96505,71207,73.79,SACHDEV,parties.IN.LKD,LKD,28378,39.85,HARI SINGH,parties.IN.INC,INC,23633,4745,6.66,src-1b7bc1c9d39a
IN-AC-1976-haryana-19,haryana,1987,NAULTHA,90434,66630,73.68,SATBIR S/O GAJE SINGH,parties.IN.LKD,LKD,41808,62.75,PARSANI DEVI,parties.IN.INC,INC,12528,29280,43.95,src-1b7bc1c9d39a
IN-AC-1976-haryana-2,haryana,1987,NARAINGARH,84099,64288,76.44,JAGPAL SINGH,parties.IN.IND,IND,24456,38.04,SADHU RAM,parties.IN.LKD,LKD,12363,12093,18.81,src-1b7bc1c9d39a
IN-AC-1976-haryana-20,haryana,1987,SHAHABAD,88593,65008,73.38,HARNAM SINGH,parties.IN.CPI,CPI,23831,36.66,KHARITI LAL,parties.IN.IND,IND,12130,11701,18,src-1b7bc1c9d39a
IN-AC-1976-haryana-21,haryana,1987,RADAUR,83724,60990,72.85,RATTAN LAL KATARIA,parties.IN.BJP,BJP,32215,52.82,LEHRI SINGH,parties.IN.IND,IND,11586,20629,33.82,src-1b7bc1c9d39a
IN-AC-1976-haryana-22,haryana,1987,THANESAR,94239,64507,68.45,GURDIAL SINGH,parties.IN.LKD,LKD,35585,55.16,SAHAB SINGH SAINI,parties.IN.INC,INC,12961,22624,35.07,src-1b7bc1c9d39a
IN-AC-1976-haryana-23,haryana,1987,PEHOWA,96628,71256,73.74,BALBIR SINGH,parties.IN.LKD,LKD,43756,61.41,TARA SINGH,parties.IN.INC,INC,20162,23594,33.11,src-1b7bc1c9d39a
IN-AC-1976-haryana-24,haryana,1987,GUHLA,97187,70610,72.65,BUTA SINGH,parties.IN.LKD,LKD,40772,57.74,DILU RAM,parties.IN.INC,INC,14145,26627,37.71,src-1b7bc1c9d39a
IN-AC-1976-haryana-25,haryana,1987,KAITHAL,83509,62275,74.57,SURINDER KUMAT,parties.IN.LKD,LKD,26326,42.27,CHARAN DASS,parties.IN.IND,IND,19637,6689,10.74,src-1b7bc1c9d39a
IN-AC-1976-haryana-26,haryana,1987,PUNDRI,87102,63979,73.45,MAKHAN SINGH,parties.IN.LKD,LKD,33647,52.59,ISHWAR SINGH S/O SINGHRAM,parties.IN.INC,INC,21250,12397,19.38,src-1b7bc1c9d39a
IN-AC-1976-haryana-27,haryana,1987,PAI,85736,64053,74.71,NAR SINGH,parties.IN.LKD,LKD,44151,68.93,HARPHUL SINGH,parties.IN.INC,INC,14668,29483,46.03,src-1b7bc1c9d39a
IN-AC-1976-haryana-28,haryana,1987,HASSANGARH,85154,55514,65.19,OM PARKAHS BHARDWAJ,parties.IN.LKD,LKD,36041,64.92,JAI KIRAN,parties.IN.INC,INC,12716,23325,42.01,src-1b7bc1c9d39a
IN-AC-1976-haryana-29,haryana,1987,KILOI,84659,55895,66.02,SRI KISHAN,parties.IN.LKD,LKD,33650,60.2,BHUPINDER SINGH,parties.IN.INC,INC,18627,15023,26.88,src-1b7bc1c9d39a
IN-AC-1976-haryana-3,haryana,1987,SADHAURA,93890,69988,74.54,BHAG MAL,parties.IN.IND,IND,37246,53.22,SHER SINGH,parties.IN.INC,INC,21238,16008,22.87,src-1b7bc1c9d39a
IN-AC-1976-haryana-30,haryana,1987,ROHTAK,111799,73429,65.68,MANGAL SAIN,parties.IN.BJP,BJP,35672,48.58,SIRI KISHAN DASS,parties.IN.INC,INC,34204,1468,2,src-1b7bc1c9d39a
IN-AC-1976-haryana-31,haryana,1987,MEHAM,96581,67837,70.24,DEVI LAL,parties.IN.LKD,LKD,45576,67.18,SARUP SINGH,parties.IN.INC,INC,19595,25981,38.29,src-1b7bc1c9d39a
IN-AC-1976-haryana-32,haryana,1987,KALANAUR,80893,51608,63.8,JAI NARIAN,parties.IN.BJP,BJP,30996,60.06,KARTAR DEVI,parties.IN.INC,INC,17211,13785,26.71,src-1b7bc1c9d39a
IN-AC-1976-haryana-33,haryana,1987,BERI,88169,54432,61.74,RAGHUVIR SINGH,parties.IN.LKD,LKD,24860,45.67,OM PARKASH,parties.IN.LKD_A,LKD(A),14034,10826,19.89,src-1b7bc1c9d39a
IN-AC-1976-haryana-34,haryana,1987,SALHAWAS,93289,57509,61.65,RAM NARAIN,parties.IN.LKD,LKD,33920,58.98,RAJ SINGH,parties.IN.INC,INC,11823,22097,38.42,src-1b7bc1c9d39a
IN-AC-1976-haryana-35,haryana,1987,JHAJJAR,97753,54643,55.9,MEDHAVI,parties.IN.IND,IND,26518,48.53,MAGE RAM,parties.IN.INC,INC,13150,13368,24.46,src-1b7bc1c9d39a
IN-AC-1976-haryana-36,haryana,1987,BADLI,87227,57104,65.47,DHIR PAL SINGH,parties.IN.LKD,LKD,35451,62.08,MAN PHUL SINGH,parties.IN.INC,INC,19085,16366,28.66,src-1b7bc1c9d39a
IN-AC-1976-haryana-37,haryana,1987,BAHADURGARH,107389,71312,66.41,MANGE RAM,parties.IN.LKD,LKD,40113,56.25,MEHER SINGH,parties.IN.INC,INC,14793,25320,35.51,src-1b7bc1c9d39a
IN-AC-1976-haryana-38,haryana,1987,BARODA,91066,68575,75.3,KIRPA RAM,parties.IN.LKD,LKD,50882,74.2,SHYAM CHAND,parties.IN.INC,INC,13857,37025,53.99,src-1b7bc1c9d39a
IN-AC-1976-haryana-39,haryana,1987,GOHANA,103064,72982,70.81,KISHAN SINGH,parties.IN.LKD,LKD,32894,45.07,RATI RAM,parties.IN.INC,INC,13772,19122,26.2,src-1b7bc1c9d39a
