entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-haryana-344,haryana,2014,AMBALA CANTT.,174704,126887,72.63,ANIL VIJ,,66605,52.49,CH. NIRMAL SINGH,,51143,15462,12.18,src-1b7bc1c9d39a
IN-AC-2008-haryana-345,haryana,2014,AMBALA CITY,228573,161441,70.63,ASEEM GOEL,,60216,37.3,VENOD SHARMA,,36964,23252,14.4,src-1b7bc1c9d39a
IN-AC-2008-haryana-346,haryana,2014,JAGADHRI,195515,165653,84.73,KANWAR PAL S/O CHANDAN SINGH,,74203,44.79,AKRAM KHAN,,40047,34156,20.61,src-1b7bc1c9d39a
IN-AC-2008-haryana-347,haryana,2014,KALKA,157064,124563,79.31,LATIKA SHARMA,,50347,40.42,PARDEEP CHAUDHARY,,31320,19027,15.28,src-1b7bc1c9d39a
IN-AC-2008-haryana-348,haryana,2014,MULANA,195756,155371,79.37,SANTOSH CHAUHAN SARWAN,,49970,32.16,RAJBIR SINGH,,44321,5649,3.63,src-1b7bc1c9d39a
IN-AC-2008-haryana-349,haryana,2014,NARAINGARH,169556,140556,82.9,NAYAB SINGH,,55931,39.79,RAM KISHAN,,31570,24361,17.33,src-1b7bc1c9d39a
IN-AC-2008-haryana-350,haryana,2014,PANCHKULA,195974,128778,65.71,GIAN CHAND GUPTA,,69916,54.29,KUL BHUSHAN GOYAL,,25314,44602,34.63,src-1b7bc1c9d39a
IN-AC-2008-haryana-351,haryana,2014,SADHAURA,195382,164607,84.25,BALWANT SINGH,,63772,38.74,PINKI CHHAPPER,,49626,14146,8.59,src-1b7bc1c9d39a
IN-AC-2008-haryana-352,haryana,2014,YAMUNANAGAR,202733,154814,76.36,GHANSHYAM DASS,,79743,51.51,DILBAGH SINGH,,51498,28245,18.25,src-1b7bc1c9d39a
IN-AC-2008-haryana-353,haryana,2014,ATELI,170006,130066,76.51,SANTOSH YADAV,,64659,49.71,SATBIR,,16058,48601,37.36,src-1b7bc1c9d39a
IN-AC-2008-haryana-354,haryana,2014,BADHRA,169841,132690,78.13,SUKHVINDER,,39139,29.5,RANBIR SINGH MAHENDRA,,34133,5006,3.78,src-1b7bc1c9d39a
IN-AC-2008-haryana-355,haryana,2014,BHIWANI,183396,130427,71.12,GHANSHYAM SARAF,,50020,38.35,NIRMLA SARAF,,21423,28597,21.92,src-1b7bc1c9d39a
IN-AC-2008-haryana-356,haryana,2014,DADRI,176077,132143,75.05,RAJDEEP,,43400,32.84,SOMVIR,,41790,1610,1.22,src-1b7bc1c9d39a
IN-AC-2008-haryana-357,haryana,2014,LOHARU,169487,137908,81.37,OM PARKASH BARWA,,40693,29.51,JAI PARKASH DALAL,,38598,2095,1.52,src-1b7bc1c9d39a
IN-AC-2008-haryana-358,haryana,2014,MAHENDRAGARH,172693,139796,80.95,RAM BILASH SHARMA,,83724,59.89,DAN SINGH RAO,,49233,34491,24.67,src-1b7bc1c9d39a
IN-AC-2008-haryana-359,haryana,2014,NANGAL CHAUDHRY,135309,101731,75.18,ABHE SINGH YADAV,,33929,33.35,MANJU,,32948,981,0.96,src-1b7bc1c9d39a
IN-AC-2008-haryana-360,haryana,2014,NARNAUL,127967,96545,75.45,OM PRAKASH,,31664,32.8,KAMLESH,,27091,4573,4.74,src-1b7bc1c9d39a
IN-AC-2008-haryana-361,haryana,2014,TOSHAM,185970,151278,81.35,KIRAN CHOUDHRY,,58218,38.48,KAMLA RANI,,38477,19741,13.05,src-1b7bc1c9d39a
IN-AC-2008-haryana-362,haryana,2014,BADKHAL,222042,133720,60.22,SEEMA TRIKHA,,70218,52.51,MAHENDER PARTAP SINGH,,33609,36609,27.38,src-1b7bc1c9d39a
IN-AC-2008-haryana-365,haryana,2014,FARIDABAD NIT,213818,143166,66.96,NAGENDER BHADANA,,45740,31.95,PANDIT SHIV CHARAN LAL SHARMA,,42826,2914,2.04,src-1b7bc1c9d39a
IN-AC-2008-haryana-366,haryana,2014,HATHIN,186403,151379,81.21,KEHAR SINGH,,44703,29.53,HARSH KUMAR,,38331,6372,4.21,src-1b7bc1c9d39a
IN-AC-2008-haryana-367,haryana,2014,HODAL,161317,122088,75.68,UDAI BHAN,,50723,41.55,JAGDISH NAYAR,,39043,11680,9.57,src-1b7bc1c9d39a
IN-AC-2008-haryana-368,haryana,2014,PALWAL,197019,153047,77.68,KARAN SINGH DALAL,,57423,37.52,DEEPAK MANGLA,,51781,5642,3.69,src-1b7bc1c9d39a
IN-AC-2008-haryana-369,haryana,2014,PRITHLA,166469,134914,81.04,TEK CHAND SHARMA,,37178,27.56,NAYAN PAL RAWAT,,35999,1179,0.88,src-1b7bc1c9d39a
