entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-himachal-pradesh-1,himachal-pradesh,2003,1,KINNAUR,JAGAT SINGH,parties.IN.INC,INC,19052,54.33,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-1,himachal-pradesh,2003,1,KINNAUR,TEJWANT SINGH,parties.IN.BJP,BJP,11646,33.21,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-1,himachal-pradesh,2003,1,KINNAUR,S.C.NEGI,parties.IN.HVC,HVC,2728,7.78,3,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-1,himachal-pradesh,2003,1,KINNAUR,SUKH DEV,parties.IN.CPIM,CPM,1638,4.67,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-2,himachal-pradesh,2003,2,RAMPUR,SINGHI RAM,parties.IN.INC,INC,27757,65.83,1,won,U,,,,incumbent,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-2,himachal-pradesh,2003,2,RAMPUR,BRIJ LAL,parties.IN.BJP,BJP,10510,24.92,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-2,himachal-pradesh,2003,2,RAMPUR,GURDYAL,parties.IN.CPIM,CPM,2202,5.22,3,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-2,himachal-pradesh,2003,2,RAMPUR,BRESI LAL,parties.IN.SP,SP,1698,4.03,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-3,himachal-pradesh,2003,3,ROHRU,VIRBHADRA SINGH,parties.IN.INC,INC,32617,68.03,1,won,U,,,,incumbent,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-3,himachal-pradesh,2003,3,ROHRU,KHUSHI RAM BALNAHTA,parties.IN.BJP,BJP,15328,31.97,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-4,himachal-pradesh,2003,4,JUBBAL-KOTKHAI,ROHIT THAKUR,parties.IN.INC,INC,21884,54.22,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-4,himachal-pradesh,2003,4,JUBBAL-KOTKHAI,NARINDER SINGH,parties.IN.BJP,BJP,15040,37.26,2,lost,U,,,,incumbent,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-4,himachal-pradesh,2003,4,JUBBAL-KOTKHAI,RAJPAL SINGH,parties.IN.HVC,HVC,1817,4.5,3,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-4,himachal-pradesh,2003,4,JUBBAL-KOTKHAI,INDER SINGH,parties.IN.LMHP,LMHP,1621,4.02,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-5,himachal-pradesh,2003,5,CHOPAL,SUBHASH CHAND,parties.IN.IND,IND,10910,28.08,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-5,himachal-pradesh,2003,5,CHOPAL,YOGENDRA CHANDRA,parties.IN.INC,INC,8339,21.46,2,lost,U,,,,incumbent,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-5,himachal-pradesh,2003,5,CHOPAL,SANJAY SHASHTRI,parties.IN.BJP,BJP,6919,17.81,3,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-5,himachal-pradesh,2003,5,CHOPAL,ARUN KUMAR,parties.IN.IND,IND,6646,17.11,4,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-5,himachal-pradesh,2003,5,CHOPAL,PRATAP SINGH,parties.IN.IND,IND,4569,11.76,5,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-5,himachal-pradesh,2003,5,CHOPAL,ANANT RAM,parties.IN.NCP,NCP,666,1.71,6,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-himachal-pradesh-5,himachal-pradesh,2003,5,CHOPAL,DALBIR SINGH,parties.IN.SP,SP,534,1.37,7,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
