entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-himachal-pradesh-1,himachal-pradesh,2003,KINNAUR,48513,35064,72.28,JAGAT SINGH,parties.IN.INC,INC,19052,54.33,TEJWANT SINGH,parties.IN.BJP,BJP,11646,7406,21.12,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-10,himachal-pradesh,2003,ARKI,55717,39777,71.39,DHARAM PAL THAKUR,parties.IN.INC,INC,15933,40.06,GOVIND RAM SHARMA,parties.IN.BJP,BJP,14890,1043,2.63,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-11,himachal-pradesh,2003,DOON,58230,47658,81.84,LAJJA RAM,parties.IN.INC,INC,17297,36.29,VINOD KUMARI,parties.IN.LMHP,LMHP,14877,2420,5.07,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-12,himachal-pradesh,2003,NALAGARH,63126,54216,85.89,HARI NARAIAN SINGH,parties.IN.BJP,BJP,22892,42.22,SUKRITI KUMARI,parties.IN.INC,INC,19809,3083,5.68,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-13,himachal-pradesh,2003,KASAULI,56284,38557,68.5,RAGHU RAJ,parties.IN.INC,INC,17886,46.39,VIRENDER KASHYAP,parties.IN.BJP,BJP,14127,3759,9.75,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-14,himachal-pradesh,2003,SOLAN,65204,44800,68.71,DR. RAJEEV BINDAL,parties.IN.BJP,BJP,15332,34.22,MOHINDER NATH SOFAT,parties.IN.IND,IND,13973,1359,3.03,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-15,himachal-pradesh,2003,PACHHAD,55380,43946,79.35,GANGU RAM MUSAFIR,parties.IN.INC,INC,21671,49.31,RAM PRAKASH,parties.IN.BJP,BJP,20385,1286,2.92,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-16,himachal-pradesh,2003,RAINKA,46915,36302,77.38,DR. PREM SINGH,parties.IN.INC,INC,19948,54.95,BALBIR SINGH,parties.IN.BJP,BJP,13614,6334,17.45,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-17,himachal-pradesh,2003,SHILLAI,49220,38712,78.65,HARSH WARDHAN,parties.IN.INC,INC,17326,44.76,JAGAT SINGH,parties.IN.IND,IND,9902,7424,19.18,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-18,himachal-pradesh,2003,PAONTA DOON,68911,56935,82.62,SUKH RAM,parties.IN.BJP,BJP,22647,39.78,KIRNESH JUNG,parties.IN.LMHP,LMHP,16785,5862,10.3,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-19,himachal-pradesh,2003,NAHAN,53303,41655,78.15,SADANAND CHAUHAN,parties.IN.LJNSP,LJNSP,14551,34.93,KUSH PARMAR,parties.IN.INC,INC,13360,1191,2.86,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-2,himachal-pradesh,2003,RAMPUR,61092,42167,69.02,SINGHI RAM,parties.IN.INC,INC,27757,65.83,BRIJ LAL,parties.IN.BJP,BJP,10510,17247,40.91,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-20,himachal-pradesh,2003,KOTKEHLOOR,59321,47348,79.82,THAKUR RAM LAL,parties.IN.INC,INC,19509,41.2,RANDHEER KUMAR,parties.IN.BJP,BJP,16507,3002,6.34,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-21,himachal-pradesh,2003,BILASPUR,57958,44919,77.5,TILAK RAJ,parties.IN.INC,INC,22868,50.91,JAGAT PRAKASH NADDA,parties.IN.BJP,BJP,20142,2726,6.07,src-1b7bc1c9d39a,minor,
IN-AC-1976-himachal-pradesh-22,himachal-pradesh,2003,GHUMARWIN,66165,47821,72.28,KARAM DEV DHARMANI,parties.IN.BJP,BJP,20609,43.1,KASHMIR SINGH,parties.IN.INC,INC,17202,3407,7.13,src-1b7bc1c9d39a,minor,
