entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-himachal-pradesh-100,himachal-pradesh,2017,KUTLEHAR,79694,59222,74.31,VIRENDER KANWAR,,31101,52.52,VIVEK SHARMA,,25495,5606,9.47,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-101,himachal-pradesh,2017,NADAUN,86279,62701,72.67,SUKHVINDER SINGH SUKHU,,30980,49.41,VIJAY AGNIHOTRI,,28631,2349,3.75,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-102,himachal-pradesh,2017,SRI NAINA DEVIJI,67763,56726,83.71,RAM LAL THAKUR,,28119,49.57,RANDHIR SHARMA,,27077,1042,1.84,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-103,himachal-pradesh,2017,SUJANPUR,68504,50699,74.01,RAJINDER RANA,,25288,49.88,PREM KUMAR DHUMAL,,23369,1919,3.79,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-104,himachal-pradesh,2017,UNA,79512,62468,78.56,SATPAL SINGH RAIZADA,,31360,50.2,SATPAL SINGH SATTI,,28164,3196,5.11,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-105,himachal-pradesh,2017,BAIJNATH,80160,52953,66.06,MULKH RAJ,,32102,60.62,KISHORI LAL,,19433,12669,23.92,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-106,himachal-pradesh,2017,BHATTIYAT,71545,53117,74.24,BIKRAM SINGH JARYAL,,29119,54.82,KULDEEP SINGH PATHANIA,,22234,6885,12.96,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-107,himachal-pradesh,2017,CHAMBA,75289,54257,72.06,PAWAN NAYYAR,,26763,49.33,NEERAJ NAYAR,,24884,1879,3.47,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-108,himachal-pradesh,2017,CHURAH,68623,53014,77.25,HANS RAJ,,28293,53.37,SURENDER BHARDWAJ,,23349,4944,9.33,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-109,himachal-pradesh,2017,DALHOUSIE,66669,49668,74.5,ASHA KUMARI,,24224,48.77,D. S. THAKUR,,23668,556,1.12,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-110,himachal-pradesh,2017,DHARAMSHALA,74863,57013,76.16,KISHAN KAPOOR,,26050,45.69,SUDHIR SHARMA,,23053,2997,5.26,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-111,himachal-pradesh,2017,FATEHPUR,80793,58441,72.33,SUJAN SINGH PATHANIA,,18962,32.45,KRIPAL SINGH PARMAR,,17678,1284,2.2,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-112,himachal-pradesh,2017,INDORA,82638,59858,72.43,REETA DEVI,,29213,48.8,KAMAL KISHORE,,28118,1095,1.83,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-113,himachal-pradesh,2017,JAISINGHPUR,77477,50159,64.74,RAVINDER KUMAR,,29357,58.53,YADVINDER GOMA,,18647,10710,21.35,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-114,himachal-pradesh,2017,JAWALAMUKHI,72292,53699,74.28,RAMESH CHAND DHAWALA,,27914,51.98,SANJAY RATTAN,,21450,6464,12.04,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-115,himachal-pradesh,2017,JAWALI,90307,67434,74.67,ARJUN SINGH,,36999,54.87,CHANDER KUMAR,,28786,8213,12.18,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-116,himachal-pradesh,2017,KANGRA,75899,58466,77.03,PAWAN KUMAR KAJAL,,25549,43.7,SANJAY CHAUDHARY,,19341,6208,10.62,src-1b7bc1c9d39a
