entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-himachal-pradesh-100,himachal-pradesh,2022,KUTLEHAR,86934,66808,76.85,Davinder Kumar,parties.IN.INC,INC,36636,54.84,VIRENDER KANWAR,parties.IN.BJP,BJP,29057,7579,11.35,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-101,himachal-pradesh,2022,NADAUN,94931,71039,74.83,SUKHVINDER SINGH,parties.IN.INC,INC,36142,50.88,VIJAY KUMAR,parties.IN.BJP,BJP,32779,3363,4.74,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-102,himachal-pradesh,2022,SRI NAINA DEVIJI,75176,62254,82.81,RANDHIR SHARMA,parties.IN.BJP,BJP,29403,47.23,RAM LAL THAKUR,parties.IN.INC,INC,29232,171,0.27,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-103,himachal-pradesh,2022,SUJANPUR,75396,55597,73.74,RAJINDER SINGH,parties.IN.INC,INC,27679,49.79,RANJIT SINGH RANA,parties.IN.BJP,BJP,27280,399,0.72,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-104,himachal-pradesh,2022,UNA,87136,67877,77.9,Satpal Singh Satti,parties.IN.BJP,BJP,33974,50.05,Satpal Singh Raizada,parties.IN.INC,INC,32238,1736,2.56,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-105,himachal-pradesh,2022,BAIJNATH,91352,58301,63.82,Kishori Lal,parties.IN.INC,INC,29338,50.32,Mulkh Raj,parties.IN.BJP,BJP,25892,3446,5.91,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-106,himachal-pradesh,2022,BHATTIYAT,81594,59424,72.83,KULDEEP SINGH PATHANIA,parties.IN.INC,INC,25989,43.73,BIKRAM SINGH,parties.IN.BJP,BJP,24422,1567,2.63,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-107,himachal-pradesh,2022,CHAMBA,84616,61528,72.71,Neeraj Nayar,parties.IN.INC,INC,32783,53.28,Neelam Nayyar,parties.IN.BJP,BJP,25001,7782,12.65,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-108,himachal-pradesh,2022,CHURAH,78823,62327,79.07,Hans Raj,parties.IN.BJP,BJP,32095,51.49,Yashwant Singh,parties.IN.INC,INC,29453,2642,4.23,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-109,himachal-pradesh,2022,DALHOUSIE,75714,58246,76.93,DHAVINDER SINGH,parties.IN.BJP,BJP,33488,57.49,ASHA KUMARI,parties.IN.INC,INC,23570,9918,17.02,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-110,himachal-pradesh,2022,DHARAMSHALA,83829,60010,71.59,SUDHIR SHARMA,parties.IN.INC,INC,27323,45.53,RAKESH KUMAR,parties.IN.BJP,BJP,24038,3285,5.47,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-111,himachal-pradesh,2022,FATEHPUR,90203,64133,71.1,BHAWANI SINGH PATHANIA,parties.IN.INC,INC,33238,51.83,RAKESH PATHANIA,parties.IN.BJP,BJP,25884,7354,11.47,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-112,himachal-pradesh,2022,INDORA,93244,67618,72.52,MALENDER RAJAN,parties.IN.INC,INC,30797,45.55,REETA DEVI,parties.IN.BJP,BJP,28547,2250,3.33,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-113,himachal-pradesh,2022,JAISINGHPUR,85180,55637,65.32,Yadvinder Goma,parties.IN.INC,INC,28058,50.43,Ravinder Kumar Dhiman,parties.IN.BJP,BJP,25362,2696,4.85,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-114,himachal-pradesh,2022,JAWALAMUKHI,80141,59872,74.71,SANJAY RATTAN,parties.IN.INC,INC,27827,46.48,RAVINDER SINGH,parties.IN.BJP,BJP,21423,6404,10.7,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-115,himachal-pradesh,2022,JAWALI,101845,74669,73.32,CHANDER KUMAR,parties.IN.INC,INC,38243,51.22,SANJAY GULERIA,parties.IN.BJP,BJP,35212,3031,4.06,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-116,himachal-pradesh,2022,KANGRA,83547,63339,75.81,Pawan Kumar Kajal,parties.IN.BJP,BJP,35239,55.64,Surinder Kumar,parties.IN.INC,INC,15405,19834,31.32,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-117,himachal-pradesh,2022,NAGROTA,90962,70275,77.26,R.S. BALI,parties.IN.INC,INC,42079,59.88,ARUN KUMAR,parties.IN.BJP,BJP,26187,15892,22.62,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-118,himachal-pradesh,2022,NURPUR,93717,70664,75.4,RANBIR SINGH,parties.IN.BJP,BJP,44132,62.45,AJAY MAHAJAN,parties.IN.INC,INC,25380,18752,26.53,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-119,himachal-pradesh,2022,PALAMPUR,78449,57476,73.27,Ashish Butail,parties.IN.INC,INC,30874,53.72,Trilok Kapoor,parties.IN.BJP,BJP,25546,5328,9.27,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-120,himachal-pradesh,2022,SHAHPUR,89978,66088,73.45,KEWAL SINGH,parties.IN.INC,INC,36603,55.39,SARVEEN,parties.IN.BJP,BJP,24360,12243,18.53,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-121,himachal-pradesh,2022,SULLAH,106976,75845,70.9,VIPIN SINGH PARMAR,parties.IN.BJP,BJP,36670,48.35,JAGJIWAN PAUL,parties.IN.IND,IND,29558,7112,9.38,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-122,himachal-pradesh,2022,ANNI,88955,67468,75.85,LOKENDER KUMAR,parties.IN.BJP,BJP,24133,35.77,PARAS RAM,parties.IN.IND,IND,17355,6778,10.05,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-123,himachal-pradesh,2022,BALH,81597,64726,79.32,INDER SINGH,parties.IN.BJP,BJP,31792,49.12,PRAKASH CHAUDHARY,parties.IN.INC,INC,30485,1307,2.02,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-124,himachal-pradesh,2022,BANJAR,75592,61908,81.9,SURENDER SHOURIE,parties.IN.BJP,BJP,25038,40.44,KHIMI RAM,parties.IN.INC,INC,20704,4334,7,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-125,himachal-pradesh,2022,BHARMOUR,79000,56509,71.53,Dr. Janak Raj,parties.IN.BJP,BJP,30336,53.68,Thakur Singh Bharmouri,parties.IN.INC,INC,25164,5172,9.15,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-126,himachal-pradesh,2022,DARANG,91525,73490,80.3,Puran Chand,parties.IN.BJP,BJP,36572,49.76,Kaul Singh,parties.IN.INC,INC,35954,618,0.84,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-127,himachal-pradesh,2022,JOGINDERNAGAR,101046,70563,69.83,Prakash Prem Kumar,parties.IN.BJP,BJP,33782,47.87,Thakur Surender Pal,parties.IN.INC,INC,29443,4339,6.14,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-128,himachal-pradesh,2022,KARSOG,76609,60169,78.54,DEEP RAJ,parties.IN.BJP,BJP,34512,57.36,MAHESH RAJ,parties.IN.INC,INC,23978,10534,17.51,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-129,himachal-pradesh,2022,KINNAUR,60289,44085,73.12,Jagat Singh Negi,parties.IN.INC,INC,20696,46.95,Surat Negi,parties.IN.BJP,BJP,13732,6964,15.8,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-130,himachal-pradesh,2022,KULLU,92050,71165,77.31,SUNDER SINGH THAKUR,parties.IN.INC,INC,30286,42.56,NAROTAM SINGH,parties.IN.BJP,BJP,26183,4103,5.77,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-131,himachal-pradesh,2022,LAHAUL & SPITI,25496,18801,73.74,RAVI THAKUR,parties.IN.INC,INC,9948,52.91,DR.RAM LAL MARKANDA,parties.IN.BJP,BJP,8332,1616,8.59,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-132,himachal-pradesh,2022,MANALI,74903,60437,80.69,Bhuvneshwar Gaur,parties.IN.INC,INC,29892,49.46,Govind Singh Thakur,parties.IN.BJP,BJP,26935,2957,4.89,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-133,himachal-pradesh,2022,MANDI,78113,58650,75.08,ANIL SHARMA,parties.IN.BJP,BJP,31303,53.37,CHAMPA THAKUR,parties.IN.INC,INC,21297,10006,17.06,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-134,himachal-pradesh,2022,NACHAN,88483,71559,80.87,VINOD KUMAR,parties.IN.BJP,BJP,33200,46.4,NARESH KUMAR,parties.IN.INC,INC,24244,8956,12.52,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-135,himachal-pradesh,2022,RAMPUR,77215,57871,74.95,NAND LAL,parties.IN.INC,INC,28397,49.07,KAUL SINGH,parties.IN.BJP,BJP,27830,567,0.98,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-136,himachal-pradesh,2022,SARKAGHAT,92207,63761,69.15,DALIP THAKUR,parties.IN.BJP,BJP,27346,42.89,PAWAN KUMAR,parties.IN.INC,INC,25539,1807,2.84,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-137,himachal-pradesh,2022,SERAJ,84315,70752,83.91,JAI RAM THAKUR,parties.IN.BJP,BJP,53562,75.7,CHET RAM,parties.IN.INC,INC,15379,38183,53.96,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-138,himachal-pradesh,2022,SUNDERNAGAR,83690,66651,79.64,Rakesh Kumar,parties.IN.BJP,BJP,29432,44.16,Sohan Lal,parties.IN.INC,INC,21307,8125,12.19,src-1b7bc1c9d39a
IN-AC-2008-himachal-pradesh-139,himachal-pradesh,2022,ARKI,95788,73536,76.77,Sanjay,parties.IN.INC,INC,30897,42.02,Rajender,parties.IN.IND,IND,26075,4822,6.56,src-1b7bc1c9d39a
