entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1962-jammu-and-kashmir-1,jammu-and-kashmir,1962,AKHNUR,26176,16696,63.78,SHIV RAM,parties.IN.JKNC,NC,10156,60.83,SAT DEV,parties.IN.PP,PP,5204,4952,29.66,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-10,jammu-and-kashmir,1962,BILAWAR,25664,15706,61.2,RAM CHANDER KHAJURIA,parties.IN.JKNC,NC,7819,49.78,DHIAN SINGH,parties.IN.PP,PP,7307,512,3.26,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-11,jammu-and-kashmir,1962,KATHUA,23414,17758,75.84,RANDHIR SINGH,parties.IN.JKNC,NC,9826,55.33,CHAGAR SINGH,parties.IN.PP,PP,4642,5184,29.19,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-12,jammu-and-kashmir,1962,JASMERGARH,30408,23869,78.5,GIRDHARI LAL DOGRA,parties.IN.JKNC,NC,13958,58.48,BALDEV SINGH,parties.IN.PP,PP,7789,6169,25.85,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-13,jammu-and-kashmir,1962,SAMBA,23398,17146,73.28,K. SAGAR SINGH,parties.IN.JKNC,NC,7495,43.71,DHYAN SINGH,parties.IN.PP,PP,6727,768,4.48,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-14,jammu-and-kashmir,1962,JAMMU CITY NORTHERN,31776,22100,69.55,PREM NATH,parties.IN.PP,PP,14728,66.64,HARDATT BAKSHI,parties.IN.JKNC,NC,6966,7762,35.12,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-15,jammu-and-kashmir,1962,JAMMU CITY SOUTHERN,26011,18194,69.95,RAM CHAND MAHAJAN,parties.IN.JKNC,NC,9329,51.28,RAM NATH,parties.IN.PP,PP,5835,3494,19.21,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-16,jammu-and-kashmir,1962,NOWSHERA,34800,21377,61.43,BELI RAM,parties.IN.JKNC,NC,11608,54.3,KRISHAN DEV SETHI,parties.IN.UNK,DNC,4939,6669,31.2,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-17,jammu-and-kashmir,1962,RAJOURI,27795,18489,66.52,ABDUL AZIZ SHAWAL,parties.IN.JKNC,NC,14192,76.76,DEV RAJ,parties.IN.UNK,DNC,4297,9895,53.52,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-18,jammu-and-kashmir,1962,DARHAL,23168,19151,82.66,MOHAMMAD IQBAL,parties.IN.JKNC,NC,13601,71.02,ADBUL REHMAN,parties.IN.PSP,PSP,5550,8051,42.04,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-19,jammu-and-kashmir,1962,MENDHAR,43930,0,0,PIR JAMAT ALI SHAH,parties.IN.JKNC,NC,0,,,,,,,,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-2,jammu-and-kashmir,1962,CHHAMB,26698,19190,71.88,CHHAJU RAM,parties.IN.JKNC,NC,10142,52.85,SAHDEV SINGH,parties.IN.PP,PP,6401,3741,19.49,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-20,jammu-and-kashmir,1962,POONCH,30561,21292,69.67,GULAM AHMED,parties.IN.JKNC,NC,15148,71.14,GHULAM QADIR BANDEY,parties.IN.IND,IND,5819,9329,43.81,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-21,jammu-and-kashmir,1962,RAMNAGAR,27353,18624,68.09,HEM RAJ,parties.IN.JKNC,NC,11680,62.71,HANS RAJ,parties.IN.PP,PP,6077,5603,30.08,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-22,jammu-and-kashmir,1962,UDHAMPUR,26282,16134,61.39,AMAR NATH SHARMA,parties.IN.JKNC,NC,8003,49.6,PARAS RAM,parties.IN.PP,PP,7815,188,1.16,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-23,jammu-and-kashmir,1962,LANDAR TIKRI,26716,15980,59.81,SHIV CHARAN,parties.IN.PP,PP,7595,47.53,FAQIR CHAND,parties.IN.JKNC,NC,6929,666,4.17,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-24,jammu-and-kashmir,1962,REASI,28090,19452,69.25,RISHI KUMAR KAUSHAL,parties.IN.PP,PP,8842,45.46,RIKHI KESH,parties.IN.JKNC,NC,8595,247,1.27,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-25,jammu-and-kashmir,1962,ARNAS,28965,22329,77.09,MOHAMMAD AYUB KHAN,parties.IN.JKNC,NC,21378,95.74,LAKHMI CHAND,parties.IN.PP,PP,951,20427,91.48,src-1b7bc1c9d39a,minor,
IN-AC-1962-jammu-and-kashmir-26,jammu-and-kashmir,1962,RAMBAN,27930,21983,78.71,MIR ASSADULLAH,parties.IN.JKNC,NC,18332,83.39,DEVI DASS,parties.IN.PSP,PSP,2981,15351,69.83,src-1b7bc1c9d39a,minor,
