entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-1967-jammu-and-kashmir-1,jammu-and-kashmir,1972,1,KARNAH,MOHD YASEEN SHAH,parties.IN.IND,IND,10310,42.91,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-jammu-and-kashmir-1,jammu-and-kashmir,1972,1,KARNAH,MOHD. YUNIS,parties.IN.INC,INC,9652,40.17,2,lost,U,,,,crossover,src-1b7bc1c9d39a
IN-AC-1967-jammu-and-kashmir-1,jammu-and-kashmir,1972,1,KARNAH,ABDUL RAHMAN B DHANA,parties.IN.IND,IND,4065,16.92,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-jammu-and-kashmir-2,jammu-and-kashmir,1972,2,KUPWARA,GHULAM MOHD. SHAH,parties.IN.INC,INC,10988,74.79,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-jammu-and-kashmir-2,jammu-and-kashmir,1972,2,KUPWARA,MOHD. SULTAN TANTREY,parties.IN.IND,IND,2331,15.87,2,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-jammu-and-kashmir-2,jammu-and-kashmir,1972,2,KUPWARA,SH. AHMAD DAR,parties.IN.IND,IND,1130,7.69,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-jammu-and-kashmir-2,jammu-and-kashmir,1972,2,KUPWARA,ABDUL AZIZ KHAN,parties.IN.IND,IND,242,1.65,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-jammu-and-kashmir-3,jammu-and-kashmir,1972,3,LOLAB,SAIF ULLAH BHAT,parties.IN.INC,INC,9424,53.28,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-jammu-and-kashmir-3,jammu-and-kashmir,1972,3,LOLAB,NABI SHAH,parties.IN.IND,IND,5638,31.87,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1967-jammu-and-kashmir-3,jammu-and-kashmir,1972,3,LOLAB,AB. RASHEED MIR,parties.IN.IND,IND,1379,7.8,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
