entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-1976-jharkhand-1,jharkhand,2005,1,RAJMAHAL,THOMAS HANSDA,parties.IN.INC,INC,36472,25.72,1,won,U,54,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-1976-jharkhand-1,jharkhand,2005,1,RAJMAHAL,ARUN MANDAL,parties.IN.IND,IND,25296,17.84,2,lost,U,52,10th Pass,,incumbent,src-1b7bc1c9d39a
IN-AC-1976-jharkhand-1,jharkhand,2005,1,RAJMAHAL,KAMAL KRISHNA BHAGAT,parties.IN.BJP,BJP,21639,15.26,3,forfeit,U,47,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-jharkhand-1,jharkhand,2005,1,RAJMAHAL,MOINUDDIN SHEKH,parties.IN.CPIM,CPM,19805,13.97,4,forfeit,U,38,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-jharkhand-1,jharkhand,2005,1,RAJMAHAL,RAMCHANDRA KESHRI,parties.IN.RJD,RJD,11254,7.94,5,forfeit,U,64,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-jharkhand-1,jharkhand,2005,1,RAJMAHAL,DHRUV BHAGAT,parties.IN.NCP,NCP,4251,3,6,forfeit,U,53,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-jharkhand-1,jharkhand,2005,1,RAJMAHAL,MD. TAJUDDIN,parties.IN.IND,IND,2881,2.03,7,forfeit,U,31,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-jharkhand-1,jharkhand,2005,1,RAJMAHAL,PRADEEP KUMAR VERMA,parties.IN.AJSU,AJSU,2449,1.73,8,forfeit,U,34,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-jharkhand-1,jharkhand,2005,1,RAJMAHAL,RAJENDRA PRASAD GUPTA,parties.IN.IND,IND,2354,1.66,9,forfeit,U,47,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-jharkhand-1,jharkhand,2005,1,RAJMAHAL,KIRAN SHANKAR SINHA,parties.IN.IND,IND,1852,1.31,10,forfeit,U,48,,,challenger,src-1b7bc1c9d39a
