entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,MD. TAJUDDIN,parties.IN.JMM,JMM,140176,54.3097,1,won,M,51,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,ANANT KUMAR OJHA,parties.IN.BJP,BJP,96744,37.4824,2,lost,M,51,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,SUNIL YADAV,parties.IN.IND,IND,14012,5.4288,3,lost,M,41,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,MOTILAL SARKAR,parties.IN.UNK,JLKM,1918,0.7431,4,lost,M,53,,,challenger,src-d5fd53f4548f,major,Publisher label 'JLKM' unmatched against TCPD/ECI catalogues; awaiting oracle resolution per datasets/_ops/unk-ledger-2026-06-12.csv.
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,NANDLAL SAH,parties.IN.LKHAP,LKHAP,1095,0.4242,5,lost,M,55,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,SADDAM HUSSAIN,parties.IN.IND,IND,907,0.3514,6,lost,M,32,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,ADHIR KUMAR MANDAL,parties.IN.IND,IND,708,0.2743,7,lost,M,64,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,RANDHIR PRASAD,parties.IN.IND,IND,592,0.2294,8,lost,M,40,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,MURLI DHAR TIWARI,parties.IN.IND,IND,557,0.2158,9,lost,M,38,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,RAMESHWAR MANDAL,parties.IN.PPID,PPID,348,0.1348,10,lost,M,67,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,NAIM SEKH,parties.IN.IND,IND,340,0.1317,11,lost,M,41,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,MD SAHADAT HUSSAIN,parties.IN.SP,SP,312,0.1209,12,lost,M,26,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,GOPAL CHANDRA MANDAL,parties.IN.IND,IND,223,0.0864,13,lost,M,58,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2209,jharkhand,2024,1,Rajmahal,MD ASLAM,parties.IN.IND,IND,173,0.067,14,lost,M,65,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2205,jharkhand,2024,2,Borio,DHANANJAY SOREN,parties.IN.JMM,JMM,97317,51.7578,1,won,M,36,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2205,jharkhand,2024,2,Borio,LOBIN HEMBRAM,parties.IN.BJP,BJP,78044,41.5075,2,lost,M,73,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2205,jharkhand,2024,2,Borio,SURYANARAYAN HANSDA,parties.IN.UNK,JLKM,2937,1.562,3,lost,M,43,,,challenger,src-d5fd53f4548f,major,Publisher label 'JLKM' unmatched against TCPD/ECI catalogues; awaiting oracle resolution per datasets/_ops/unk-ledger-2026-06-12.csv.
IN-AC-2008-jharkhand-2205,jharkhand,2024,2,Borio,RAMA PAHARIA,parties.IN.IND,IND,2251,1.1972,4,lost,M,47,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2205,jharkhand,2024,2,Borio,AMIT KUMAR MALTO,parties.IN.LKHAP,LKHAP,1612,0.8573,5,lost,M,49,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2205,jharkhand,2024,2,Borio,RANJO KUMARI,parties.IN.IND,IND,1086,0.5776,6,lost,F,27,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2205,jharkhand,2024,2,Borio,MARANG MARANDI,parties.IN.IND,IND,1033,0.5494,7,lost,M,64,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2205,jharkhand,2024,2,Borio,MANOJ SOREN,parties.IN.IND,IND,850,0.4521,8,lost,M,39,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2205,jharkhand,2024,2,Borio,PAULUS MURMU,parties.IN.IND,IND,558,0.2968,9,lost,M,47,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2205,jharkhand,2024,2,Borio,ARUN KUMAR BESRA,parties.IN.RADP,RADP,505,0.2686,10,lost,M,54,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2205,jharkhand,2024,2,Borio,MANDAL HANSDA,parties.IN.IND,IND,499,0.2654,11,lost,M,70,,,challenger,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2205,jharkhand,2024,2,Borio,INNOCENT SOREN,parties.IN.IND,IND,440,0.234,12,lost,M,60,,,challenger,src-d5fd53f4548f,minor,
