entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-2008-jharkhand-2209,jharkhand,2024,Rajmahal,356322,261163,73.29,MD. TAJUDDIN,parties.IN.JMM,JMM,140176,54.31,ANANT KUMAR OJHA,parties.IN.BJP,BJP,96744,43432,16.83,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2205,jharkhand,2024,Borio,284763,191590,67.28,DHANANJAY SOREN,parties.IN.JMM,JMM,97317,51.76,LOBIN HEMBRAM,parties.IN.BJP,BJP,78044,19273,10.25,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2204,jharkhand,2024,Barhait,225960,162197,71.78,HEMANT SOREN,parties.IN.JMM,JMM,95612,60.24,GAMLIYEL HEMBROM,parties.IN.BJP,BJP,55821,39791,25.07,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2206,jharkhand,2024,Litipara,217898,163925,75.23,HEMLAL MURMU,parties.IN.JMM,JMM,88469,55.09,BABUDHAN MURMU,parties.IN.BJP,BJP,61720,26749,16.66,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2208,jharkhand,2024,Pakhur,390303,298116,76.38,NISAT ALAM,parties.IN.INC,INC,155827,52.66,AZHAR ISLAM,parties.IN.AJSU,AJSUP,69798,86029,29.07,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2207,jharkhand,2024,Maheshpur,240157,192744,80.26,STEPHEN MARANDI,parties.IN.JMM,JMM,114924,60.03,NAVNEET ANTHONY HEMBROM,parties.IN.BJP,BJP,53749,61175,31.96,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2157,jharkhand,2024,Shikaripara,230874,174313,75.5,ALOK KUMAR SOREN,parties.IN.JMM,JMM,102199,59.93,PARITOSH SOREN,parties.IN.BJP,BJP,61025,41174,24.15,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2155,jharkhand,2024,Nala,242742,196876,81.11,RABINDRA NATH MAHATO,parties.IN.JMM,JMM,92702,47.48,MADHAV CHANDRA MAHATO,parties.IN.BJP,BJP,82219,10483,5.37,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2154,jharkhand,2024,Jamtara,321605,244009,75.87,IRFAN ANSARI,parties.IN.INC,INC,133266,55.26,SITA MURMU,parties.IN.BJP,BJP,89590,43676,18.11,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2152,jharkhand,2024,Dumka,260088,186419,71.68,BASANT SOREN,parties.IN.JMM,JMM,95685,52.22,SUNIL SOREN,parties.IN.BJP,BJP,81097,14588,7.96,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2153,jharkhand,2024,Jama,225298,162973,72.34,LOIS MARANDI,parties.IN.JMM,JMM,76424,47.09,SURESH MURMU,parties.IN.BJP,BJP,70686,5738,3.54,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2166,jharkhand,2024,Jarmundi,271833,194742,71.64,DEVENDRA KUNWAR,parties.IN.BJP,BJP,94892,49.1,BADAL,parties.IN.INC,INC,77346,17546,9.08,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2167,jharkhand,2024,Madhupur,368735,282427,76.59,HAFIZUL HASSAN,parties.IN.JMM,JMM,143953,51.64,GANGA NARAYAN SINGH,parties.IN.BJP,BJP,123926,20027,7.18,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2156,jharkhand,2024,Sarath,316883,248952,78.56,UDAY SHANKAR SINGH,parties.IN.JMM,JMM,135219,54.66,RANDHIR KUMAR SINGH,parties.IN.BJP,BJP,97790,37429,15.13,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2164,jharkhand,2024,Deoghar,438372,291577,66.51,SURESH PASWAN,parties.IN.RJD,RJD,156079,54.26,NARAYAN DAS,parties.IN.BJP,BJP,116358,39721,13.81,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2169,jharkhand,2024,Poreyahat,317374,222763,70.19,PRADEEP YADAV,parties.IN.INC,INC,117842,54.06,DEVENDRANATH SINGH,parties.IN.BJP,BJP,83712,34130,15.66,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2165,jharkhand,2024,Godda,314979,220916,70.14,SANJAY PRASAD YADAV,parties.IN.RJD,RJD,109487,50.08,AMIT KUMAR MANDAL,parties.IN.BJP,BJP,88016,21471,9.82,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2168,jharkhand,2024,Mahagama,334512,223545,66.83,DEEPIKA PANDEY SINGH,parties.IN.INC,INC,114069,51.7,ASHOK KUMAR,parties.IN.BJP,BJP,95424,18645,8.45,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2192,jharkhand,2024,Kodarma,405742,257434,63.45,DR. NEERA YADAV,parties.IN.BJP,BJP,86734,34.48,SUBHASH PRASAD YADAV,parties.IN.RJD,RJD,80919,5815,2.31,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2188,jharkhand,2024,Barkatha,389481,250905,64.42,AMIT KUMAR YADAV,parties.IN.BJP,BJP,82221,32.91,JANKI PRASAD YADAV,parties.IN.JMM,JMM,78561,3660,1.46,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2170,jharkhand,2024,Barhi,335656,221693,66.05,MANOJ KUMAR YADAV,parties.IN.BJP,BJP,113274,51.44,ARUN SAHU,parties.IN.INC,INC,63983,49291,22.39,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2171,jharkhand,2024,Barkagaon,386652,265680,68.71,ROSHAN LAL CHOUDHARY,parties.IN.BJP,BJP,124468,47.06,AMBA PRASAD,parties.IN.INC,INC,93075,31393,11.87,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2174,jharkhand,2024,Ramgarh,357298,260291,72.85,MAMTA DEVI,parties.IN.INC,INC,89818,34.7,SUNITA CHOUDHARY,parties.IN.AJSU,AJSUP,83028,6790,2.62,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2173,jharkhand,2024,Mandhu,431888,285343,66.07,NIRMAL MAHTO,parties.IN.AJSU,AJSUP,90871,31.96,JAI PRAKASH BHAI PATEL,parties.IN.INC,INC,90640,231,0.08,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2172,jharkhand,2024,Hazaribagh,441027,268643,60.91,PRADIP PRASAD,parties.IN.BJP,BJP,139458,52.12,MUNNA SINGH,parties.IN.INC,INC,95981,43477,16.25,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2145,jharkhand,2024,Simaria,378063,251640,66.56,KUMAR UJJWAL,parties.IN.BJP,BJP,111906,45.73,MANOJ KUMAR CHANDRA,parties.IN.JMM,JMM,107905,4001,1.63,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2141,jharkhand,2024,Chatra,428319,268657,62.72,JANARDHAN PASWAN,parties.IN.LJPRV,LJPRV,109019,41.84,RASHMI PRAKASH,parties.IN.RJD,RJD,90618,18401,7.06,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2189,jharkhand,2024,Dhanwar,371310,234416,63.13,BABU LAL MARANDI,parties.IN.BJP,BJP,106296,45.6,NIZAM UDDIN ANSARI,parties.IN.JMM,JMM,70858,35438,15.2,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2187,jharkhand,2024,Bagodar,387661,253898,65.49,NAGENDRA MAHTO,parties.IN.BJP,BJP,127501,51.32,VINOD KUMAR SINGH,parties.IN.CPIMLL,CPI(ML)(L),94884,32617,13.13,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2191,jharkhand,2024,Jamua,359735,220077,61.18,MANJU KUMARI,parties.IN.BJP,BJP,117532,54.65,KEDAR HAZRA,parties.IN.JMM,JMM,84901,32631,15.17,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2190,jharkhand,2024,Gandey,320211,236339,73.81,KALPANA MURMU SOREN,parties.IN.JMM,JMM,119372,51.17,MUNIYA DEVI,parties.IN.BJP,BJP,102230,17142,7.35,src-d5fd53f4548f,minor,
IN-AC-2008-jharkhand-2161,jharkhand,2024,Giridih,305172,207682,68.05,SUDIVYA KUMAR,parties.IN.JMM,JMM,94042,45.72,NIRBHAY KUMAR SHAHABADI,parties.IN.BJP,BJP,90204,3838,1.87,src-d5fd53f4548f,minor,
