entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-karnataka-1,karnataka,1994,AURAD,155938,97658,62.63,GURUPADAPPA NAGMAR PALLI,parties.IN.JD,JD,29479,30.19,SHEKHAR PATIL,parties.IN.INC,INC,28800,679,0.7,src-1b7bc1c9d39a
IN-AC-1976-karnataka-10,karnataka,1994,GULBARGA,218601,132351,60.54,QAMARUL ISLAM,parties.IN.INL,INL,58719,44.37,SHASHIL G. NAMOSHI,parties.IN.BJP,BJP,40829,17890,13.52,src-1b7bc1c9d39a
IN-AC-1976-karnataka-100,karnataka,1994,ANEKAL,171423,124704,72.75,Y. RAMAKRISHNA,parties.IN.BJP,BJP,37999,30.47,M. GANAPATHIRAJA,parties.IN.JD,JD,37131,868,0.69,src-1b7bc1c9d39a
IN-AC-1976-karnataka-101,karnataka,1994,NAGAMANGALA,126197,98472,78.03,L.R. SHIVARAMEGOWDA,parties.IN.IND,IND,44719,45.41,B.V. DHARANENDRA BABU,parties.IN.BJP,BJP,27768,16951,17.21,src-1b7bc1c9d39a
IN-AC-1976-karnataka-102,karnataka,1994,MADDUR,128351,99736,77.71,DR. M. MAHESH CHAND,parties.IN.JD,JD,40695,40.8,S.M. KRISHNA,parties.IN.INC,INC,37231,3464,3.47,src-1b7bc1c9d39a
IN-AC-1976-karnataka-103,karnataka,1994,KIRAGAVAL,120942,97724,80.8,K.N. NAGEGOWDA,parties.IN.JD,JD,36348,37.19,B. BASAVARAJU,parties.IN.INC,INC,28866,7482,7.65,src-1b7bc1c9d39a
IN-AC-1976-karnataka-104,karnataka,1994,MALAVALLI,134591,99248,73.74,SOMASEKHAR B.,parties.IN.JD,JD,63808,64.29,MALLAJAMMA,parties.IN.INC,INC,27435,36373,36.65,src-1b7bc1c9d39a
IN-AC-1976-karnataka-105,karnataka,1994,MANDYA,141845,98736,69.61,S.D. JAYARAM,parties.IN.JD,JD,57216,57.95,M.S. ATHMANANDA,parties.IN.INC,INC,27183,30033,30.42,src-1b7bc1c9d39a
IN-AC-1976-karnataka-106,karnataka,1994,KERAGODU,109338,84449,77.24,G.B. SHIVAKUMAR,parties.IN.JD,JD,48124,56.99,M.D. RAMESH RAJU,parties.IN.INC,INC,14838,33286,39.42,src-1b7bc1c9d39a
IN-AC-1976-karnataka-107,karnataka,1994,SRIRANGAPATNA,132849,102811,77.39,VIJAYA LAXMAMMA BANDISIDDEGOWDA,parties.IN.JD,JD,43062,41.88,K.S. NANJUNDEGOWDA,parties.IN.IND,IND,19635,23427,22.78,src-1b7bc1c9d39a
IN-AC-1976-karnataka-108,karnataka,1994,PANDAVAPURA,135814,106419,78.36,K.S. PUTTANNAIAH,parties.IN.KRRS,KRRS,43323,40.71,K. KEMPEGOWDA,parties.IN.IND,IND,30739,12584,11.83,src-1b7bc1c9d39a
IN-AC-1976-karnataka-109,karnataka,1994,KRISHNARAJPET,139754,108678,77.76,KRISHNA,parties.IN.JD,JD,59841,55.06,KENGEGOWDA K.N.,parties.IN.BJP,BJP,22785,37056,34.09,src-1b7bc1c9d39a
IN-AC-1976-karnataka-11,karnataka,1994,SHAHABAD,163910,81665,49.82,C. GURUNATH,parties.IN.JD,JD,32937,40.33,BABU RAO CHAVAN,parties.IN.INC,INC,16086,16851,20.63,src-1b7bc1c9d39a
IN-AC-1976-karnataka-110,karnataka,1994,HANUR,150122,112834,75.16,H. NAGAPPA,parties.IN.JD,JD,65851,58.36,G. RAJUGOWDA,parties.IN.INC,INC,45209,20642,18.29,src-1b7bc1c9d39a
IN-AC-1976-karnataka-111,karnataka,1994,KOLLEGAL,128451,84241,65.58,S. JAYANNA,parties.IN.JD,JD,39568,46.97,G.N. NANJUNDASWAMY,parties.IN.BJP,BJP,13988,25580,30.37,src-1b7bc1c9d39a
IN-AC-1976-karnataka-112,karnataka,1994,BANNUR,124064,95951,77.34,S. KRISHNAPPA,parties.IN.JD,JD,46992,48.97,K.M. CHIKKAMADANAIKA,parties.IN.INC,INC,34398,12594,13.12,src-1b7bc1c9d39a
IN-AC-1976-karnataka-113,karnataka,1994,T. NARASIPUR,126416,88158,69.74,H.C. MAHADEVAPPA,parties.IN.JD,JD,51874,58.84,M. SRINIVASAIAH,parties.IN.INC,INC,20615,31259,35.46,src-1b7bc1c9d39a
IN-AC-1976-karnataka-114,karnataka,1994,KRISHNARAJ,107707,59279,55.04,A. RAMDAS,parties.IN.BJP,BJP,28190,47.55,M. VEDANTHA HEMMIGE,parties.IN.JD,JD,18827,9363,15.79,src-1b7bc1c9d39a
IN-AC-1976-karnataka-115,karnataka,1994,CHAMARAJA,149047,81081,54.4,H.S. SHANKARAL NGEGOWDA,parties.IN.BJP,BJP,32620,40.23,C. BASAVEGOWDA,parties.IN.JD,JD,19937,12683,15.64,src-1b7bc1c9d39a
