entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-karnataka-3453,karnataka,2008,BADAMI,181069,119095,65.77,MAHAGUNDAPPA KALLAPPA PATTANSHETTY,parties.IN.BJP,53409,44.85,BALAPPA BHIMAPPA CHIMMANKATTI,parties.IN.INC,48302,5107,4.29,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3454,karnataka,2008,BAGALKOT,177202,110550,62.39,CHARANTIMATH VIRANNA CHANDRASHEKHARAYYA.,parties.IN.BJP,46452,42.02,METI HULLAPPA YAMANAPPA,parties.IN.INC,37206,9246,8.36,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3455,karnataka,2008,BILGI,173584,123446,71.12,MURUGESH RUDRAPPA NIRANI,parties.IN.BJP,53474,43.32,AJAYKUMAR SARANAYAK,parties.IN.INC,50350,3124,2.53,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3456,karnataka,2008,HUNGUND,172121,112365,65.28,DODDANAGOUDA G PATIL,parties.IN.BJP,53644,47.74,KASHAPPANAVAR VIJAYANAND SHIVASHANKARAPPA,parties.IN.INC,48575,5069,4.51,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3457,karnataka,2008,JAMKHANDI,161554,109245,67.62,KULKARNI SHRIKANTH SUBBRAO.,parties.IN.BJP,59930,54.86,SIDDU. B.NYAMAGOUDA,parties.IN.INC,40240,19690,18.03,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3458,karnataka,2008,MUDHOL,149515,107298,71.76,GOVIND.M.KARJOL,parties.IN.BJP,51835,48.31,TIMMAPUR RAMAPPA BALAPPA,parties.IN.INC,44457,7378,6.88,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3459,karnataka,2008,NARGUND,151375,107932,71.3,C C PATIL,parties.IN.BJP,46824,43.38,B R YAVAGAL,parties.IN.IND,29210,17614,16.32,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3460,karnataka,2008,TERDAL,178292,124451,69.8,SIDDU. SAVADI,parties.IN.BJP,62595,50.3,UMASHREE,parties.IN.INC,50351,12244,9.84,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3461,karnataka,2008,C.V. RAMAN NAGAR,219661,89328,40.67,S. RAGHU,parties.IN.BJP,47369,53.03,K.C VIJAYAKUMAR,parties.IN.INC,30714,16655,18.65,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3464,karnataka,2008,MAHADEVAPURA,275355,146414,53.17,ARAVIND LIMBAVALI,parties.IN.BJP,76376,52.16,B.SHIVANNA,parties.IN.INC,63018,13358,9.12,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3465,karnataka,2008,RAJAJI NAGAR,183257,96507,52.66,SURESH KUMAR S.,parties.IN.BJP,49655,51.45,PADMAVATHI G.,parties.IN.INC,34995,14660,15.19,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3466,karnataka,2008,SARVAGNANAGAR,304880,107941,35.4,K.J.GEORGE,parties.IN.INC,45488,42.14,R.SHANKAR,parties.IN.BJP,22880,22608,20.94,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3467,karnataka,2008,SHANTI NAGAR,183981,81039,44.05,N.A HARIS,parties.IN.INC,42423,52.35,D.U MALLIKARJUNA,parties.IN.BJP,28626,13797,17.03,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3468,karnataka,2008,SHIVAJINAGAR,167744,80358,47.91,R.RHOSHAN BAIG,parties.IN.INC,43013,53.53,NIRMAL SURANA,parties.IN.BJP,32617,10396,12.94,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3469,karnataka,2008,BYATARAYANAPURA,266428,141782,53.22,KRISHNA BYREGOWDA,parties.IN.INC,60979,43.01,A RAVI,parties.IN.BJP,51627,9352,6.6,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3470,karnataka,2008,DASARAHALLI,290998,127447,43.8,S.MUNIRAJU,parties.IN.BJP,59004,46.3,K.C.ASHOKA,parties.IN.INC,36849,22155,17.39,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3471,karnataka,2008,HEBBAL,212960,95548,44.87,KATTA SUBRAMANYA NAIDU,parties.IN.BJP,46715,48.89,H.M.REVANNA,parties.IN.INC,41763,4952,5.18,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3472,karnataka,2008,K.R.PURA,314832,135578,43.06,N.S.NANDIESHA REDDY,parties.IN.BJP,66741,49.23,A.KRISHNAPPA,parties.IN.INC,56971,9770,7.21,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3473,karnataka,2008,MAHALAKSHMI LAYOUT,220222,113386,51.49,N.L.NARENDRA BABU,parties.IN.INC,42652,37.62,R.V.HAREESH,parties.IN.BJP,39427,3225,2.85,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3474,karnataka,2008,MALLESHWARAM,197639,103200,52.22,DR. ASWATH NARAYAN C.N.,parties.IN.BJP,53794,52.13,M.R.SEETHARAM,parties.IN.INC,45611,8183,7.93,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3475,karnataka,2008,PULAKESHINAGAR,185617,78514,42.3,B. PRASANNA KUMAR,parties.IN.INC,39577,50.41,R.SRINIVASA MURTHY,parties.IN.JDS,21908,17669,22.51,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3476,karnataka,2008,YESHVANTHAPURA,265168,150544,56.77,SHOBHA KARANDLAJE,parties.IN.BJP,57643,38.29,S.T.SOMASHEKAR,parties.IN.INC,56561,1082,0.72,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3477,karnataka,2008,ANEKAL,237971,139340,58.55,A NARAYANASWAMY,parties.IN.BJP,62455,44.82,B GOPAL,parties.IN.INC,52593,9862,7.08,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3478,karnataka,2008,BANGALORE SOUTH,379873,167068,43.98,M KRISHNAPPA,parties.IN.BJP,71114,42.57,SADANANDA M,parties.IN.INC,36979,34135,20.44,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3479,karnataka,2008,CHANNAPATNA,183793,143560,78.11,C.P.YOGESHWARA,parties.IN.INC,69356,48.31,M C ASHWATH,parties.IN.JDS,64426,4930,3.43,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3480,karnataka,2008,KANAKAPURA,184852,140873,76.21,D.K.SHIVAKUMAR,parties.IN.INC,68096,48.34,D.M.VISHWANATH,parties.IN.JDS,60917,7179,5.1,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3481,karnataka,2008,KUNIGAL,155450,120653,77.62,B.B. RAMASWAMY GOWDA,parties.IN.INC,48160,39.92,D. KRISHNA KUMAR,parties.IN.BJP,34366,13794,11.44,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3482,karnataka,2008,MAGADI,186252,144047,77.34,H C BALAKRISHNA,parties.IN.JDS,75991,52.75,P. NAGARAJU,parties.IN.BJP,51072,24919,17.29,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3483,karnataka,2008,RAJARAJESHWARINAGAR,301495,143910,47.73,M.SRINIVAS,parties.IN.BJP,60187,41.82,P.N.KRISHNAMURTHY,parties.IN.INC,40595,19592,13.61,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3484,karnataka,2008,RAMANAGARAM,173939,127836,73.49,H D KUMARA SWAMY,parties.IN.JDS,71700,56.09,M RUDRESHA,parties.IN.BJP,24440,47260,36.97,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3485,karnataka,2008,B.T.M LAYOUT,216392,101182,46.76,RAMALINGA REDDY,parties.IN.INC,46811,46.26,G. PRASAD REDDY,parties.IN.BJP,44954,1857,1.83,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3487,karnataka,2008,BOMMANAHALLI,273749,121394,44.35,SATISH REDDY.M,parties.IN.BJP,62993,51.89,KUPENDRA REDDY.D,parties.IN.INC,49353,13640,11.23,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3488,karnataka,2008,CHICKPET,212620,100057,47.06,DR. HEMACHANDRA SAGAR,parties.IN.BJP,40252,40.23,R.V.DEVARAJ,parties.IN.INC,32971,7281,7.28,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3489,karnataka,2008,GOVINDRAJ NAGAR,246476,104485,42.39,V.SOMANNA,parties.IN.INC,53297,51.01,R.RAVINDRA,parties.IN.BJP,28935,24362,23.32,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3490,karnataka,2008,JAYANAGAR,189232,89123,47.1,B.N.VIJAYA KUMAR,parties.IN.BJP,43164,48.43,M.SURESH,parties.IN.INC,20570,22594,25.35,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3491,karnataka,2008,PADMANABA NAGAR,223967,118675,52.99,R.ASHOKA,parties.IN.BJP,61561,51.87,M.V.PRASAD BABU (KABBADI BABU),parties.IN.JDS,30285,31276,26.35,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3492,karnataka,2008,VIJAY NAGAR,253293,109358,43.17,M.KRISHNAPPA,parties.IN.INC,70457,64.43,PRAMILA NESARGI,parties.IN.BJP,31832,38625,35.32,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3493,karnataka,2008,ARABHAVI,171744,127252,74.09,BALACHANDRA LAXMANRAO JARAKIHOLI,parties.IN.JDS,53206,41.81,VIVEKRAO VASANTRAO PATIL,parties.IN.BJP,47838,5368,4.22,src-1b7bc1c9d39a
