entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-2008-karnataka-3453,karnataka,2013,BADAMI,196662,139071,70.72,CHIMMANAKATTI BALAPPA BHIMAPPA,parties.IN.INC,INC,57446,41.31,MAHANTESH GURUPADAPPA MAMADAPUR,parties.IN.JDS,JD(S),42333,15113,10.87,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3454,karnataka,2013,BAGALKOT,201375,139966,69.51,METI HULLAPPA YAMANAPPA,parties.IN.INC,INC,68216,48.74,CHARANTIMATH VEERANNA CHANDRASHEKHARAYYA,parties.IN.BJP,BJP,65316,2900,2.07,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3455,karnataka,2013,BILGI,190466,149179,78.32,J . T. PATIL,parties.IN.INC,INC,66655,44.68,MURAGESH. RUDRAPPA. NIRANI,parties.IN.BJP,BJP,55417,11238,7.53,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3456,karnataka,2013,HUNGUND,191972,137024,71.38,KASHAPPANAVAR VIJAYANAND SHIVASHANKRAPPA,parties.IN.INC,INC,72720,53.07,DODDANAGOUDA G PATIL,parties.IN.BJP,BJP,56923,15797,11.53,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3457,karnataka,2013,JAMKHANDI,176718,131750,74.55,SIDDU B. NYAMAGOUDA,parties.IN.INC,INC,49145,37.3,JAGADISH GUDAGUNTI,parties.IN.IND,IND,27993,21152,16.05,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3458,karnataka,2013,MUDHOL,166358,129099,77.6,GOVIND.M.KARJOL,parties.IN.BJP,BJP,64727,50.14,TIMMAPUR.RAMAPPA. BALAPPA.,parties.IN.INC,INC,59549,5178,4.01,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3459,karnataka,2013,NARGUND,171702,128630,74.91,B R YAVAGAL,parties.IN.INC,INC,59620,46.35,C C PATIL,parties.IN.BJP,BJP,51035,8585,6.67,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3460,karnataka,2013,TERDAL,192780,151562,78.62,UMASHREE,parties.IN.INC,INC,70189,46.31,SIDDU SAVADI,parties.IN.BJP,BJP,67590,2599,1.71,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3461,karnataka,2013,C.V. RAMAN NAGAR,197124,106178,53.86,S. RAGHU,parties.IN.BJP,BJP,53364,50.26,P. RAMESH,parties.IN.INC,INC,44945,8419,7.93,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3464,karnataka,2013,MAHADEVAPURA,368393,226749,61.55,ARVIND LIMBAVALI,parties.IN.BJP,BJP,110244,48.62,A.C.SRINIVAS,parties.IN.INC,INC,104095,6149,2.71,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3465,karnataka,2013,RAJAJI NAGAR,176249,107802,61.16,S.SURESH KUMAR,parties.IN.BJP,BJP,39291,36.45,R.MANJULA NAIDU,parties.IN.INC,INC,24524,14767,13.7,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3466,karnataka,2013,SARVAGNANAGAR,280041,140672,50.23,K.J. GEORGE,parties.IN.INC,INC,69673,49.53,PADMANABHA REDDY,parties.IN.BJP,BJP,46820,22853,16.25,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3467,karnataka,2013,SHANTI NAGAR,179461,103610,57.73,N.A.HARIS,parties.IN.INC,INC,54342,52.45,K. VASUDEVA MURTHY,parties.IN.JDS,JD(S),34155,20187,19.49,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3468,karnataka,2013,SHIVAJINAGAR,167309,90895,54.33,R.ROSHAN BAIG,parties.IN.INC,INC,49649,54.62,NIRMAL SURANA,parties.IN.BJP,BJP,28794,20855,22.94,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3469,karnataka,2013,BYATARAYANAPURA,330387,208322,63.05,KRISHNA BYRE GOWDA,parties.IN.INC,INC,96125,46.14,A.RAVI,parties.IN.BJP,BJP,63725,32400,15.55,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3470,karnataka,2013,DASARAHALLI,344606,191258,55.5,S MUNIRAJU,parties.IN.BJP,BJP,57562,30.1,B L SHANKAR,parties.IN.INC,INC,46734,10828,5.66,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3471,karnataka,2013,HEBBAL,210497,115540,54.89,R. JAGADEESH KUMAR,parties.IN.BJP,BJP,38162,33.03,C.K. ABDUL RAHMAN SHARIEF,parties.IN.INC,INC,33026,5136,4.45,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3472,karnataka,2013,K.R.PURA,339784,200184,58.92,B.A.BASAVARAJA,parties.IN.INC,INC,106299,53.1,N.S.NANDIESHA REDDY,parties.IN.BJP,BJP,82298,24001,11.99,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3473,karnataka,2013,MAHALAKSHMI LAYOUT,245583,147849,60.2,GOPALAIAH .K.,parties.IN.JDS,JD(S),66127,44.73,N.L. NARENDRABABU,parties.IN.INC,INC,50757,15370,10.4,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3474,karnataka,2013,MALLESHWARAM,173755,108299,62.33,DR. ASHWATH NARAYAN C. N.,parties.IN.BJP,BJP,57609,53.19,B. K. SHIVARAM.,parties.IN.INC,INC,36543,21066,19.45,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3475,karnataka,2013,PULAKESHINAGAR,178272,100501,56.38,AKHANDA SRINIVAS MURTHY.R,parties.IN.JDS,JD(S),48995,48.75,B.PRASANNA KUMAR,parties.IN.INC,INC,38796,10199,10.15,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3476,karnataka,2013,YESHVANTHAPURA,349639,231515,66.22,S.T.SOMASHEKAR,parties.IN.INC,INC,120380,52,T.N.JAVARAYI GOWDA,parties.IN.JDS,JD(S),91280,29100,12.57,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3477,karnataka,2013,ANEKAL,270767,186461,68.86,SHIVANNA B.,parties.IN.INC,INC,105464,56.56,A. NARAYANASWAMY,parties.IN.BJP,BJP,65282,40182,21.55,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3478,karnataka,2013,BANGALORE SOUTH,447562,250737,56.02,M. KRISHNAPPA,parties.IN.BJP,BJP,102207,40.76,R. PRABHAKARA REDDY,parties.IN.JDS,JD(S),72045,30162,12.03,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3479,karnataka,2013,CHANNAPATNA,198764,168511,84.78,C P YOGESHWARA,parties.IN.SP,SP,80099,47.53,ANITHA KUMARASWAMY,parties.IN.JDS,JD(S),73635,6464,3.83,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3480,karnataka,2013,KANAKAPURA,210997,176151,83.49,D.K. SHIVAKUMAR,parties.IN.INC,INC,100007,56.77,P.G.R SINDHIA,parties.IN.JDS,JD(S),68583,31424,17.84,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3481,karnataka,2013,KUNIGAL,170828,142545,83.44,D. NAGARAJAIAH,parties.IN.JDS,JD(S),44575,31.27,D.KRISHNAKUMAR,parties.IN.BJP,BJP,34943,9632,6.76,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3482,karnataka,2013,MAGADI,202991,170066,83.78,H.C.BALAKRISHNA,parties.IN.JDS,JD(S),74821,44,A.MANJUNATH,parties.IN.INC,INC,60462,14359,8.45,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3483,karnataka,2013,RAJARAJESHWARINAGAR,334493,189998,56.8,MUNIRATHNA,parties.IN.INC,INC,71064,37.4,K.L.R.THIMMANANJAIAH,parties.IN.JDS,JD(S),52251,18813,9.9,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3484,karnataka,2013,RAMANAGARAM,184788,148705,80.47,H D KUMARA SWAMY,parties.IN.JDS,JD(S),83447,56.12,MARIDEVARU,parties.IN.INC,INC,58049,25398,17.08,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3485,karnataka,2013,B.T.M LAYOUT,206974,110486,53.38,RAMALINGAREDDY,parties.IN.INC,INC,69712,63.1,N. SUDHAKAR,parties.IN.BJP,BJP,20664,49048,44.4,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3487,karnataka,2013,BOMMANAHALLI,323091,174734,54.08,SATHISH REDDY.M,parties.IN.BJP,BJP,86552,49.53,NAGABHUSHANA.C,parties.IN.INC,INC,60700,25852,14.79,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3488,karnataka,2013,CHICKPET,187694,108814,57.97,R.V. DEVRAJ,parties.IN.INC,INC,44714,41.09,UDAY.B.GARUDACHAR,parties.IN.BJP,BJP,31655,13059,12,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3489,karnataka,2013,GOVINDRAJ NAGAR,239465,131237,54.8,PRIYAKRISHNA,parties.IN.INC,INC,72654,55.36,H. RAVINDRA,parties.IN.BJP,BJP,30194,42460,32.35,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3490,karnataka,2013,JAYANAGAR,170907,95565,55.92,B.N. VIJAYAKUMAR,parties.IN.BJP,BJP,43990,46.03,M.C.VENUGOPAL,parties.IN.INC,INC,31678,12312,12.88,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3491,karnataka,2013,PADMANABA NAGAR,219754,128353,58.41,R ASHOKA,parties.IN.BJP,BJP,53680,41.82,L.S.CHETHAN GOWDA,parties.IN.INC,INC,33557,20123,15.68,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3492,karnataka,2013,VIJAY NAGAR,235950,133197,56.45,M.KRISHNAPPA,parties.IN.INC,INC,76891,57.73,V.SOMANNA,parties.IN.BJP,BJP,44249,32642,24.51,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3493,karnataka,2013,ARABHAVI,196454,145099,73.86,BALACHANDRA LAXMANRAO JARKIHOLI,parties.IN.BJP,BJP,99283,68.42,UTAGI RAMAPPA KAREPPA,parties.IN.INC,INC,24062,75221,51.84,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3494,karnataka,2013,BAILHONGAL,163270,126797,77.66,DR|| VISHWANATH IRANAGOUDA PATIL,parties.IN.KJP,KJP,40709,32.11,JAGADISH C. METGUD,parties.IN.BJP,BJP,37088,3621,2.86,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3495,karnataka,2013,BELGAUM DAKSHIN,202238,131946,65.24,SAMBHAJI LAKSHMAN PATIL,parties.IN.IND,IND,54426,41.25,ABHAY PATIL,parties.IN.BJP,BJP,48116,6310,4.78,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3496,karnataka,2013,BELGAUM RURAL,205568,152059,73.97,SANJAY B PATIL,parties.IN.BJP,BJP,38322,25.2,KINEKAR MANOHAR KALLAPPA,parties.IN.IND,IND,36987,1335,0.88,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3498,karnataka,2013,GOKAK,202371,144327,71.32,JARKIHOLI RAMESH LAXMANRAO,parties.IN.INC,INC,79175,54.86,ASHOK NINGAYYASWAMI PUJARI,parties.IN.JDS,JD(S),51170,28005,19.41,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3499,karnataka,2013,RAMDURG,172341,129132,74.93,ASHOK MAHADEVAPPA PATTAN,parties.IN.INC,INC,42310,32.76,YADAWAD SHIVALINGAPPA MAHADEVAPPA,parties.IN.BJP,BJP,37326,4984,3.85,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3500,karnataka,2013,SAUNDATTI YELLAMMA,168709,133145,78.92,ANAND ALIAS VISHWANATH CHANDRASHEKHAR MAMANI,parties.IN.BJP,BJP,46434,34.87,RAVINDRA BHUPALAPPA YALIGAR,parties.IN.INC,INC,30392,16042,12.04,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3501,karnataka,2013,BELLARY,173111,130314,75.28,B. SREERAMULU,parties.IN.BSRCP,BSRCP,74854,57.44,ASUNDI VANNURAPPA,parties.IN.INC,INC,41560,33294,25.55,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3502,karnataka,2013,BELLARY CITY,194202,119471,61.52,ANIL LAD,parties.IN.INC,INC,52098,43.61,S. MURALI KRISHNA,parties.IN.BSRCP,BSRCP,33898,18200,15.24,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3503,karnataka,2013,HADAGALLI,157285,116099,73.81,P.T.PARAMESHWARANAIK,parties.IN.INC,INC,59336,51.11,B.CHANDRANAIK,parties.IN.BJP,BJP,18526,40810,35.15,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3504,karnataka,2013,HAGARIBOMMANAHALLI,185145,144826,78.22,BHEEMANAIK LBP,parties.IN.JDS,JD(S),51972,35.89,K NEMARAJA NAIK,parties.IN.BJP,BJP,51847,125,0.09,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3505,karnataka,2013,KAMPLI,182270,140277,76.96,T.H. SURESH BABU,parties.IN.BSRCP,BSRCP,70858,50.51,J.N. GANESH,parties.IN.IND,IND,36462,34396,24.52,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3506,karnataka,2013,KUDLIGI,170516,132941,77.96,B. NAGENDRA,parties.IN.IND,IND,71477,53.77,S. VENKATESHA,parties.IN.INC,INC,46674,24803,18.66,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3507,karnataka,2013,SANDUR,171854,128384,74.71,E.TUKARAM,parties.IN.INC,INC,62246,48.48,DHANANJAYA.R,parties.IN.JDS,JD(S),27615,34631,26.97,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3508,karnataka,2013,VIJAYANAGARA,171289,124713,72.81,ANAND SINGH,parties.IN.BJP,BJP,69995,56.12,H.ABDUL WAHAB,parties.IN.INC,INC,39358,30637,24.56,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3509,karnataka,2013,ALAND,192986,132385,68.6,B.R. PATIL,parties.IN.KJP,KJP,67085,50.67,GUTTEDAR SUBHASH RUKMAYYA,parties.IN.JDS,JD(S),49971,17114,12.92,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3510,karnataka,2013,AURAD,189099,129101,68.27,PRABHU B. CHAVAN,parties.IN.BJP,BJP,61826,47.89,DHANAJI BHEEMA JADHAV,parties.IN.KJP,KJP,38635,23191,17.96,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3511,karnataka,2013,BASAVAKALYAN,198007,126172,63.72,MALLIKARJUN SIDRAMAPPA KHUBA,parties.IN.JDS,JD(S),37494,29.72,B. NARAYANRAO,parties.IN.INC,INC,21601,15893,12.6,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3512,karnataka,2013,BHALKI,200474,147091,73.37,ESHWARA KHANDRE,parties.IN.INC,INC,58012,39.44,SIDRAM D.K.,parties.IN.KJP,KJP,48343,9669,6.57,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3513,karnataka,2013,BIDAR,190262,112971,59.38,GURUPADAPPA NAGAMARPALLI,parties.IN.KJP,KJP,50718,44.89,RAHEEM KHAN,parties.IN.INC,INC,48147,2571,2.27,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3514,karnataka,2013,BIDAR SOUTH,181107,124857,68.94,ASHOK KHENY,parties.IN.KMP,KMP,47763,38.25,BANDEPPA KHASHEMPUR,parties.IN.JDS,JD(S),31975,15788,12.64,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3515,karnataka,2013,CHINCHOLI,169337,112983,66.72,DR UMESH G JADAV,parties.IN.INC,INC,58599,51.87,SUNIL VALLYAPUR,parties.IN.KJP,KJP,32539,26060,23.07,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3516,karnataka,2013,HOMNABAD,206145,136013,65.98,RAJASHEKHAR BASAVARAJ PATIL,parties.IN.INC,INC,64694,47.56,M. NASEENODDIN PATEL,parties.IN.JDS,JD(S),40194,24500,18.01,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3517,karnataka,2013,BABALESHWAR,184083,134348,72.98,M.B.PATIL,parties.IN.INC,INC,62061,46.19,PATIL VIJUGOUDA,parties.IN.JDS,JD(S),57706,4355,3.24,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3518,karnataka,2013,BASAVANA BAGEVADI,175846,126819,72.12,SHIVANAND S PATIL,parties.IN.INC,INC,56329,44.42,BELLUBBI SANGAPPA KALLAPPA,parties.IN.BJP,BJP,36653,19676,15.52,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3519,karnataka,2013,BIJAPUR CITY,211756,119021,56.21,MAKBUL S BAGAWAN,parties.IN.INC,INC,48615,40.85,BASANAGOUDA R PATIL (YATNAL),parties.IN.JDS,JD(S),39235,9380,7.89,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3520,karnataka,2013,DEVAR HIPPARGI,178141,115245,64.69,AMINAPPAGOUDA SANGANAGOUDA PATIL,parties.IN.INC,INC,36231,31.44,SOMANAGOUDA. B. PATIL (SASANUR),parties.IN.BJP,BJP,28135,8096,7.03,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3521,karnataka,2013,INDI,200749,138775,69.13,YASHAVANTARAYAGOUDA VITTALAGOUDA PATIL,parties.IN.INC,INC,58562,42.2,RAVIKANT SHANKREPPA PATIL,parties.IN.KJP,KJP,25260,33302,24,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3522,karnataka,2013,MUDDEBIHAL,174207,114726,65.86,APPAJI URF CHANNABASAVARAJ SHANKARAO NADAGOUD,parties.IN.INC,INC,34747,30.29,VIMALABAI JAGADEVRAO DESHMUKH,parties.IN.KJP,KJP,22545,12202,10.64,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3523,karnataka,2013,NAGTHAN,225624,140024,62.06,RAJU ALAGUR,parties.IN.INC,INC,45570,32.54,DEVANAND PHULSING CHAVAN,parties.IN.JDS,JD(S),44903,667,0.47,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3524,karnataka,2013,SINDGI,184900,128355,69.42,BHUSANUR RAMESH BALAPPA,parties.IN.BJP,BJP,37834,29.48,MANAGULI MALLAPPA CHANNAVEERAPPA,parties.IN.JDS,JD(S),37082,752,0.59,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3525,karnataka,2013,CHAMARAJANAGAR,186873,146760,78.53,C.PUTTARANGASHETTY,parties.IN.INC,INC,54440,37.09,K.R.MALLIKARJUNAPPA,parties.IN.KJP,KJP,43244,11196,7.62,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3526,karnataka,2013,GUNDLUPET,190420,162326,85.25,H.S. MAHADEVA PRASAD,parties.IN.INC,INC,73723,45.42,C.S. NIRANJANAKUMAR,parties.IN.KJP,KJP,66048,7675,4.73,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3527,karnataka,2013,HANUR,181142,137852,76.1,R.NARENDRA,parties.IN.INC,INC,55684,40.39,PARIMALA NAGAPPA,parties.IN.JDS,JD(S),44135,11549,8.37,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3528,karnataka,2013,HEGGADADEVANKOTE,192784,148917,77.25,CHIKKAMADU S,parties.IN.JDS,JD(S),48606,32.64,CHIKKANNA,parties.IN.INC,INC,36108,12498,8.39,src-0c1b8f274551,minor,
IN-AC-2008-karnataka-3529,karnataka,2013,KOLLEGAL,191581,146477,76.46,S. JAYANNA,parties.IN.INC,INC,47402,32.36,N. MAHESH,parties.IN.BSP,BSP,37209,10193,6.96,src-0c1b8f274551,minor,
