entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-karnataka-3524,karnataka,2021,33,SINDGI,BHUSANUR RAMESH BALAPPA,parties.IN.BJP,93865,57.31,1,won,M,61,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3524,karnataka,2021,33,SINDGI,ASHOK. MALLAPPA. MANAGULI,parties.IN.INC,62680,38.27,2,lost,M,53,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3524,karnataka,2021,33,SINDGI,ANGADI NAZIYA,parties.IN.JDS,4353,2.66,3,forfeit,F,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3524,karnataka,2021,33,SINDGI,NOTA,,1031,0.63,4,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3524,karnataka,2021,33,SINDGI,DR. SUNEELAKUMAR HEBBI,,925,0.56,5,forfeit,M,38,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3524,karnataka,2021,33,SINDGI,JILANI GUDUSAB MULLA,parties.IN.IND,513,0.31,6,forfeit,M,51,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3524,karnataka,2021,33,SINDGI,DEEPIKA. S,parties.IN.IND,415,0.25,7,forfeit,F,36,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3511,karnataka,2021,47,BASAVAKALYAN,SHARANU SALAGAR,parties.IN.BJP,71012,48.17,1,won,M,45,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3511,karnataka,2021,47,BASAVAKALYAN,MALA B NARAYANRAO,parties.IN.INC,50383,34.17,2,lost,F,53,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3511,karnataka,2021,47,BASAVAKALYAN,SAYED YASRUB ALI QUADRI,parties.IN.JDS,11402,7.73,3,forfeit,M,45,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3511,karnataka,2021,47,BASAVAKALYAN,MALLIKARJUN SIDRAMAPPA KHUBA,parties.IN.IND,9457,6.41,4,forfeit,M,44,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3511,karnataka,2021,47,BASAVAKALYAN,ABDUL RAZZAK BABA CHOWDHARY,parties.IN.AIMIM,2174,1.47,5,forfeit,M,40,,,challenger,src-1b7bc1c9d39a
