entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-karnataka-3546,karnataka,2023,1,NIPPANI,JOLLE SHASHIKALA ANNASAHEB,parties.IN.BJP,BJP,73348,39.14,1,won,U,53,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3546,karnataka,2023,1,NIPPANI,UTTAM RAOSAHEB PATIL,parties.IN.NCP,NCP,66056,35.25,2,lost,U,45,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3546,karnataka,2023,1,NIPPANI,KAKASAHEB P. PATIL,parties.IN.INC,INC,44107,23.53,3,lost,U,68,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3546,karnataka,2023,1,NIPPANI,SHAKUNTALA ASHOK TELI,parties.IN.UNK,Kalyana Rajya Pragathi Paksha,646,0.34,5,forfeit,U,56,5th Pass,Household,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3546,karnataka,2023,1,NIPPANI,RAJARAM URF RAJU POWAR,parties.IN.JDS,JD(S),611,0.33,6,forfeit,U,50,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3546,karnataka,2023,1,NIPPANI,RAJESH BANAVANNA,parties.IN.AAAP,AAAP,572,0.31,7,forfeit,U,55,Graduate Professional,Doctor,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3546,karnataka,2023,1,NIPPANI,JAYARAM MIRAJKAR,parties.IN.IND,IND,371,0.2,8,forfeit,U,63,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3546,karnataka,2023,1,NIPPANI,SAMBHAJIDADA BAPUSO THORAVAT,parties.IN.IND,IND,291,0.16,9,forfeit,U,48,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3546,karnataka,2023,1,NIPPANI,JITENDRA SUBHASH NERLE,parties.IN.IND,IND,289,0.15,10,forfeit,U,48,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3546,karnataka,2023,1,NIPPANI,RAGHUNATH MALAKARI ARAGE,parties.IN.IND,IND,202,0.11,11,forfeit,U,43,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3542,karnataka,2023,2,CHIKKODI-SADALGA,GANESH PRAKASH HUKKERI,parties.IN.INC,INC,128349,69.82,1,won,U,45,Graduate Professional,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-karnataka-3542,karnataka,2023,2,CHIKKODI-SADALGA,KATTI RAMESH VISHWANATH,parties.IN.BJP,BJP,49840,27.11,2,lost,U,58,10th Pass,,challenger,src-1b7bc1c9d39a
