entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1967-kerala-1,kerala,1965,MANJESHWAR,62920,40441,64.27,MAHABALA BHANDARY,parties.IN.INC,CON,20983,51.89,M. RAMANNA RAI,parties.IN.CPIM,CPM,15139,5844,14.46,src-1b7bc1c9d39a
IN-AC-1967-kerala-10,kerala,1965,IRIKKUR,64308,47587,74,E.P. KRISHNAN NAMBIAR,parties.IN.CPIM,CPM,27284,57.33,A. NARAYANANA NAMBISSAN,parties.IN.INC,CON,17033,10251,21.54,src-1b7bc1c9d39a
IN-AC-1967-kerala-100,kerala,1965,KALLOOPPARA,59063,44056,74.59,GEORGE THOMAS,parties.IN.KEC,KC,25422,57.7,K. R. KESHAVA PILLAI,parties.IN.CPIM,CPM,9774,15648,35.51,src-1b7bc1c9d39a
IN-AC-1967-kerala-101,kerala,1965,ARANMULA,63470,48223,75.98,N. BHASKARAN NAIR,parties.IN.KEC,KC,22000,45.62,K. VELAYUDHAN NAIR,parties.IN.INC,CON,17031,4969,10.3,src-1b7bc1c9d39a
IN-AC-1967-kerala-102,kerala,1965,CHENGANNUR,67502,52259,77.42,K. R. SARASWATHI AMMA,parties.IN.KEC,KC,26248,50.23,N. S. KRISHNA PILLAI,parties.IN.INC,CON,12135,14113,27.01,src-1b7bc1c9d39a
IN-AC-1967-kerala-103,kerala,1965,MAVALIKARA,69653,52615,75.54,K. K. CHELLAPPAN PILLAI,parties.IN.INC,CON,19391,36.85,G. GOPINATHA PILLAI,parties.IN.SSP,SSP,14058,5333,10.13,src-1b7bc1c9d39a
IN-AC-1967-kerala-104,kerala,1965,PANDALAM,70047,53164,75.9,P. K. KUNJACHAN,parties.IN.CPIM,CPM,20241,38.07,T. KANDANKALY,parties.IN.INC,CON,15091,5150,9.68,src-1b7bc1c9d39a
IN-AC-1967-kerala-105,kerala,1965,RANNI,61530,46300,75.25,E. M. THOMAS,parties.IN.KEC,KC,21707,46.88,M. SANNY,parties.IN.INC,CON,14005,7702,16.63,src-1b7bc1c9d39a
IN-AC-1967-kerala-106,kerala,1965,PATHANAMTHITTA,68132,54352,79.77,V. I. IDICULLA,parties.IN.KEC,KC,24574,45.21,K. KARUNAKARAN NAIR,parties.IN.IND,IND,19222,5352,9.84,src-1b7bc1c9d39a
IN-AC-1967-kerala-107,kerala,1965,KONNI,60599,48717,80.39,P. J. THOMAS,parties.IN.INC,CON,17064,35.03,K. M. GEORGE,parties.IN.KEC,KC,14972,2092,4.3,src-1b7bc1c9d39a
IN-AC-1967-kerala-108,kerala,1965,PARTHANAPURAM,58842,40299,68.49,P. C. ADICHAN,parties.IN.CPI,CPI,13948,34.61,P. K. RAMACHANDRA DAS,parties.IN.INC,CON,13172,776,1.92,src-1b7bc1c9d39a
IN-AC-1967-kerala-109,kerala,1965,PUNALOOR,58195,46148,79.3,C. M. STEPHEN,parties.IN.INC,CON,14599,31.64,K. KRISHNA PILLAI,parties.IN.CPI,CPI,13787,812,1.76,src-1b7bc1c9d39a
IN-AC-1967-kerala-11,kerala,1965,KUTHUPARAMBA,65173,52153,80.02,K.K. ABU,parties.IN.SSP,SSP,26498,50.81,M.P. MOIDU HAJEE,parties.IN.INC,CON,20416,6082,11.66,src-1b7bc1c9d39a
IN-AC-1967-kerala-110,kerala,1965,CHANDAYAMANGLAM,62759,47295,75.36,D. DAMODARAN POTTY,parties.IN.SSP,SSP,16291,34.45,N. BHASKARAN PILLAI,parties.IN.INC,CON,16269,22,0.05,src-1b7bc1c9d39a
IN-AC-1967-kerala-111,kerala,1965,KOTTARAKARA,68294,58146,85.14,R. BALAKRISHNA PILLAI,parties.IN.KEC,KC,27534,47.35,E. CHANDRASEKHARAN NAIR,parties.IN.CPI,CPI,19395,8139,13.99,src-1b7bc1c9d39a
IN-AC-1967-kerala-112,kerala,1965,KUNNATHUR,66567,49784,74.79,T. KRISHNAN,parties.IN.KEC,KC,15734,31.6,T. KESAVAN,parties.IN.CPI,CPI,12297,3437,6.9,src-1b7bc1c9d39a
IN-AC-1967-kerala-113,kerala,1965,ADOOR,63349,50531,79.77,K. K. GOPALAN NAIR,parties.IN.KEC,KC,17651,34.93,P. RAMALINGA AYYAR,parties.IN.CPI,CPI,15287,2364,4.68,src-1b7bc1c9d39a
IN-AC-1967-kerala-114,kerala,1965,KRISHNAPURAM,60758,51375,84.56,M. K. HEMACHANDRAN,parties.IN.INC,CON,19842,38.62,UNNIKRISHNA PILLAI,parties.IN.CPI,CPI,16229,3613,7.03,src-1b7bc1c9d39a
IN-AC-1967-kerala-115,kerala,1965,KARUNAGAPALLY,70992,56518,79.61,KUNJUKRISHNAN,parties.IN.INC,CON,19762,34.97,BHASI,parties.IN.IND,IND,17468,2294,4.06,src-1b7bc1c9d39a
IN-AC-1967-kerala-116,kerala,1965,QUILON,61073,48026,78.64,HENRY AUSTIN,parties.IN.INC,CON,13749,28.63,T. K. DIVAKARAN,parties.IN.IND,IND,13499,250,0.52,src-1b7bc1c9d39a
IN-AC-1967-kerala-117,kerala,1965,KUNDARA,72854,59091,81.11,SANKARA NARAYANA PILLAI,parties.IN.INC,CON,20166,34.13,CHITHARANJAN,parties.IN.CPI,CPI,14126,6040,10.22,src-1b7bc1c9d39a
IN-AC-1967-kerala-118,kerala,1965,ERAVIPURAM,63767,51922,81.42,ABDUL RAHIM,parties.IN.INC,CON,19114,36.81,SANKARAN UNNI,parties.IN.IND,IND,18458,656,1.26,src-1b7bc1c9d39a
IN-AC-1967-kerala-119,kerala,1965,CHANTHANOOR,63010,50184,79.64,THANKANPPAN PILLAI,parties.IN.IND,IND,17462,34.8,P. RAVINDRAN,parties.IN.CPI,CPI,16694,768,1.53,src-1b7bc1c9d39a
