entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-kerala-1,kerala,1987,MANJESWAR,105374,80884,76.76,CHERKALAM ABDULLAH,parties.IN.IUML,MUL,33853,41.85,H. SHANKARA ALVA,parties.IN.BJP,BJP,27107,6746,8.34,src-1b7bc1c9d39a,minor,
IN-AC-1976-kerala-10,kerala,1987,CANNANORE,108426,86006,79.32,P. BHASKARAN,parties.IN.INC,INC,42787,49.75,A. K. SASHEENDRAN,parties.IN.ICS_SCS,ICS(SCS),34739,8048,9.36,src-1b7bc1c9d39a,minor,
IN-AC-1976-kerala-100,kerala,1987,ALLEPPEY,100956,80046,79.29,ROSAMMA PUNNOOSE,parties.IN.CPI,CPI,36742,45.9,KALARCODE NARAYANAN,parties.IN.IND,IND,23908,12834,16.03,src-1b7bc1c9d39a,minor,
IN-AC-1976-kerala-101,kerala,1987,AMBALAPUZHA,102169,88062,86.19,V. DINAKARAN,parties.IN.INC,INC,41938,47.62,G. SUDHAKARAN,parties.IN.CPIM,CPM,41814,124,0.14,src-1b7bc1c9d39a,minor,
IN-AC-1976-kerala-102,kerala,1987,KUTTANAD,101835,85551,84.01,K. C. JOSEPH,parties.IN.KEC,KEC,41096,48.04,M. M. ANTHONY,parties.IN.CPIM,CPM,37833,3263,3.82,src-1b7bc1c9d39a,minor,
IN-AC-1976-kerala-103,kerala,1987,HARIPAD,118745,98995,83.37,RAMESH CHENNITHALA,parties.IN.INC,INC,49420,49.92,A. V. THAMARAKSHAN,parties.IN.IND,IND,45603,3817,3.85,src-1b7bc1c9d39a,minor,
IN-AC-1976-kerala-104,kerala,1987,KAYAMKULAM,107957,85522,79.22,M. R. GOPALAKRISHNAN,parties.IN.CPIM,CPM,43986,51.43,K. GOPINATHAN,parties.IN.INC,INC,36306,7680,8.98,src-1b7bc1c9d39a,minor,
IN-AC-1976-kerala-105,kerala,1987,THIRUVALLA,92746,74268,80.08,MATHEW T. THOMAS,parties.IN.JP,JNP,32941,44.35,P. C. THOMAS,parties.IN.IND,IND,31726,1215,1.63,src-1b7bc1c9d39a,minor,
IN-AC-1976-kerala-106,kerala,1987,KALLOOPPARA,91220,72674,79.67,C. A. MATHEW,parties.IN.ICS_SCS,ICS(SCS),30223,41.59,T. S. JOHN,parties.IN.KEC,KEC,28467,1756,2.42,src-1b7bc1c9d39a,minor,
IN-AC-1976-kerala-107,kerala,1987,ARANMULA,93857,72877,77.65,K. K. SREENIVASAN,parties.IN.INC,INC,33405,45.84,P. SARASAPPAN,parties.IN.CPIM,CPM,28538,4867,6.68,src-1b7bc1c9d39a,minor,
