entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-1976-kerala-1,kerala,2001,1,MANJESWAR,CHERKALAM ABDULLAH,parties.IN.IUML,MUL,47494,44.31,1,won,U,,,,incumbent,src-1b7bc1c9d39a
IN-AC-1976-kerala-1,kerala,2001,1,MANJESWAR,C.K.PADMANABHAN,parties.IN.BJP,BJP,34306,32,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-1,kerala,2001,1,MANJESWAR,M.RAMANNA RAI,parties.IN.CPIM,CPM,23201,21.64,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-1,kerala,2001,1,MANJESWAR,P.K.MOIDEEN KUNHI,parties.IN.IND,IND,1179,1.1,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-1,kerala,2001,1,MANJESWAR,CHERANGAI ABDULLA,parties.IN.IND,IND,1014,0.95,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-2,kerala,2001,2,KASARAGOD,C.T.AHAMMED ALI,parties.IN.IUML,MUL,51890,47.41,1,won,U,,,,incumbent,src-1b7bc1c9d39a
IN-AC-1976-kerala-2,kerala,2001,2,KASARAGOD,P.K.KRISHNA DAS,parties.IN.BJP,BJP,33895,30.97,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-2,kerala,2001,2,KASARAGOD,A.G.NAIR,parties.IN.CPIM,CPM,21948,20.06,3,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-2,kerala,2001,2,KASARAGOD,VASANTHAN C.H,parties.IN.IND,IND,900,0.82,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-2,kerala,2001,2,KASARAGOD,ABBAS MOTHALAPARA,parties.IN.IND,IND,805,0.74,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-3,kerala,2001,3,UDMA,K.V.KUNHIRAMAN,parties.IN.CPIM,CPM,62817,48.76,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-3,kerala,2001,3,UDMA,ADV.C.K.SREEDHARAN,parties.IN.INC,INC,53153,41.26,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-3,kerala,2001,3,UDMA,R.GANESAN,parties.IN.BJP,BJP,11106,8.62,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-3,kerala,2001,3,UDMA,KRISHNAN,parties.IN.IND,IND,1741,1.35,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-4,kerala,2001,4,HOSDRUG,M.KUMARAN,parties.IN.CPI,CPI,68033,48.79,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-4,kerala,2001,4,HOSDRUG,C.J.KRISHNAN,parties.IN.INC,INC,61055,43.78,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-4,kerala,2001,4,HOSDRUG,C.K.VALSALAN,parties.IN.BJP,BJP,8915,6.39,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-4,kerala,2001,4,HOSDRUG,BABU,parties.IN.IND,IND,1450,1.04,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-5,kerala,2001,5,TRIKKARIPUR,SATHEESH CHANDRAN K.P,parties.IN.CPIM,CPM,79874,55.15,1,won,U,,,,incumbent,src-1b7bc1c9d39a
IN-AC-1976-kerala-5,kerala,2001,5,TRIKKARIPUR,KARIMBIL KRISHNAN,parties.IN.INC,INC,62865,43.41,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-5,kerala,2001,5,TRIKKARIPUR,P.V.CHANDRAN,parties.IN.IND,IND,2089,1.44,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-6,kerala,2001,6,IRIKKUR,K.C.JOSEPH,parties.IN.INC,INC,67788,54.65,1,won,U,,,,incumbent,src-1b7bc1c9d39a
IN-AC-1976-kerala-6,kerala,2001,6,IRIKKUR,PROF.MERCY JOHN,parties.IN.KEC,KEC,50884,41.02,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-6,kerala,2001,6,IRIKKUR,JOSE FRANCIS,parties.IN.BJP,BJP,3638,2.93,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-kerala-6,kerala,2001,6,IRIKKUR,THANKACHAN,parties.IN.IND,IND,1009,0.81,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
