entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-kerala-3769,kerala,2016,1,MANJESHWAR,P B ABDUL RAZAK,parties.IN.IUML,56870,35.79,1,won,U,60,Literate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-kerala-3769,kerala,2016,1,MANJESHWAR,K SURENDRAN,parties.IN.BJP,56781,35.74,2,lost,U,46,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-kerala-3769,kerala,2016,1,MANJESHWAR,ADV. C.H.KUNHAMBU,,42565,26.79,3,lost,U,56,Graduate Professional,Party Worker,challenger,src-1b7bc1c9d39a
IN-AC-2008-kerala-3769,kerala,2016,1,MANJESHWAR,BASHEER AHAMMAD S M,,759,0.48,4,forfeit,U,36,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-kerala-3769,kerala,2016,1,MANJESHWAR,SUNDARA K,parties.IN.IND,467,0.29,6,forfeit,U,47,8th Pass,Coolie,challenger,src-1b7bc1c9d39a
IN-AC-2008-kerala-3769,kerala,2016,1,MANJESHWAR,RAVICHANDRA,parties.IN.BSP,365,0.23,7,forfeit,U,38,10th Pass,Coolie,challenger,src-1b7bc1c9d39a
IN-AC-2008-kerala-3769,kerala,2016,1,MANJESHWAR,K P MUNEER,parties.IN.IND,224,0.14,8,forfeit,U,45,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-kerala-3769,kerala,2016,1,MANJESHWAR,JOHN D SOUZA,parties.IN.IND,207,0.13,9,forfeit,U,53,10th Pass,Insurance Agent,challenger,src-1b7bc1c9d39a
IN-AC-2008-kerala-3768,kerala,2016,2,KASARAGOD,N A NELLIKKUNNU,parties.IN.IUML,64727,44.72,1,won,U,62,12th Pass,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-kerala-3768,kerala,2016,2,KASARAGOD,RAVISHA THANTRI KUNTAR,parties.IN.BJP,56120,38.77,2,lost,U,48,10th Pass,,challenger,src-1b7bc1c9d39a
