entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1967-madhya-pradesh-1,madhya-pradesh,1972,SHEOPUR,73084,47367,64.81,LOKENDRA SINGH,parties.IN.BJS,BJS,17511,36.97,SATYABHANN CHAUHAN,parties.IN.INC,INC,16734,777,1.64,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-10,madhya-pradesh,1972,ATTAIR,82744,45229,54.66,RAMESHWAR DAYAL ARELE,parties.IN.INC,INC,15247,33.71,MAN SINGH,parties.IN.BJS,BJS,10817,4430,9.79,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-100,madhya-pradesh,1972,MASTURI,69601,22493,32.32,GODIL PRASAD,parties.IN.INC,INC,14862,66.07,BABU LAL,parties.IN.BJS,BJS,7631,7231,32.14,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-101,madhya-pradesh,1972,PAMGARH,75771,13216,17.44,KULPATSINGH KUPITRAM,parties.IN.INC,INC,8899,67.34,NETRAM,parties.IN.BJS,BJS,3438,5461,41.33,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-102,madhya-pradesh,1972,AKALTARA,63762,34584,54.24,RAJENDRA KUMAR SINGH,parties.IN.INC,INC,27659,79.98,HEMLAL,parties.IN.BJS,BJS,6925,20734,59.96,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-103,madhya-pradesh,1972,BALODA,64158,31937,49.78,RADHESHYAM SHUKLA,parties.IN.INC,INC,16108,50.44,RADHELAL TIWARI,parties.IN.BJS,BJS,11820,4288,13.43,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-104,madhya-pradesh,1972,CHAMPA,71453,32420,45.37,BISAHUDAS MAHANT,parties.IN.INC,INC,18537,57.18,MANMOHAN SINGH,parties.IN.BJS,BJS,10031,8506,26.24,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-105,madhya-pradesh,1972,SAKTI,67884,32562,47.97,PUSHPENDRANATH SINGH,parties.IN.IND,IND,15032,46.16,INDUMATI DEVI L SINGH,parties.IN.INC,INC,14416,616,1.89,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-106,madhya-pradesh,1972,MALKHARODA,67016,28029,41.82,POORANLAL JANGADE,parties.IN.BJS,BJS,14670,52.34,VEDRAM PANCHARAM,parties.IN.INC,INC,13359,1311,4.68,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-107,madhya-pradesh,1972,CHANDRAPUR,67423,36409,54,BHAWANILAL VERMA,parties.IN.INC,INC,24416,67.06,LAKHIRAM,parties.IN.BJS,BJS,11993,12423,34.12,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-108,madhya-pradesh,1972,ABHANPUR,75855,41524,54.74,CHETRAM PARSHOTTAM,parties.IN.BJS,BJS,12981,31.26,LAKHANLAL GUPTA,parties.IN.INC,INC,12710,271,0.65,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-109,madhya-pradesh,1972,RAIPUR,85067,49079,57.69,SUDHIRMUKHERJI,parties.IN.IND,IND,30347,61.83,MANSUKH LAL S CHANDEEL,parties.IN.BJS,BJS,16882,13465,27.43,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-11,madhya-pradesh,1972,BHIND,83496,51751,61.98,NAVIN CHANDRA BHOOTA,parties.IN.INC,INC,23219,44.87,RAGH BIR SINGH KUSHAWAH,parties.IN.SOP,SOP,14431,8788,16.98,src-1b7bc1c9d39a,minor,
IN-AC-1967-madhya-pradesh-110,madhya-pradesh,1972,ARANG,78091,34023,43.57,KANHAIYALAL KOSARIYA,parties.IN.INC,INC,18655,54.83,NAKUL AMARSINGH,parties.IN.IND,IND,12038,6617,19.45,src-1b7bc1c9d39a,minor,
