entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-madhya-pradesh-1,madhya-pradesh,2003,1,SHEOPUR,DURGALAL VIJAY,parties.IN.BJP,BJP,27492,24.56,1,won,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-madhya-pradesh-1,madhya-pradesh,2003,1,SHEOPUR,BABOOLAL,parties.IN.BSP,BSP,24437,21.83,2,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-madhya-pradesh-1,madhya-pradesh,2003,1,SHEOPUR,BRAJRAJ SINGH,parties.IN.INC,INC,20188,18.03,3,lost,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-madhya-pradesh-1,madhya-pradesh,2003,1,SHEOPUR,SITARAM,parties.IN.IND,IND,16643,14.87,4,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-madhya-pradesh-1,madhya-pradesh,2003,1,SHEOPUR,AKHTAR BHAI,parties.IN.SP,SP,10087,9.01,5,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-madhya-pradesh-1,madhya-pradesh,2003,1,SHEOPUR,NARENDRA SINGH GURJAR,parties.IN.IND,IND,6377,5.7,6,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-madhya-pradesh-1,madhya-pradesh,2003,1,SHEOPUR,SONABAI,parties.IN.IND,IND,2395,2.14,7,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-madhya-pradesh-1,madhya-pradesh,2003,1,SHEOPUR,JAGDISH,parties.IN.RSMD,RSMD,1044,0.93,8,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-madhya-pradesh-1,madhya-pradesh,2003,1,SHEOPUR,SURENDRA SINGH HANDA,parties.IN.IND,IND,1007,0.9,9,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-madhya-pradesh-1,madhya-pradesh,2003,1,SHEOPUR,MURALIDHAR,parties.IN.IND,IND,914,0.82,10,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
IN-AC-1976-madhya-pradesh-1,madhya-pradesh,2003,1,SHEOPUR,PANNALAL,parties.IN.IND,IND,757,0.68,11,forfeit,U,,,,challenger,src-0c1b8f274551,minor,
