entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-madhya-pradesh-2607,madhya-pradesh,2018,1,SHEOPUR,BABU JANDEL,parties.IN.INC,INC,98580,55.17,1,won,U,,5th Pass,,crossover,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2607,madhya-pradesh,2018,1,SHEOPUR,DURGA LAL VIJAY (VAKIL),parties.IN.BJP,BJP,56870,31.83,2,lost,U,,Post Graduate,MLA,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2607,madhya-pradesh,2018,1,SHEOPUR,TULSINARAYAN MEENA,parties.IN.BSP,BSP,14444,8.08,3,forfeit,U,,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2607,madhya-pradesh,2018,1,SHEOPUR,AD. KULDEEP SINGH,parties.IN.AAP,AAP,2142,1.2,4,forfeit,U,,Graduate,Lawyer,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2607,madhya-pradesh,2018,1,SHEOPUR,DIPTEE SAYYAD ZFAR ALI,parties.IN.IND,IND,1062,0.59,6,forfeit,U,,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2607,madhya-pradesh,2018,1,SHEOPUR,MUKESH SUMAN,parties.IN.BMUP,BMUP,937,0.52,7,forfeit,U,,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2607,madhya-pradesh,2018,1,SHEOPUR,HRVILASH ADIVASI,parties.IN.IND,IND,878,0.49,8,forfeit,U,,Illiterate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2607,madhya-pradesh,2018,1,SHEOPUR,TEJPAL ADIWASI,parties.IN.JPJD,JPJD,594,0.33,9,forfeit,U,,Literate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2607,madhya-pradesh,2018,1,SHEOPUR,MURLIDHAR PRAJAPATI,parties.IN.RKSP,RKSP,525,0.29,10,forfeit,U,,Literate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2607,madhya-pradesh,2018,1,SHEOPUR,RAVINDRA KUMAR,parties.IN.IVD,IVD,466,0.26,11,forfeit,U,,Graduate,School Teacher,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2607,madhya-pradesh,2018,1,SHEOPUR,BHURE SINGH MALEE,parties.IN.JANADIP,JANADIP,398,0.22,12,forfeit,U,,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2609,madhya-pradesh,2018,2,VIJAYPUR,SEETARAM,parties.IN.BJP,BJP,63331,36.5,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2609,madhya-pradesh,2018,2,VIJAYPUR,RAMNIWAS RAWAT,parties.IN.INC,INC,60491,34.86,2,lost,U,,Post Graduate,Rent,incumbent,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2609,madhya-pradesh,2018,2,VIJAYPUR,BABULAL MEBRA,parties.IN.BSP,BSP,35628,20.53,3,lost,U,,10th Pass,,crossover,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2609,madhya-pradesh,2018,2,VIJAYPUR,PANNALAL SOLANKI [RTD COLLECTOR],parties.IN.IND,IND,2615,1.51,4,forfeit,U,,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2609,madhya-pradesh,2018,2,VIJAYPUR,MUKESH MALHOTRA,parties.IN.IND,IND,2423,1.4,5,forfeit,U,,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2609,madhya-pradesh,2018,2,VIJAYPUR,ARVIND DHAKAR,parties.IN.BMUP,BMUP,1360,0.78,7,forfeit,U,,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2609,madhya-pradesh,2018,2,VIJAYPUR,RAMSINGH DHAKAD URF PAPPU BABA,parties.IN.IND,IND,1180,0.68,8,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2609,madhya-pradesh,2018,2,VIJAYPUR,RAMCHARAN MALI (BAKIL),parties.IN.IND,IND,979,0.56,9,forfeit,U,,Graduate Professional,Lawyer,challenger,src-1b7bc1c9d39a
