entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-maharashtra-1,maharashtra,1990,SAWANTWADI,136617,86322,63.19,BHONSLE PRAVIN PRATAPRAO,parties.IN.INC,INC,39189,45.4,JAYANAND MATHKAR,parties.IN.JD,JD,28550,10639,12.33,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-10,maharashtra,1990,KHED,125731,84630,67.31,KADAM RAMDAS GANGARAM,parties.IN.SHS,SHS,39191,46.31,BHOSALE KESHAVRAO JAGATRAO,parties.IN.IND,IND,24889,14302,16.9,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-100,maharashtra,1990,RAVER,147977,105845,71.53,MADHUKARRAO DHANAJI,parties.IN.INC,INC,42116,39.79,GUNWANT RAMBHAN SARODE,parties.IN.BJP,BJP,36837,5279,4.99,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-101,maharashtra,1990,EDLABAD,151903,100552,66.19,EKNATH GANPAT KHADASE,parties.IN.BJP,BJP,35052,34.86,G. N. PATIL,parties.IN.INC,INC,32390,2662,2.65,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-102,maharashtra,1990,MALKAPUR,141866,95988,67.66,TANGADE DAYARAM SUGDEO,parties.IN.BJP,BJP,33578,34.98,KOLTE DINKAR YADAO,parties.IN.INC,INC,30578,3000,3.12,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-103,maharashtra,1990,BULDHANA,164325,109942,66.91,GODE RAJENDRA VYANKATRAO,parties.IN.SHS,SHS,43244,39.33,SHINGANE BHASKARRAO SAMPATRAO,parties.IN.INC,INC,42478,766,0.69,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-104,maharashtra,1990,CHIKHLI,160734,115318,71.74,BONDRE BHARAT RAJABHAU,parties.IN.INC,INC,60796,52.72,JAWANJAL PRAKASH RUSTUMARAO,parties.IN.BJP,BJP,44797,15999,13.87,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-105,maharashtra,1990,SINDKHEDRAJA,155387,109094,70.21,KAYANDE TOTARAM TUKARAM,parties.IN.IND,IND,29949,27.45,JADHAO WAMANRAO RAMCHANDRA,parties.IN.JD,JD,25489,4460,4.09,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-106,maharashtra,1990,MEHKAR,151345,110424,72.96,SUBODH KESHAO SAOJI,parties.IN.INC,INC,54219,49.1,JADHAO PRATAPRAO GANPATRAO,parties.IN.SHS,SHS,44609,9610,8.7,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-107,maharashtra,1990,KHAMGAON,170354,116157,68.19,KOKARE NANA NIMBAJI,parties.IN.BJP,BJP,31150,26.82,DESHMUKH PRAKASH KESHAVRAO,parties.IN.INC,INC,27994,3156,2.72,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-108,maharashtra,1990,JALAMB,144285,106416,73.75,INGLE KRUSHNARAO GANPATRAO,parties.IN.SHS,SHS,39746,37.35,GAWANDE VASANTI SHRIKANT,parties.IN.PWP,PWP,33988,5758,5.41,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-109,maharashtra,1990,AKOT,141642,99264,70.08,JAGANNATH SITARAMJI DHONE,parties.IN.SHS,SHS,35436,35.7,GANGANE SUDHAKAR RAMKRISHNA,parties.IN.INC,INC,25926,9510,9.58,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-11,maharashtra,1990,DAPOLI,132008,88675,67.17,DALVI SURYAKANT SHIVARAM,parties.IN.SHS,SHS,46882,52.87,VIDYA BELOSE,parties.IN.INC,INC,21917,24965,28.15,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-110,maharashtra,1990,BORGAON MANJU,173034,116580,67.37,DALU GAJANAN DEORAO,parties.IN.SHS,SHS,44153,37.87,GAWAI RAMESH RAMRAO,parties.IN.BRP,BRP,27098,17055,14.63,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-111,maharashtra,1990,AKOLA,173196,96186,55.54,ARUN VISHNUJI DIVEKAR,parties.IN.INC,INC,36146,37.58,KELKAR DEEPAK KAMLAKAR,parties.IN.SHS,SHS,31023,5123,5.33,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-112,maharashtra,1990,BALAPUR,146661,95858,65.36,KISANRAO BABANRAO RAUT,parties.IN.BJP,BJP,39183,40.88,GAZI MOHAMMADALI QAZ MOHD. IBRAHIMALI,parties.IN.IUML,MUL,32870,6313,6.59,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-113,maharashtra,1990,MEDSHI,130285,86602,66.47,ZANAK SUBHASHRAO RAMRAOJI,parties.IN.INC,INC,30261,34.94,GAWALI PUNDALIKRAO RAMJI,parties.IN.SHS,SHS,21598,8663,10,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-114,maharashtra,1990,WASHIM,141183,77601,54.96,MALIKH LAKHAN SAHDEO,parties.IN.BJP,BJP,27668,35.65,KAMBLE BHIMRAO HAIBATI,parties.IN.INC,INC,23761,3907,5.03,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-115,maharashtra,1990,MANGRULPIR,144972,94539,65.21,THAKARE SUBHASHRAO PANDHARI,parties.IN.IND,IND,28200,29.83,RATHOD GOKULDAS DEVISINGH,parties.IN.INC,INC,24884,3316,3.51,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-116,maharashtra,1990,MURTAJAPUR,142784,89718,62.83,PAWAR MAKHRAM BANDUJI,parties.IN.IND,IND,31069,34.63,MOTIRAMJI UDAYBHANJI LAHANE,parties.IN.BJP,BJP,26033,5036,5.61,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-117,maharashtra,1990,KARANJA,133071,86366,64.9,GAWANDE GULABRAO RAMRAO,parties.IN.SHS,SHS,35297,40.87,BABASAHEB DHABEKAR,parties.IN.INC,INC,25007,10290,11.92,src-1b7bc1c9d39a
