entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-1976-maharashtra-188,maharashtra,2003,188,BHOKARDEN,CHANDRAKANT P. DANVE,parties.IN.NCP,NCP,74918,52.48,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-188,maharashtra,2003,188,BHOKARDEN,T.SHIVAJIRAO DHONDIBA,parties.IN.BJP,BJP,58242,40.8,2,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-188,maharashtra,2003,188,BHOKARDEN,SK.RAUF SK.YASUF,parties.IN.IND,IND,3329,2.33,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-188,maharashtra,2003,188,BHOKARDEN,K.VITTHAL PUNJAJI,parties.IN.IND,IND,2224,1.56,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-188,maharashtra,2003,188,BHOKARDEN,P.VITTHALRAO RATNAPARKHE,parties.IN.RPI_D,RPI(D),2150,1.51,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-188,maharashtra,2003,188,BHOKARDEN,ASHOK NAMDEO SABLE,parties.IN.IND,IND,1121,0.79,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-188,maharashtra,2003,188,BHOKARDEN,PROF.S.R.WAGHMARE,parties.IN.PRPI,PRPI,767,0.54,7,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-215,maharashtra,2003,215,SOUTHSOLAPUR,Shinde Sushilkumar Sambhajirao,parties.IN.INC,INC,85329,91.03,1,won,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-215,maharashtra,2003,215,SOUTHSOLAPUR,Sadaphule Sanjiv Sidram,parties.IN.BSP,BSP,5896,6.29,2,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-215,maharashtra,2003,215,SOUTHSOLAPUR,Kumbhar Vishnu Krishna,parties.IN.IND,IND,1571,1.68,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-1976-maharashtra-215,maharashtra,2003,215,SOUTHSOLAPUR,Waghmare Sunil Tarachand,parties.IN.PRBP,PRP,943,1.01,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a
