entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-2008-maharashtra-3051,maharashtra,2019,1,AKKALKUWA,ADV. K. C. PADAVI,parties.IN.INC,INC,82770,41.26,1,won,U,61,Post Graduate,,incumbent,src-0c1b8f274551,minor,
IN-AC-2008-maharashtra-3051,maharashtra,2019,1,AKKALKUWA,AAMSHYA FULJI PADAVI,parties.IN.SHS,SHS,80674,40.21,2,lost,U,51,12th Pass,,challenger,src-0c1b8f274551,minor,
IN-AC-2008-maharashtra-3051,maharashtra,2019,1,AKKALKUWA,NAGESH DILVARSING PADVI,parties.IN.IND,IND,21664,10.8,3,forfeit,U,44,12th Pass,,challenger,src-0c1b8f274551,minor,
IN-AC-2008-maharashtra-3051,maharashtra,2019,1,AKKALKUWA,ADV. KAILAS PRATAPSING VASAVE,parties.IN.AAAP,AAAP,4055,2.02,5,forfeit,U,28,Post Graduate,Lawyer,challenger,src-0c1b8f274551,minor,
IN-AC-2008-maharashtra-3051,maharashtra,2019,1,AKKALKUWA,BHARAT JALYA PAWARA,parties.IN.IND,IND,3784,1.89,6,forfeit,U,27,Graduate,,challenger,src-0c1b8f274551,minor,
IN-AC-2008-maharashtra-3051,maharashtra,2019,1,AKKALKUWA,DR.SANJAY RAVLYA VALVI,parties.IN.BTP,BTP,2824,1.41,7,forfeit,U,27,Graduate Professional,Doctor,challenger,src-0c1b8f274551,minor,
IN-AC-2008-maharashtra-3055,maharashtra,2019,2,SHAHADA,Rajesh Udesing Padvi,parties.IN.BJP,BJP,94931,45.12,1,won,U,50,Graduate,Ex Police,challenger,src-0c1b8f274551,minor,
IN-AC-2008-maharashtra-3055,maharashtra,2019,2,SHAHADA,Adv.Padmakar Vijaysing Valvi,parties.IN.INC,INC,86940,41.32,2,lost,U,51,Graduate Professional,,challenger,src-0c1b8f274551,minor,
IN-AC-2008-maharashtra-3055,maharashtra,2019,2,SHAHADA,Eng.Jelsing Bijala Pawara,parties.IN.IND,IND,21013,9.99,3,forfeit,U,59,Graduate Professional,,challenger,src-0c1b8f274551,minor,
IN-AC-2008-maharashtra-3055,maharashtra,2019,2,SHAHADA,Mali Jaysing Devchand,parties.IN.CPIMLL,CPIM,4060,1.93,4,forfeit,U,66,8th Pass,,crossover,src-0c1b8f274551,minor,
