entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1967-manipur-1,manipur,1967,SAGOLMANG,14925,10466,70.12,M . IBOHAL,parties.IN.CPI,CPI,3856,36.84,T . B . SINGH,parties.IN.INC,INC,2268,1588,15.17,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-10,manipur,1967,URIPOK THANGMEIBAND,17899,11021,61.57,N . TOMBI,parties.IN.INC,INC,5841,53,R . K . UPENDRA,parties.IN.SSP,SSP,2546,3295,29.9,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-11,manipur,1967,KONTHOUJAM,14636,11513,78.66,S . TOMBI,parties.IN.INC,INC,4522,39.28,A . KULLACHANDRA,parties.IN.IND,IND,4297,225,1.96,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-12,manipur,1967,SEKMAI LAMSANG,13148,9888,75.21,K . CHAOBA,parties.IN.INC,INC,4206,42.54,K . JUGESHWRO,parties.IN.CPI,CPI,2586,1620,16.39,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-13,manipur,1967,NAMOOL,16765,13314,79.42,Y . YAIMA,parties.IN.IND,IND,6084,45.7,S . SHARMA,parties.IN.INC,INC,3753,2331,17.51,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-14,manipur,1967,BISHENPUR,17343,12510,72.13,L . IBOMCHA,parties.IN.INC,INC,5784,46.24,A . KETUKI,parties.IN.SSP,SSP,3327,2457,19.65,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-15,manipur,1967,THANGA,16954,12475,73.58,M . K . SINGH,parties.IN.INC,INC,5823,46.68,H . KANGJAMBA,parties.IN.SSP,SSP,4571,1252,10.04,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-16,manipur,1967,LILONG,15985,13299,83.2,ALIMUDDIN,parties.IN.INC,INC,5199,39.09,H . RAHAMAN,parties.IN.IND,IND,4984,215,1.61,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-17,manipur,1967,THOUBAL,16120,12973,80.48,W . MANI,parties.IN.INC,INC,2943,22.69,L . CHAOYAIMA,parties.IN.IND,IND,2546,397,3.06,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-18,manipur,1967,KHANGABOK,16845,12411,73.68,M . CHAOBA,parties.IN.INC,INC,4380,35.29,T . ACHOUBA,parties.IN.IND,IND,4060,320,2.58,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-19,manipur,1967,KAKCHING,17889,13879,77.58,Y . NIMAI,parties.IN.SSP,SSP,5095,36.71,M . IBOTOMBI,parties.IN.INC,INC,3491,1604,11.56,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-2,manipur,1967,KHURAI,15887,11920,75.03,K . B . SHARMA,parties.IN.SSP,SSP,4482,37.6,R . U . SINGH,parties.IN.INC,INC,3724,758,6.36,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-20,manipur,1967,HIYANGLAM SUGNOO,18467,13036,70.59,T . ANOUBI,parties.IN.SSP,SSP,3120,23.93,N . KANHAI,parties.IN.INC,INC,2703,417,3.2,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-21,manipur,1967,TENGNOUPAL,17917,8428,47.04,PAOKHOHANG,parties.IN.IND,IND,2603,30.89,K . LEITHIL,parties.IN.IND,IND,2399,204,2.43,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-22,manipur,1967,PHUNGYAR PHAISHA,10615,4904,46.2,K . ENVEY,parties.IN.INC,INC,3247,66.21,H . L . KIM,parties.IN.IND,IND,850,2397,48.88,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-23,manipur,1967,UKHRUL,11148,3442,30.88,L . SOLOMON,parties.IN.INC,INC,2995,87.01,P . MINGTHING,parties.IN.IND,IND,447,2548,74.02,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-24,manipur,1967,MAO EAST,14450,1604,11.1,SHOUKHOTHANG,parties.IN.IND,IND,848,52.87,S . LARBO,parties.IN.IND,IND,732,116,7.23,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-25,manipur,1967,MAO WEST,13054,0,0,S . LARHO,parties.IN.INC,INC,0,,,,,,,,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-26,manipur,1967,TAMEI,12433,3534,28.42,D . KIPGEN,parties.IN.IND,IND,1621,45.87,H . NGAILERT,parties.IN.IND,IND,1297,324,9.17,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-27,manipur,1967,TAMENGLONG,15246,1243,8.15,KAKHANGAI,parties.IN.IND,IND,622,50.04,A . M . TUNDAS,parties.IN.INC,INC,396,226,18.18,src-1b7bc1c9d39a,minor,
IN-AC-1967-manipur-28,manipur,1967,JIRIBAM,16965,11981,70.62,S . B . SINGH,parties.IN.INC,INC,4536,37.86,S . HRANGCHAL,parties.IN.IND,IND,2301,2235,18.65,src-1b7bc1c9d39a,minor,
