entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-manipur-1,manipur,2002,KHUNDRAKPAM,19753,16758,84.84,LAIRELLAKPAM LALA,parties.IN.SAP,SAP,3258,19.44,KONSAM TOMBA SINGH,parties.IN.FPM,FPM,2824,434,2.59,src-1b7bc1c9d39a
IN-AC-1976-manipur-10,manipur,2002,URIPOK,18494,15073,81.5,LAISHRAM NANDAKUMAR SINGH,parties.IN.INC,INC,7037,46.69,P. ACHOU SINGH,parties.IN.FPM,FPM,4740,2297,15.24,src-1b7bc1c9d39a
IN-AC-1976-manipur-11,manipur,2002,SAGOLBAND,19926,15721,78.9,SORAM NATUM SINGH,parties.IN.MNC,MNC,5394,34.31,DR. KHWAIRAKPAM LOKEN SINGH,parties.IN.INC,INC,4572,822,5.23,src-1b7bc1c9d39a
IN-AC-1976-manipur-12,manipur,2002,KEISAMTHONG,24071,20998,87.23,L. IBOMCHA SINGH,parties.IN.FPM,FPM,6479,30.86,LANGPOKLAKPAM JAYANTAKUMAR SINGH,parties.IN.INC,INC,6392,87,0.42,src-1b7bc1c9d39a
IN-AC-1976-manipur-13,manipur,2002,SINGJAMEI,17906,15786,88.16,I. HEMOCHANDRA SINGH,parties.IN.FPM,FPM,7150,45.29,HAOBAM BHUBAN SINGH,parties.IN.NCP,NCP,6172,978,6.19,src-1b7bc1c9d39a
IN-AC-1976-manipur-14,manipur,2002,YAISKUL,21816,18013,82.57,R.K. DORENDRA SINGH,parties.IN.BJP,BJP,8107,45.01,ELANGBAM KUNJESWAR SINGH,parties.IN.INC,INC,6981,1126,6.25,src-1b7bc1c9d39a
IN-AC-1976-manipur-15,manipur,2002,WANGKHEI,26993,22550,83.54,ERABOT YUMKHAM,parties.IN.MSCP,MSCP,7999,35.47,ANOUBAM RAJEN SHARMA,parties.IN.FPM,FPM,7500,499,2.21,src-1b7bc1c9d39a
IN-AC-1976-manipur-16,manipur,2002,SEKMAI,20038,17709,88.38,NINGTHOUJAM BIREN,parties.IN.FPM,FPM,6023,34.01,KHWAIRAKPAM CHANDRA,parties.IN.NCP,NCP,4739,1284,7.25,src-1b7bc1c9d39a
IN-AC-1976-manipur-17,manipur,2002,LAMSANG,23936,21639,90.4,WANGKHEIMAYUM BRAJABIDHU SINGH,parties.IN.INC,INC,11859,54.8,SOROKHAIBAM RAJEN SINGH,parties.IN.FPM,FPM,9579,2280,10.53,src-1b7bc1c9d39a
IN-AC-1976-manipur-18,manipur,2002,KONTHOUJAM,22326,20349,91.14,DR. THOKCHOM MEINYA,parties.IN.DRPP,DRPP,5152,25.32,HENAM LOKHON,parties.IN.MSCP,MSCP,4223,929,4.57,src-1b7bc1c9d39a
IN-AC-1976-manipur-19,manipur,2002,PATSOI,24962,21800,87.33,MOIRANGTHEM NABADWIP,parties.IN.CPI,CPI,8622,39.55,LEISHANGTHEM CHANDRAMANI,parties.IN.FPM,FPM,7700,922,4.23,src-1b7bc1c9d39a
IN-AC-1976-manipur-2,manipur,2002,HEINGANG,22847,20194,88.39,NONGTHOMBAM BIREN,parties.IN.DRPP,DRPP,5869,29.06,YANGLEM MANGI SINGH,parties.IN.MSCP,MSCP,5621,248,1.22,src-1b7bc1c9d39a
IN-AC-1976-manipur-20,manipur,2002,LANGTHABAL,19251,17779,92.35,OKRAM JOY SINGH,parties.IN.MPP,MPP,4353,24.48,KARAM BABUDHON SINGH,parties.IN.MNC,MNC,3614,739,4.15,src-1b7bc1c9d39a
IN-AC-1976-manipur-21,manipur,2002,NAORIYA PAKHANGLAKPA,25117,23291,92.73,WAHENGBAM LEIMA DEVI,parties.IN.INC,INC,5712,24.52,R.K. ANAND,parties.IN.DRPP,DRPP,4990,722,3.1,src-1b7bc1c9d39a
