entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-manipur-1506,manipur,2022,1,KHUNDRAKPAM,Thokchom Lokeshwar Singh,parties.IN.INC,12211,49.02,1,won,U,55,Post Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-manipur-1506,manipur,2022,1,KHUNDRAKPAM,Thangjam Mohendro Singh,parties.IN.BJP,11996,48.16,2,lost,U,64,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-manipur-1506,manipur,2022,1,KHUNDRAKPAM,Elangbam Sovid Singh,parties.IN.RPIA,497,2,3,forfeit,U,45,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-manipur-1506,manipur,2022,1,KHUNDRAKPAM,Thangjam Shyam Singh,parties.IN.SHS,40,0.16,5,forfeit,U,60,12th Pass,,crossover,src-1b7bc1c9d39a
IN-AC-2008-manipur-1503,manipur,2022,2,HEINGANG,NONGTHOMBAM BIREN SINGH,parties.IN.BJP,24814,78.54,1,won,U,61,Graduate,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-manipur-1503,manipur,2022,2,HEINGANG,PANGEIJAM SARATCHANDRA SINGH,parties.IN.INC,6543,20.71,2,lost,U,57,Post Graduate,,crossover,src-1b7bc1c9d39a
IN-AC-2008-manipur-1507,manipur,2022,3,KHURAI,LEISHANGTHEM SUSINDRO MEITEI,parties.IN.BJP,11131,33.62,1,won,U,38,12th Pass,"MLA, Party Worker",incumbent,src-1b7bc1c9d39a
IN-AC-2008-manipur-1507,manipur,2022,3,KHURAI,LAITONJAM JAYANANDA SINGH,parties.IN.NPP,8894,26.86,2,lost,U,31,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-manipur-1507,manipur,2022,3,KHURAI,KHAGOKPAM KHAMBA SINGH,parties.IN.RPIA,6792,20.51,3,lost,U,64,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-manipur-1507,manipur,2022,3,KHURAI,TOIJAM LOKENDRO SINGH,parties.IN.JDU,2922,8.83,4,forfeit,U,33,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-manipur-1507,manipur,2022,3,KHURAI,KHURAIJAM RATANKUMAR SINGH,parties.IN.NCP,2461,7.43,5,forfeit,U,67,Post Graduate,Retired or Pension,challenger,src-1b7bc1c9d39a
IN-AC-2008-manipur-1507,manipur,2022,3,KHURAI,HEISNAM SUBHAS SINGH,,385,1.16,6,forfeit,U,56,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-manipur-1507,manipur,2022,3,KHURAI,R.K. AMUSANA SINGH,parties.IN.CPI,356,1.08,7,forfeit,U,57,Graduate Professional,Qualified Professional,challenger,src-1b7bc1c9d39a
IN-AC-2008-manipur-1509,manipur,2022,4,KSHETRIGAO,Sheikh Noorul Hassan,parties.IN.NPP,13118,38.47,1,won,U,36,Post Graduate,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-manipur-1509,manipur,2022,4,KSHETRIGAO,Nahakpam Indrajit Singh,parties.IN.BJP,12376,36.29,2,lost,U,45,12th Pass,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-manipur-1509,manipur,2022,4,KSHETRIGAO,Wahengbam Rojit Singh @ Bullet,parties.IN.JDU,5437,15.94,3,forfeit,U,41,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-manipur-1509,manipur,2022,4,KSHETRIGAO,Mohammed Amin Shah,parties.IN.INC,2832,8.3,4,forfeit,U,42,12th Pass,Party Worker,challenger,src-1b7bc1c9d39a
IN-AC-2008-manipur-1509,manipur,2022,4,KSHETRIGAO,Punnam Rani Wangkhem,parties.IN.NCP,99,0.29,6,forfeit,U,53,Graduate,,challenger,src-1b7bc1c9d39a
