entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-meghalaya-1,meghalaya,1978,WAR-JAINTIA,12393,8456,68.23,JOHNDENG POHRMEN,parties.IN.AHL,AHL,4522,53.48,H.ENOWEL POHSHNA,parties.IN.INC,INC,3590,932,11.02,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-10,meghalaya,1978,NONGPOH,10261,6372,62.1,D. DETHWELSON LAPANG,parties.IN.INC,INC,2223,34.89,ANDREAS KHONGJEE,parties.IN.AHL,AHL,1621,602,9.45,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-11,meghalaya,1978,JIRANG,9234,4500,48.73,SNOMICK KALWING,parties.IN.INC,INC,1750,38.89,GERSON LYNGDOH,parties.IN.HSPDP,HPD,1288,462,10.27,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-12,meghalaya,1978,MAIRANG,11246,6628,58.94,FULLER LYNGDOH MAWNAI,parties.IN.HSPDP,HPD,3496,52.75,IRAD MANIK SYIEM,parties.IN.AHL,AHL,1828,1668,25.17,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-13,meghalaya,1978,NONGSPUNG,10876,8037,73.9,WINSTONE SYIEMIONG,parties.IN.HSPDP,HPD,4988,62.06,HORISHON LYNGDOH B.,parties.IN.AHL,AHL,1904,3084,38.37,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-14,meghalaya,1978,SOHIONG,12013,7399,61.59,MEDRAS MYLLIEM,parties.IN.HSPDP,HPD,2787,37.67,NIT SHABONG,parties.IN.IND,IND,2328,459,6.21,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-15,meghalaya,1978,MYLLIEM,9546,6925,72.54,LAMBOURINE KHARLUKHI,parties.IN.HSPDP,HPD,2078,30.01,JOR MANIK SYIEM,parties.IN.AHL,AHL,1935,143,2.07,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-16,meghalaya,1978,MALKI-NONGTHYMMAI,10138,6735,66.43,UPSTAR KHARBULI,parties.IN.INC,INC,2704,40.15,BINDO M. LANONG,parties.IN.AHL,AHL,2267,437,6.49,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-17,meghalaya,1978,LAITUMKHARAH,9156,5997,65.5,PETER GARNETTE MARBANIANG,parties.IN.INC,INC,3983,66.42,ALEXANDER WARJRI,parties.IN.AHL,AHL,1554,2429,40.51,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-18,meghalaya,1978,PYNTHORUMKHRAH,8851,5493,62.06,B. K. ROY,parties.IN.INC,INC,1575,28.67,SUBHAS CHANDRA BHATTACHARJEE,parties.IN.IND,IND,794,781,14.22,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-19,meghalaya,1978,JAIAW,13860,9397,67.8,P. RIPPLE KYNDIAH,parties.IN.AHL,AHL,3020,32.14,SAIN MANIK JYRWA,parties.IN.IND,IND,2365,655,6.97,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-2,meghalaya,1978,RYMBAI,12129,9180,75.69,OBIL KYNDAIT,parties.IN.HSPDP,HPD,3193,34.78,NIHON KSIH,parties.IN.INC,INC,2858,335,3.65,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-20,meghalaya,1978,MAWKHAR,8456,5646,66.77,D. D. PUGH,parties.IN.AHL,AHL,1730,30.64,E. SHER SINGH JYRWA,parties.IN.HSPDP,HPD,1277,453,8.02,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-21,meghalaya,1978,MAWPREM,7553,4879,64.6,DHRUBANATH JOSHI,parties.IN.INC,INC,2789,57.16,HARENDRA KUMAR DATTA,parties.IN.IND,IND,889,1900,38.94,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-22,meghalaya,1978,LABAN,6501,4411,67.85,BHASKAR CHOUDHURY,parties.IN.INC,INC,1932,43.8,RAYLAND SINGH LYNGDOH,parties.IN.AHL,AHL,1307,625,14.17,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-23,meghalaya,1978,MAWLAI,9504,7133,75.05,STANLINGTON D. KHONGWIR,parties.IN.HSPDP,HPD,4756,66.68,STOSHON ROY NONGRUM,parties.IN.AHL,AHL,1875,2881,40.39,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-24,meghalaya,1978,SOHRYNGKHAM,9692,6323,65.24,GROSSWELL MYLLIEMNGAP,parties.IN.AHL,AHL,2779,43.95,DRINGSON E. SHALLAM,parties.IN.IND,IND,1513,1266,20.02,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-25,meghalaya,1978,DIENGLIENG,9566,6265,65.49,JUNGAI KHONGJOH,parties.IN.INC,INC,1970,31.44,MEDISTAR WARBAH,parties.IN.AHL,AHL,1888,82,1.3,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-26,meghalaya,1978,NONGKREM,10290,7215,70.12,DOMINIC ROBLIN NONGKHYNRIH,parties.IN.IND,IND,4325,59.94,RADHON SINGH LYNGDOH,parties.IN.AHL,AHL,1809,2516,34.87,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-27,meghalaya,1978,LYNGKYRDEM,10750,7113,66.17,BRINGTON BUHAI LYNGDOH,parties.IN.AHL,AHL,2591,36.43,TARSON RYNJAH,parties.IN.INC,INC,2112,479,6.74,src-1b7bc1c9d39a,minor,
