entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-meghalaya-1,meghalaya,2008,1,WAR-JAINTIA,LAHKMEN RYMBUI,parties.IN.INC,INC,6896,36.4,1,won,U,38,Graduate,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-1,meghalaya,2008,1,WAR-JAINTIA,RIANGLENON TARIANG,parties.IN.UDP,UDP,5996,31.65,2,lost,U,47,Post Graduate,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-1,meghalaya,2008,1,WAR-JAINTIA,PAUL LAMIN,parties.IN.NCP,NCP,3230,17.05,3,lost,U,42,Literate,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-1,meghalaya,2008,1,WAR-JAINTIA,CAMILLUS ALBERT LAMIN,parties.IN.KHNAM,KHNAM,2613,13.79,4,forfeit,U,56,Graduate,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-1,meghalaya,2008,1,WAR-JAINTIA,JUNIOR LAMIN,parties.IN.BJP,BJP,109,0.58,5,forfeit,U,38,Not Given Page Missing,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-1,meghalaya,2008,1,WAR-JAINTIA,SEVENSON DHAR,parties.IN.LJP,LJP,99,0.52,6,forfeit,U,43,Graduate Professional,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-2,meghalaya,2008,2,RYMBAI,NEHLANG LYNGDOH,parties.IN.INC,INC,12893,47.9,1,won,U,47,5th Pass,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-2,meghalaya,2008,2,RYMBAI,SIMON SIANGSHAI,parties.IN.NCP,NCP,5856,21.76,2,lost,U,58,Others,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-2,meghalaya,2008,2,RYMBAI,OBIL KYNDAIT,parties.IN.HSPDP,HSPDP,3853,14.32,3,forfeit,U,63,Not Given Page Missing,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-meghalaya-2,meghalaya,2008,2,RYMBAI,TARIANG MASSAR,parties.IN.KHNAM,KHNAM,2332,8.66,4,forfeit,U,30,8th Pass,,challenger,src-1b7bc1c9d39a,minor,
