entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-meghalaya-1,meghalaya,2008,WAR-JAINTIA,20497,18943,92.42,LAHKMEN RYMBUI,parties.IN.INC,INC,6896,36.4,RIANGLENON TARIANG,parties.IN.UDP,UDP,5996,900,4.75,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-10,meghalaya,2008,NONGPOH,23863,21654,90.74,DR. D.D. LAPANG,parties.IN.INC,INC,10974,50.68,DR. CELESTINE LYNGDOH,parties.IN.UDP,UDP,10254,720,3.33,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-11,meghalaya,2008,JIRANG,24635,21715,88.15,J. DRINGWELL RYMBAI,parties.IN.UDP,UDP,5830,26.85,WILLIAM MYNSONG,parties.IN.INC,INC,4350,1480,6.82,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-12,meghalaya,2008,MAIRANG,25896,23967,92.55,METBAH LYNGDOH,parties.IN.UDP,UDP,10642,44.4,BOLDNESS L.NONGUM,parties.IN.INC,INC,8768,1874,7.82,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-13,meghalaya,2008,NONGSPUNG,20547,18895,91.96,J. ANTONIUS LYNGDOH,parties.IN.UDP,UDP,7896,41.79,KENNEDY CORNELIUS KHYRIEM,parties.IN.INC,INC,7149,747,3.95,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-14,meghalaya,2008,SOHIONG,23829,22350,93.79,H. DONKUPAR R. LYNGDOH,parties.IN.INC,INC,8500,38.03,RAIN AUGUSTINE LYNGDOH,parties.IN.UDP,UDP,6827,1673,7.48,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-15,meghalaya,2008,MYLLIEM,22153,19241,86.86,RONNIE V. LYNGDOH,parties.IN.INC,INC,9130,47.45,PYNSHAI MANIK SYIEM,parties.IN.NCP,NCP,7714,1416,7.36,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-16,meghalaya,2008,MALKI-NONGTHYMMAI,19924,15923,79.92,B.M. LANONG,parties.IN.UDP,UDP,5029,31.58,TONY CURTIS LYNGDOH,parties.IN.INC,INC,4166,863,5.42,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-17,meghalaya,2008,LAITUMKHARAH,14326,11071,77.28,M. AMPAREEN LYNGDOH,parties.IN.UDP,UDP,3775,34.1,MALCOLM B. TARIANG,parties.IN.IND,IND,2182,1593,14.39,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-18,meghalaya,2008,PYNTHORUMKHRAH,25963,20921,80.58,A.L. HEK,parties.IN.BJP,BJP,13086,62.55,JAMES MARVIN PARIAT,parties.IN.NCP,NCP,4527,8559,40.91,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-19,meghalaya,2008,JAIAW,14933,12591,84.32,PAUL LYNGDOH,parties.IN.KHNAM,KHNAM,9643,76.59,A. H. SCOTT LYNGDOH,parties.IN.INC,INC,2948,6695,53.18,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-2,meghalaya,2008,RYMBAI,29659,26914,90.74,NEHLANG LYNGDOH,parties.IN.INC,INC,12893,47.9,SIMON SIANGSHAI,parties.IN.NCP,NCP,5856,7037,26.14,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-20,meghalaya,2008,MAWKHAR,7799,6231,79.89,DR FRIDAY LYNGDOH,parties.IN.INC,INC,2413,38.73,GANOLD STONE MASSAR,parties.IN.UDP,UDP,1836,577,9.26,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-21,meghalaya,2008,MAWPREM,18820,15009,79.75,MANAS CHAUDHURI,parties.IN.IND,IND,7833,52.19,BINOD KR JOSHI,parties.IN.INC,INC,5155,2678,17.84,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-22,meghalaya,2008,LABAN,13119,10633,81.05,SANBOR SHULLAI,parties.IN.NCP,NCP,4741,44.59,EDWARD L KHARWANLANG,parties.IN.BJP,BJP,2303,2438,22.93,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-23,meghalaya,2008,MAWLAI,27243,23307,85.55,FOUNDER STRONG CAJEE,parties.IN.INC,INC,12490,53.59,P.T. SAWKMIE,parties.IN.UDP,UDP,9411,3079,13.21,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-24,meghalaya,2008,SOHRYNGKHAM,23474,20513,87.39,CHARLES PYNGROPE,parties.IN.INC,INC,9639,46.99,DR. OSAPHI SMITHSON JYRWA,parties.IN.KHNAM,KHNAM,5458,4181,20.38,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-25,meghalaya,2008,DIENGLIENG,17376,16355,94.12,REMINGTON PYNGROPE,parties.IN.UDP,UDP,4525,27.67,MARTLE N MUKHIM,parties.IN.MDP,MDP,4459,66,0.41,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-26,meghalaya,2008,NONGKREM,22549,20349,90.24,ARDENT MILLER BASAIAWMOIT,parties.IN.UDP,UDP,4845,23.81,LAMBOR MALNGIANG,parties.IN.KHNAM,KHNAM,4128,717,3.52,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-27,meghalaya,2008,LYNGKYRDEM,19435,17568,90.39,PRESTONE TYNSONG,parties.IN.INC,INC,7356,41.87,DOMINIC ROBLIN NONGKYNRIH,parties.IN.KHNAM,KHNAM,6553,803,4.57,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-28,meghalaya,2008,NONGSHKEN,15840,14587,92.09,DON KUPAR MASSAR,parties.IN.IND,IND,5522,37.86,KHAN KHONG DKHAR,parties.IN.INC,INC,4550,972,6.67,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-29,meghalaya,2008,SOHRA,17059,15524,91,DR. PHLOUR W. KHONGJEE,parties.IN.INC,INC,4579,29.5,TITOSSTAR WELL CHYNE,parties.IN.UDP,UDP,4107,472,3.04,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-3,meghalaya,2008,SUTNGA-SHANGPUNG,20892,19248,92.13,SHITLANG PALE,parties.IN.INC,INC,9814,50.99,RICHARD SINGH LYNGDOH,parties.IN.UDP,UDP,7938,1876,9.75,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-30,meghalaya,2008,SHELLA,11248,10122,89.99,DR. DONKUPAR ROY,parties.IN.UDP,UDP,4238,41.87,LESTON WANSWETT,parties.IN.INC,INC,3299,939,9.28,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-31,meghalaya,2008,MAWSYNRAM,17548,15999,91.17,PYNSHNGAINLANG SYIEM,parties.IN.INC,INC,4859,30.37,KHRAWKUPAR JYRWA,parties.IN.NCP,NCP,4601,258,1.61,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-32,meghalaya,2008,MAWKYRWAT,19761,18225,92.23,ROWELL LYNGDOH,parties.IN.INC,INC,5838,32.03,ENBIN K. RASWAI,parties.IN.HSPDP,HSPDP,4510,1328,7.28,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-33,meghalaya,2008,PARIONG,17534,16392,93.49,DR. ADVISER PARIONG,parties.IN.HSPDP,HSPDP,8225,50.18,IRIN LYNGDOH,parties.IN.INC,INC,7199,1026,6.26,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-34,meghalaya,2008,NONGSTOIN,34990,27890,79.71,HOPINGSTONE LYNGDOH,parties.IN.HSPDP,HSPDP,10537,37.78,DAVID HAMAR MARWEIN,parties.IN.IND,IND,4949,5588,20.04,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-35,meghalaya,2008,LANGRIN,21269,19409,91.25,MARTIN M. DANGGO,parties.IN.INC,INC,9100,46.89,KHRANGLIN LYNGKHOI,parties.IN.UDP,UDP,5026,4074,20.99,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-36,meghalaya,2008,MAWTHENGKUT,23220,20578,88.62,FRANCIS PONDIT R. SANGMA,parties.IN.INC,INC,6451,31.35,K. PHLASTING WELL PANGNIANG,parties.IN.HSPDP,HSPDP,4126,2325,11.3,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-37,meghalaya,2008,BAGHMARA,18272,16170,88.5,SATTO MARAK,parties.IN.NCP,NCP,7419,45.88,ARJUN W. MOMIN,parties.IN.INC,INC,5504,1915,11.84,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-38,meghalaya,2008,RONGRENGGIRI,29824,25600,85.84,SHRI.MARCUISE N.MARAK,parties.IN.NCP,NCP,11942,46.65,SMT.DEBORA C.MARAK,parties.IN.INC,INC,8581,3361,13.13,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-39,meghalaya,2008,RONGJENG,17950,15947,88.84,SHRI.DESANG M.SANGMA,parties.IN.NCP,NCP,7891,49.48,SHRI.SENGNAM MARAK,parties.IN.INC,INC,4580,3311,20.76,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-4,meghalaya,2008,RALIANG,23984,23003,95.91,COMINGONE YMBON,parties.IN.INC,INC,12756,55.45,MIHSALAN SUCHIANG,parties.IN.UDP,UDP,6913,5843,25.4,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-40,meghalaya,2008,KHARKUTTA,21441,19275,89.9,SHRI.OMILLO K.SANGMA,parties.IN.NCP,NCP,6424,33.33,SHRI.RUPERT MOMIN,parties.IN.IND,IND,6117,307,1.59,src-1b7bc1c9d39a
IN-AC-1976-meghalaya-41,meghalaya,2008,MENDIPATHAR,21937,19887,90.66,FRANKENSTEIN MOMIN,parties.IN.INC,INC,4647,23.37,BENINSTAND G MOMIN,parties.IN.UDP,UDP,4461,186,0.94,src-1b7bc1c9d39a
