entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-meghalaya-1661,meghalaya,2018,AMLAREM,32315,29475,91.21,LAHKMEN RYMBUI,,14766,50.1,STEPHANSON MUKHIM,,12135,2631,8.93,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1663,meghalaya,2018,JIRANG,35891,30193,84.12,SOSTHENES SOHTUN,,9437,31.26,WITNESS DAY SANCLEY,,9217,220,0.73,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1664,meghalaya,2018,JOWAI,34605,30806,89.02,WAILADMIKI SHYLLA,,10657,34.59,MOONLIGHT PARIAT,,9354,1303,4.23,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1665,meghalaya,2018,KHLIEHRIAT,38103,34489,90.52,KYRMEN SHYLLA,,20285,58.82,JUSTINE DKHAR,,12104,8181,23.72,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1666,meghalaya,2018,MAIRANG,34957,31916,91.3,METBAH LYNGDOH,,10710,33.56,COUNCELLOR SINGH WAHLANG,,7796,2914,9.13,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1667,meghalaya,2018,MAWHATI,31998,28333,88.55,DASAKHIATBHA LAMARE,,6365,22.46,JULIAS KITBOK DORPHANG,,6161,204,0.72,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1668,meghalaya,2018,MAWKYNREW,31164,26697,85.67,BANTEIDOR LYNGDOH,,8519,31.91,MARTLE N MUKHIM,,8010,509,1.91,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1669,meghalaya,2018,MAWKYRWAT,30552,26069,85.33,RENIKTON LYNGDOH TONGKHAR,,6777,26,CARNES SOHSHANG,,6319,458,1.76,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1670,meghalaya,2018,MAWLAI,42664,34871,81.73,PROCESS T. SAWKMIE,,9253,26.53,TEIBORLANG PATHAW,,7679,1574,4.51,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1671,meghalaya,2018,MAWPHLANG,29484,26156,88.71,SYNTAR KLAS SUNN,,11162,42.67,KENNEDY CORNELIUS KHYRIEM,,10444,718,2.74,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1672,meghalaya,2018,MAWRYNGKNENG,32140,27521,85.63,DAVID A NONGRUM,,10336,37.56,HIGHLANDER KHARMALKI,,6573,3763,13.68,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1673,meghalaya,2018,MAWSHYNRUT,33916,30080,88.69,GIGUR MYRTHONG,,9540,31.72,WITTING MAWSOR,,6116,3424,11.39,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1674,meghalaya,2018,MAWSYNRAM,31754,28562,89.95,HIMALAYA MUKTAN SHANGPLIANG,,8984,31.45,PYNSHNGAINLANG SYIEM,,8190,794,2.78,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1675,meghalaya,2018,MAWTHADRAISHAN,35636,32430,91,BROLDING NONGSIEJ,,13520,41.69,BIOLINDA L.NONGLAIT,,11691,1829,5.64,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1676,meghalaya,2018,MOWKAIAW,31011,29237,94.28,NUJORKI SUNGOH,,6691,22.89,GILBERT STEN,,6431,260,0.89,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1677,meghalaya,2018,MYLLIEM,31795,26002,81.78,HAMLETSON DOHLING,,8493,32.66,RONNIE V LYNGDOH,,8028,465,1.79,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1678,meghalaya,2018,NARTIANG,36701,33778,92.04,SNIAWBHALANG DHAR,,16604,49.16,JOPTHIAW LYNGDOH,,14506,2098,6.21,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1679,meghalaya,2018,NONGKREM,32205,27196,84.45,LAMBOR MALNGIANG,,8274,30.42,ARDENT MILLER BASAIAWMOIT,,8198,76,0.28,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1680,meghalaya,2018,NONGPOH,30730,27317,88.89,MAYRALBORN SYIEM,,11119,40.7,RONA KHYMDEIT,,7795,3324,12.16,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1681,meghalaya,2018,NONGSTOIN,35204,31617,89.81,MACMILLAN BYRSAT,,9284,29.36,GABRIEL WAHLANG,,9224,60,0.19,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1682,meghalaya,2018,NONGTHYMMAI,33794,24142,71.44,CHARLES PYNGROPE,,10225,42.35,DR. JEMINO MAWTHOH,,9268,957,3.96,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1684,meghalaya,2018,PYNTHORUMKHRAH,30843,24168,78.36,ALEXANDER LALOO HEK,,10166,42.06,JAMES BAN BASAIAWMOIT,,8748,1418,5.86,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1685,meghalaya,2018,PYNURSLA,32809,30238,92.16,PRESTONE TYNSONG,,12807,42.35,NEHRU SUTING,,10233,2574,8.51,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1686,meghalaya,2018,RALIANG,32206,29983,93.1,COMINGONE YMBON,,12129,40.45,LAKHON BIAM,,8879,3250,10.84,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1687,meghalaya,2018,RAMBRAI JYRNGAM,32263,27764,86.06,KIMFA SIDNEY MARBANIANG,,12135,43.71,K PHLASTINGWELL PANGNIANG,,8332,3803,13.7,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1688,meghalaya,2018,RANIKOR,29781,26570,89.22,Pius Marwein €,,13183,49.62,Martin M. Danggo,,10287,2896,10.9,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1689,meghalaya,2018,SHELLA,29040,25047,86.25,DONKUPAR ROY,,8280,33.06,LESTON WANSWETT,,7910,370,1.48,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1690,meghalaya,2018,SOHIONG,28726,26143,91.01,SAMLIN MALNGIANG,,11960,45.75,H. DONKUPAR R. LYNGDOH,,11338,622,2.38,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1691,meghalaya,2018,SOHRA,25297,22710,89.77,GAVIN MIGUEL MYLLIEM,,8625,37.98,TITOSSTAR WELL CHYNE,,6601,2024,8.91,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1693,meghalaya,2018,SUTNGA SAIPUNG,37957,33879,89.26,SHITLANG PALE,,12257,36.18,HOPEFUL BAMON,,10673,1584,4.68,src-1b7bc1c9d39a
