entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-meghalaya-1689,meghalaya,2019,26,SHELLA,BALAJIED KUPAR SYNREM,,United Democratic Party,12002,47.63,1,won,M,31,Post Graduate,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1689,meghalaya,2019,26,SHELLA,GRACE MARY KHARPURI,parties.IN.IND,IND,5781,22.94,2,lost,F,51,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1689,meghalaya,2019,26,SHELLA,MOSJO ROCK F.WANSWETT,,People's Democratic Front,4327,17.17,3,lost,M,55,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1689,meghalaya,2019,26,SHELLA,BATYNGSHAIN LAITMON RYNGNGA,parties.IN.INC,INC,1715,6.81,4,forfeit,M,32,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1689,meghalaya,2019,26,SHELLA,JOSHUA WARJRI,parties.IN.BJP,BJP,742,2.94,5,forfeit,M,40,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1689,meghalaya,2019,26,SHELLA,KOMEN LAITMON,parties.IN.IND,IND,444,1.76,6,forfeit,M,48,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1689,meghalaya,2019,26,SHELLA,NOTA,,,188,0.75,7,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1716,meghalaya,2019,48,SELSELLA,FERLIN C. A. SANGMA,parties.IN.NPP,NPP,15857,54.66,1,won,F,58,Graduate,Ex Govt Employee,challenger,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1716,meghalaya,2019,48,SELSELLA,JUNE ELIANA R. MARAK,parties.IN.INC,INC,11461,39.51,2,lost,F,61,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1716,meghalaya,2019,48,SELSELLA,ADORSHO SANGMA,parties.IN.BJP,BJP,1021,3.52,3,forfeit,M,54,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1716,meghalaya,2019,48,SELSELLA,SAYEEDULLAH NONGRUM,,United Democratic Party,547,1.89,4,forfeit,M,71,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-meghalaya-1716,meghalaya,2019,48,SELSELLA,NOTA,,,124,0.43,5,lost,U,,,,challenger,src-1b7bc1c9d39a
