entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-mizoram-1,mizoram,1984,TUIPANG,7981,6438,80.67,HIPHEI,parties.IN.INC,INC,3592,55.79,R.T. ZACHONO,parties.IN.PPC,PC,2846,746,11.58,src-1b7bc1c9d39a,minor,
IN-AC-1976-mizoram-10,mizoram,1984,NIVANLAIPHAI,5796,0,0,C.L. RUALA,parties.IN.INC,INC,0,,,,,,,,src-1b7bc1c9d39a,minor,
IN-AC-1976-mizoram-11,mizoram,1984,KHAWBUNG,7574,5523,72.92,ROCHHUNGA RALTE,parties.IN.INC,INC,2034,36.83,C. LALSAWIVELA,parties.IN.PPC,PC,1984,50,0.91,src-1b7bc1c9d39a,minor,
IN-AC-1976-mizoram-12,mizoram,1984,CHAMPHAI,8720,6699,76.82,LALHLIRA,parties.IN.INC,INC,2693,40.2,P.B. ROSANGA,parties.IN.PPC,PC,2417,276,4.12,src-1b7bc1c9d39a,minor,
IN-AC-1976-mizoram-13,mizoram,1984,KHAWHAI,5678,4215,74.23,R. LALAWIA,parties.IN.IND,IND,1062,25.2,J.H. LIANCHUNGNUNGA,parties.IN.PPC,PC,1029,33,0.79,src-1b7bc1c9d39a,minor,
IN-AC-1976-mizoram-14,mizoram,1984,SAITUAL,9119,6570,72.05,K. BIAKCHUNGNUNGA,parties.IN.PPC,PC,2051,31.22,R. ZOLIANA,parties.IN.INC,INC,2022,29,0.44,src-1b7bc1c9d39a,minor,
IN-AC-1976-mizoram-15,mizoram,1984,NGOPA,7981,6150,77.06,ZOSIAMA PACHUAU,parties.IN.PPC,PC,2915,47.4,H. ZATHUAMA,parties.IN.INC,INC,2693,222,3.61,src-1b7bc1c9d39a,minor,
IN-AC-1976-mizoram-16,mizoram,1984,SUANGPUILAWN,7096,5944,83.77,H. THANSANGA,parties.IN.INC,INC,2782,46.8,DR. KENETH CHAWNGLIANA,parties.IN.PPC,PC,2654,128,2.15,src-1b7bc1c9d39a,minor,
IN-AC-1976-mizoram-17,mizoram,1984,RATU,8003,6384,79.77,R. THANGLIANA,parties.IN.INC,INC,2159,33.82,J. THANKUNGA,parties.IN.PPC,PC,2099,60,0.94,src-1b7bc1c9d39a,minor,
IN-AC-1976-mizoram-18,mizoram,1984,KAWNPUI,7597,6644,87.46,VAIVENGA,parties.IN.INC,INC,2454,36.94,F. LALMAMA,parties.IN.PPC,PC,2125,329,4.96,src-1b7bc1c9d39a,minor,
IN-AC-1976-mizoram-19,mizoram,1984,KOLASIB,10657,8004,75.11,ZALAWMA,parties.IN.INC,INC,3044,38.03,JOE NGURDAWLA,parties.IN.PPC,PC,2628,416,5.2,src-1b7bc1c9d39a,minor,
IN-AC-1976-mizoram-2,mizoram,1984,SANGAU,6368,4858,76.29,K. SANGCHHUM,parties.IN.INC,INC,1802,37.09,H. RAMMAWI,parties.IN.PPC,PC,1799,3,0.06,src-1b7bc1c9d39a,minor,
