entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-mizoram-1577,mizoram,2013,1,HACHHEK,LALRINMAWIA RALTE,,7852,45.35,1,won,U,50,Graduate,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1577,mizoram,2013,1,HACHHEK,SAIKAPTHIANGA,,5519,31.87,2,lost,U,59,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1577,mizoram,2013,1,HACHHEK,LALHMINGTHANGA,,2467,14.25,3,forfeit,U,30,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1577,mizoram,2013,1,HACHHEK,LALZAMLOVA TOCHHAWNG,,1139,6.58,4,forfeit,U,38,Graduate,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1577,mizoram,2013,1,HACHHEK,PAZAWNA,,155,0.9,6,forfeit,U,27,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1575,mizoram,2013,2,DAMPA,LALROBIAKA,,6172,43.27,1,won,U,49,Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1575,mizoram,2013,2,DAMPA,LIANSUAMA,,5011,35.13,2,lost,U,65,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1575,mizoram,2013,2,DAMPA,LALRIMAWIA,,2878,20.18,3,lost,U,48,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1575,mizoram,2013,2,DAMPA,R LALTAWNLIANA,,121,0.85,4,forfeit,U,53,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1587,mizoram,2013,3,MAMIT,JOHN ROTLUANGLIANA,,7798,45.81,1,won,U,50,Graduate,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1587,mizoram,2013,3,MAMIT,H.B. LIANMUNGA,,5308,31.19,2,lost,U,51,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1587,mizoram,2013,3,MAMIT,BIAKTHUAMA MOLSHOY,,2368,13.91,3,forfeit,U,35,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1587,mizoram,2013,3,MAMIT,H LALTANPUIA,,1296,7.61,4,forfeit,U,37,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1587,mizoram,2013,3,MAMIT,C DARLIANTHANGA,,100,0.59,6,forfeit,U,62,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1598,mizoram,2013,4,TUIRIAL,HMINGDAILOVA KHIANGTE,,5119,39.12,1,won,U,68,Graduate,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1598,mizoram,2013,4,TUIRIAL,JOSEPH L. RALTE,,4880,37.3,2,lost,U,45,12th Pass,,challenger,src-1b7bc1c9d39a
