entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-2008-mizoram-1562,mizoram,2013,AIZAWL EAST - I,20332,16494,81.12,R. LALRINAWMA,parties.IN.INC,INC,6221,37.72,LALHMANGAIHA SAILO,parties.IN.UNK,MPC,5799,422,2.56,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1568,mizoram,2013,AIZAWL SOUTH-III,17756,15891,89.5,K. S. THANGA,parties.IN.INC,INC,6594,41.5,TAWNLUIA,parties.IN.MNF,MNF,5927,667,4.2,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1569,mizoram,2013,AIZAWL WEST I,20920,17447,83.4,K SANGTHUAMA,parties.IN.MNF,MNF,6387,36.61,TLANGTHANMAWII,parties.IN.INC,INC,5925,462,2.65,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1572,mizoram,2013,CHALFILH,17239,13703,79.49,Dr.Ngurdingliana,parties.IN.INC,INC,7005,51.12,Lalvenhima Hmar,parties.IN.MNF,MNF,4171,2834,20.68,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1573,mizoram,2013,CHAMPHAI NORTH,17048,13982,82.02,T.T. ZOTHANSANGA,parties.IN.INC,INC,5934,42.44,T.C. KAPHMINGTHANGA,parties.IN.MNF,MNF,4464,1470,10.51,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1574,mizoram,2013,CHAMPHAI SOUTH,15793,12692,80.36,JH.ROTHUAMA,parties.IN.INC,INC,5203,40.99,ROSIAMNGHETA,parties.IN.UNK,MPC,3553,1650,13,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1575,mizoram,2013,DAMPA,16205,14263,88.02,LALROBIAKA,parties.IN.INC,INC,6172,43.27,LIANSUAMA,parties.IN.MNF,MNF,5011,1161,8.14,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1576,mizoram,2013,EAST TUIPUI,13961,11359,81.36,T. SANGKUNGA,parties.IN.INC,INC,4926,43.37,ZORAMTHANGA,parties.IN.MNF,MNF,4128,798,7.03,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1577,mizoram,2013,HACHHEK,21156,17315,81.84,LALRINMAWIA RALTE,parties.IN.INC,INC,7852,45.35,SAIKAPTHIANGA,parties.IN.MNF,MNF,5519,2333,13.48,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1578,mizoram,2013,HRANGTURZO,14807,12254,82.76,LAL THANHAWLA,parties.IN.INC,INC,5173,42.21,LALTHANSANGA,parties.IN.UNK,MPC,3545,1628,13.28,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1579,mizoram,2013,KOLASIB,19047,15970,83.85,P.C. ZORAM SANGLIANA,parties.IN.INC,INC,6078,38.06,LALCHAMLIANA,parties.IN.MNF,MNF,5483,595,3.73,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1580,mizoram,2013,LAWNGTLAI EAST,21253,16837,79.22,H.ZOTHANGLIANA,parties.IN.INC,INC,8191,48.65,VANUPA ZATHANG,parties.IN.MNF,MNF,7918,273,1.62,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1581,mizoram,2013,LAWNGTLAI WEST,23032,19581,85.02,C.NGUNLIANCHUNGA,parties.IN.INC,INC,10323,52.72,C.RAMHLUNA,parties.IN.MNF,MNF,8788,1535,7.84,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1582,mizoram,2013,LENGTENG,16191,13267,81.94,H .ROHLUNA,parties.IN.INC,INC,5682,42.83,L .THANGMAWIA,parties.IN.MNF,MNF,5515,167,1.26,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1583,mizoram,2013,LUNGLEI EAST,13112,10881,82.99,JOSEPH LALHIMPUIA,parties.IN.INC,INC,5367,49.32,LALRINZUALA,parties.IN.UNK,MPC,3756,1611,14.8,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1584,mizoram,2013,LUNGLEI NORTH,14784,13083,88.49,P.C. LALTHANLIANA,parties.IN.INC,INC,6168,47.15,DR. K.VANLALLAWMA,parties.IN.MNF,MNF,5298,870,6.65,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1585,mizoram,2013,LUNGLEI SOUTH,15156,13130,86.63,S. LALDINGLIANA,parties.IN.INC,INC,6230,47.45,DR. K PACHHUNGA,parties.IN.MNF,MNF,5780,450,3.43,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1586,mizoram,2013,LUNGLEI WEST,13151,11181,85.02,CHALROSANGA RALTE,parties.IN.INC,INC,5174,46.27,DR. R. LALTHANGLIANA,parties.IN.MNF,MNF,5080,94,0.84,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1587,mizoram,2013,MAMIT,19781,17021,86.05,JOHN ROTLUANGLIANA,parties.IN.INC,INC,7798,45.81,H.B. LIANMUNGA,parties.IN.MNF,MNF,5308,2490,14.62,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1588,mizoram,2013,PALAK,15467,12761,82.5,HIPHEI,parties.IN.INC,INC,7256,56.86,PP. THAWLA,parties.IN.UNK,MDF,5433,1823,14.28,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1589,mizoram,2013,SAIHA,18287,14761,80.72,DR. K. BEICHHUA,parties.IN.MNF,MNF,7324,49.62,S. HIATO,parties.IN.INC,INC,7102,222,1.51,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1590,mizoram,2013,SERCHHIP,16038,13788,85.97,LAL THANHAWLA,parties.IN.INC,INC,5719,41.48,C. LALRAMZAUVA,parties.IN.MNF,MNF,4985,734,5.33,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1591,mizoram,2013,SERLUI,16858,13980,82.93,K. LALRINTHANGA,parties.IN.INC,INC,5664,40.52,LALHMINGLIANA,parties.IN.MNF,MNF,4258,1406,10.06,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1592,mizoram,2013,SOUTH TUIPUI,13678,11575,84.62,JOHN SIAMKUNGA,parties.IN.INC,INC,4912,42.44,J. LALCHHUANA,parties.IN.ZNP,ZNP,3344,1568,13.55,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1593,mizoram,2013,TAWI,14566,12674,87.01,R LALZIRLIANA,parties.IN.INC,INC,5757,45.42,LALMALSAWMI,parties.IN.MNF,MNF,4810,947,7.47,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1594,mizoram,2013,THORANG,12352,10858,87.9,ZODINTLUANGA,parties.IN.INC,INC,6423,59.15,JOSEPH LALZAWMLIANA,parties.IN.MNF,MNF,3919,2504,23.06,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1595,mizoram,2013,TUICHANG,15102,12860,85.15,LALRINLIANA SAILO,parties.IN.INC,INC,6258,48.66,DR. H .LALLUNGMUANA,parties.IN.MNF,MNF,3273,2985,23.21,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1596,mizoram,2013,TUICHAWNG,26278,21067,80.17,BUDDHA DHAN CHAKMA,parties.IN.INC,INC,14626,69.43,RASIK MOHAN CHAKMA,parties.IN.MNF,MNF,5900,8726,41.42,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1597,mizoram,2013,TUIKUM,14353,12573,87.6,ER. LALRINAWMA,parties.IN.MNF,MNF,4467,35.53,K. LIANZUALA,parties.IN.INC,INC,4453,14,0.11,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1598,mizoram,2013,TUIRIAL,15718,13084,83.24,HMINGDAILOVA KHIANGTE,parties.IN.INC,INC,5119,39.12,JOSEPH L. RALTE,parties.IN.ZNP,ZNP,4880,239,1.82,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1599,mizoram,2013,TUIVAWL,15088,12483,82.73,R. L. PIANMAWIA,parties.IN.INC,INC,5668,45.41,GOGO LALREMTLUANGA,parties.IN.MNF,MNF,4297,1371,10.99,src-1b7bc1c9d39a
IN-AC-2008-mizoram-1600,mizoram,2013,WEST TUIPUI,12503,10830,86.62,NIHAR KANTI CHAKMA,parties.IN.INC,INC,6914,63.84,PRITI RANJAN CHAKMA,parties.IN.MNF,MNF,3580,3334,30.78,src-1b7bc1c9d39a
