entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-nagaland-1,nagaland,1974,DIMAPUR-I,11581,5543,47.86,MHAILE PESEYIE GOBINDA,parties.IN.UNK,NNO,3603,65,GOBINDA CH. PAIRA,parties.IN.UNK,UDF,1940,1663,30,src-1b7bc1c9d39a
IN-AC-1976-nagaland-10,nagaland,1974,NORTHERN ANGAMI-I,5960,3788,63.56,SHURHO ZELIE,parties.IN.UNK,UDF,2138,56.44,MEZHU VILIE,parties.IN.UNK,NNO,1152,986,26.03,src-1b7bc1c9d39a
IN-AC-1976-nagaland-11,nagaland,1974,NORTHERN ANGAMI-II,8642,6649,76.94,K. V. KEDITSU,parties.IN.UNK,UDF,2201,33.1,ZAKIEO METHA,parties.IN.UNK,NNO,1931,270,4.06,src-1b7bc1c9d39a
IN-AC-1976-nagaland-12,nagaland,1974,TSEMINYU,6053,5036,83.2,RUSHULO,parties.IN.IND,IND,2564,50.91,RIGATHONG,parties.IN.UNK,NNO,2472,92,1.82,src-1b7bc1c9d39a
IN-AC-1976-nagaland-13,nagaland,1974,PUGHOBOTO,6008,4933,82.11,HUSKA SUMI,parties.IN.IND,IND,2536,51.41,HOSHETO SEMA,parties.IN.UNK,NNO,1544,992,20.11,src-1b7bc1c9d39a
IN-AC-1976-nagaland-14,nagaland,1974,SOUTHERN ANGAMI-I,5491,3908,71.17,VITSONIE,parties.IN.UNK,UDF,1916,49.03,KEHOZHOL KHIEYA,parties.IN.UNK,NNO,1441,475,12.16,src-1b7bc1c9d39a
IN-AC-1976-nagaland-15,nagaland,1974,SOUTHERN ANGAMI-II,5110,3791,74.19,VIZOL,parties.IN.UNK,UDF,2410,63.57,PUSAZO,parties.IN.UNK,NNO,934,1476,38.93,src-1b7bc1c9d39a
IN-AC-1976-nagaland-16,nagaland,1974,PFUTSERO,6868,4876,71,WEPRENYI KAPFO,parties.IN.UNK,UDF,1969,40.38,VEPRARI,parties.IN.IND,IND,1421,548,11.24,src-1b7bc1c9d39a
IN-AC-1976-nagaland-17,nagaland,1974,CHIZAMI,6413,5447,84.94,YEVEHE LOHE,parties.IN.UNK,UDF,1262,23.17,SOYIE,parties.IN.IND,IND,1241,21,0.39,src-1b7bc1c9d39a
IN-AC-1976-nagaland-18,nagaland,1974,CHAZOUBA,9710,7662,78.91,VAMUZO PHESAO,parties.IN.UNK,UDF,4445,58.01,NEITSUTSO THEVO,parties.IN.UNK,NNO,3217,1228,16.02,src-1b7bc1c9d39a
IN-AC-1976-nagaland-19,nagaland,1974,PHEK,7098,5543,78.09,MELHUPRA VERO,parties.IN.UNK,NNO,2339,42.2,ZALHUZU VASA,parties.IN.UNK,UDF,2010,329,5.94,src-1b7bc1c9d39a
IN-AC-1976-nagaland-2,nagaland,1974,DIMAPUR-II,13434,6454,48.04,LHOMITHI,parties.IN.UNK,NNO,3689,57.16,NEISATUO KIDITSU,parties.IN.UNK,UDF,2166,1523,23.6,src-1b7bc1c9d39a
IN-AC-1976-nagaland-20,nagaland,1974,MELURI,5714,4725,82.69,RASUTHO,parties.IN.UNK,UDF,1250,26.46,MARHUTHO,parties.IN.UNK,NNO,1180,70,1.49,src-1b7bc1c9d39a
IN-AC-1976-nagaland-21,nagaland,1974,TULI,7805,6165,78.99,MERACHIBA,parties.IN.UNK,NNO,3198,51.87,PANGERWATI,parties.IN.UNK,UDF,2967,231,3.74,src-1b7bc1c9d39a
IN-AC-1976-nagaland-22,nagaland,1974,ARKAKONG,8222,6895,83.86,R. C. CHITEN JAMIR,parties.IN.UNK,NNO,3521,51.07,TSUKJUMWATI,parties.IN.UNK,UDF,3374,147,2.14,src-1b7bc1c9d39a
IN-AC-1976-nagaland-23,nagaland,1974,IMPUR,10064,7765,77.16,KORAMOA JAMIR,parties.IN.UNK,NNO,2962,38.15,KARHA,parties.IN.UNK,UDF,1946,1016,13.09,src-1b7bc1c9d39a
