entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-2008-nagaland-1441,nagaland,2018,ABOI,11921,11210,94.04,ESHAK KONYAK,parties.IN.NPF,NPF,6036,53.84,AWAN KONYAK,parties.IN.NDPP,NDPP,5131,905,8.07,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1442,nagaland,2018,AGHUNATO,14881,11432,76.82,PUKHAYI,parties.IN.NDPP,NDPP,6399,55.97,HUKIYE N TISSICA,parties.IN.NPF,NPF,4978,1421,12.43,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1443,nagaland,2018,AKULUTO,10014,8968,89.55,KAZHETO KINIMI,parties.IN.BJP,BJP,4844,54.01,K KHEKAHO ASSUMI,parties.IN.NPF,NPF,4109,735,8.19,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1444,nagaland,2018,ALONGTAKI,14407,11919,82.73,TEMJEN IMNA ALONG,parties.IN.BJP,BJP,5981,50.18,DR. BENJONGLIBA AIER,parties.IN.NPF,NPF,5895,86,0.72,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1445,nagaland,2018,ANGETYONGPANG,15566,12506,80.34,TONGPANG OZUKUM,parties.IN.IND,IND,4607,36.84,ALEMTEMSHI JAMIR,parties.IN.NDPP,NDPP,3657,950,7.6,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1446,nagaland,2018,AONGLENDEN,12132,10363,85.42,IMTIKUMZUK,parties.IN.NDPP,NDPP,5206,50.24,TOSHIPOKBA,parties.IN.NPF,NPF,5118,88,0.85,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1447,nagaland,2018,ARKAKONG,16379,14364,87.7,SHRI IMNATIBA,parties.IN.NPEP,NPEP,6307,43.91,SHRI NUKLUTOSHI,parties.IN.NPF,NPF,5514,793,5.52,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1448,nagaland,2018,ATOIZU,15594,14469,92.79,PICTO,parties.IN.NPF,NPF,7643,52.82,K.L.CHISHI,parties.IN.BJP,BJP,6805,838,5.79,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1449,nagaland,2018,BHANDARI,25876,24473,94.58,MMHONLUMO KIKON,parties.IN.BJP,BJP,11205,45.79,ACHUMBEMO KIKON,parties.IN.NPF,NPF,10893,312,1.28,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1450,nagaland,2018,CHAZOUBA,24803,22015,88.76,CHOTISUH SAZO,parties.IN.NPF,NPF,11432,51.93,KUDECHO KHAMO,parties.IN.NDPP,NDPP,10490,942,4.28,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1451,nagaland,2018,CHIZAMI,17084,15231,89.15,KEZHIENYI KHALO,parties.IN.NPF,NPF,6563,43.09,KEVECHUTSO DOULO,parties.IN.BJP,BJP,6160,403,2.65,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1453,nagaland,2018,DIMAPUR-II,52179,38687,74.14,MOATOSHI LONGKUMER,parties.IN.NPF,NPF,21942,56.72,SUPULEBTEN,parties.IN.NDPP,NDPP,15003,6939,17.94,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1454,nagaland,2018,DIMAPUR-III,33223,26958,81.14,AZHETO ZHIMOMI,parties.IN.NPF,NPF,13162,48.82,TOKHEHO,parties.IN.NDPP,NDPP,11024,2138,7.93,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1455,nagaland,2018,GHASPANI-I,66259,52304,78.94,N. JACOB ZHIMOMI,parties.IN.BJP,BJP,23391,44.72,Z. KASHETO YEPTHO,parties.IN.IND,IND,20796,2595,4.96,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1456,nagaland,2018,GHASPANI-II,26455,22890,86.52,ZHALEO RIO,parties.IN.NDPP,NDPP,10939,47.79,DR. KEVINGULIE KHRO,parties.IN.NPF,NPF,6023,4916,21.48,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1457,nagaland,2018,IMPUR,10178,9669,95,DR IMTIWAPANG AIER,parties.IN.NPF,NPF,4852,50.18,T N MANNEN,parties.IN.NDPP,NDPP,4790,62,0.64,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1458,nagaland,2018,JANGPETKONG,11277,10184,90.31,LONGRINEKEN,parties.IN.BJP,BJP,3615,35.5,E.T SUNUP,parties.IN.NPF,NPF,3339,276,2.71,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1459,nagaland,2018,KOHIMA TOWN,31641,22984,72.64,DR.NEIKIESALIE NICKY KIRE,parties.IN.NDPP,NDPP,12605,54.84,DR.TSEILHOUTUO RHUTSO,parties.IN.NPF,NPF,10233,2372,10.32,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1460,nagaland,2018,KORIDANG,17357,15709,90.51,IMKONG L IMCHEN,parties.IN.NPF,NPF,7525,47.9,T CHALUKUMBA AO,parties.IN.NPEP,NPEP,7397,128,0.81,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1461,nagaland,2018,LONGKHIM CHARE,21129,19819,93.8,MUTHINGNYUBA SANGTAM,parties.IN.NPF,NPF,9316,47.01,A. IMTILEMBA SANGTAM,parties.IN.BJP,BJP,7468,1848,9.33,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1462,nagaland,2018,LONGLENG,25211,23833,94.53,S PANGNYU PHOM,parties.IN.BJP,BJP,9987,41.9,Y. B ANGAM PHOM,parties.IN.NPEP,NPEP,8981,1006,4.22,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1463,nagaland,2018,MELURI,17989,16596,92.26,YITACHU,parties.IN.NPF,NPF,7928,47.77,Z NYUSIETHO NYUTHE,parties.IN.NDPP,NDPP,7854,74,0.45,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1464,nagaland,2018,MOKA,16141,15247,94.46,E. E. PANGTEANG,parties.IN.NPF,NPF,7684,50.4,K. KIKO KONYAK,parties.IN.NDPP,NDPP,7536,148,0.97,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1466,nagaland,2018,MON TOWN,18159,16324,89.89,N. THONGWANG KONYAK,parties.IN.NPF,NPF,5429,33.26,Y. MANKHAO KONYAK,parties.IN.NDPP,NDPP,5401,28,0.17,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1467,nagaland,2018,MONGOYA,16014,13585,84.83,NGANGSHI K AO,parties.IN.NPF,NPF,6883,50.67,ALEMTEMSHI JAMIR,parties.IN.NDPP,NDPP,6535,348,2.57,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1468,nagaland,2018,NOKLAK,15561,13891,89.27,H. HAIYING,parties.IN.BJP,BJP,5643,40.62,P. LONGON,parties.IN.NPF,NPF,5638,5,0.03,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1469,nagaland,2018,NOKSEN,11643,10056,86.37,C.M. CHANG,parties.IN.NDPP,NDPP,4436,44.11,W.CHINGMAK CHANG,parties.IN.NPF,NPF,3860,576,5.72,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1471,nagaland,2018,NORTHERN ANGAMI-II,21006,1,0,NEIPHIU RIO,parties.IN.NDPP,NDPP,1,,,,,,,,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1472,nagaland,2018,PEREN,29168,22809,78.2,TADITUI RANGKAU ZELIANG,parties.IN.NPF,NPF,14064,61.66,IHERIE NDANG,parties.IN.NDPP,NDPP,8632,5432,23.82,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1473,nagaland,2018,PFUTSERO,20622,16893,81.92,NEIBA KRONU,parties.IN.NDPP,NDPP,6228,36.87,THENUCHO,parties.IN.NPF,NPF,4914,1314,7.78,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1474,nagaland,2018,PHEK,21068,17830,84.63,KUZHOLUZO NIENU,parties.IN.NPF,NPF,11127,62.41,KUPOTA KHESOH,parties.IN.NDPP,NDPP,6196,4931,27.66,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1475,nagaland,2018,PHOMCHING,16513,14772,89.46,POHWANG KONYAK,parties.IN.NDPP,NDPP,6611,44.75,K. KONNGAM KONYAK,parties.IN.NPF,NPF,5979,632,4.27,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1476,nagaland,2018,PUGHOBOTO,13416,12519,93.31,Y. VIKHEHO SWU,parties.IN.NPF,NPF,6258,49.99,DR. SUKHATO A. SEMA,parties.IN.BJP,BJP,6188,70,0.56,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1477,nagaland,2018,PUNGRO KIPHIRE,28757,22523,78.32,T. TORECHU,parties.IN.NPF,NPF,8056,35.77,T.YANGSEO SANGTAM,parties.IN.JDU,JD(U),7583,473,2.1,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1478,nagaland,2018,SANIS,22357,21110,94.42,MHATHUNG YANTHAN,parties.IN.NDPP,NDPP,10548,49.97,RAMONGO LOTHA,parties.IN.JDU,JD(U),7556,2992,14.18,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1479,nagaland,2018,SATAKHA,16189,13404,82.8,G. KAITO AYE,parties.IN.JDU,JD(U),6431,47.98,ZHEITO CHOPHY,parties.IN.NPF,NPF,3888,2543,18.97,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1480,nagaland,2018,SEYOCHUNG SITIMI,21744,18548,85.3,V. KASHIHO SANGTAM,parties.IN.BJP,BJP,9830,53,C KIPILI SANGTAM,parties.IN.NPF,NPF,8668,1162,6.27,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1481,nagaland,2018,SHAMATOR CHESSORE,17363,14975,86.25,TOSHI WUNGTUNG,parties.IN.NDPP,NDPP,4311,28.79,R. TOHANBA,parties.IN.NPF,NPF,4004,307,2.05,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1482,nagaland,2018,SOUTHERN ANGAMI-I,13394,11368,84.87,VIKHO-O YHOSHÜ,parties.IN.NDPP,NDPP,5821,51.21,MEDOKUL SOPHIE,parties.IN.NPEP,NPEP,3739,2082,18.32,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1483,nagaland,2018,SOUTHERN ANGAMI-II,17504,14393,82.23,ZALE NEIKHA,parties.IN.NDPP,NDPP,7563,52.55,ER. KROPOL VITSU,parties.IN.NPF,NPF,6792,771,5.36,src-1b7bc1c9d39a,minor,
IN-AC-2008-nagaland-1484,nagaland,2018,SURUHOTO,14977,13212,88.22,H KHEHOVI,parties.IN.BJP,BJP,10860,82.2,DR. KAITO JAKHALU,parties.IN.NPF,NPF,2301,8559,64.78,src-1b7bc1c9d39a,minor,
