entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-nagaland-eci1,nagaland,2023,1,DIMAPUR-I,H. TOVIHOTO AYEMI,parties.IN.BJP,BJP,13325,67.01,1,won,U,44,Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-nagaland-eci1,nagaland,2023,1,DIMAPUR-I,KEWEKHAPE THERIE,parties.IN.INC,INC,6366,32.01,2,lost,U,69,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1453,nagaland,2023,2,DIMAPUR-II,MOATOSHI LONGKUMER,parties.IN.NDPP,NDPP,23856,53.19,1,won,U,65,Post Graduate,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1453,nagaland,2023,2,DIMAPUR-II,Y. VIKHEHO AWOMI,parties.IN.UNK,Lok Janshakti Party(Ram Vilas),18709,41.71,2,lost,U,54,Graduate Professional,Party Worker,challenger,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1453,nagaland,2023,2,DIMAPUR-II,S. AMENTO CHISHI,parties.IN.INC,INC,1784,3.98,3,forfeit,U,38,10th Pass,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1454,nagaland,2023,3,DIMAPUR-III,HEKANI JAKHALU,parties.IN.NDPP,NDPP,14395,45.16,1,won,U,48,Post Graduate,Activist,challenger,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1454,nagaland,2023,3,DIMAPUR-III,AZHETO ZHIMOMI,parties.IN.UNK,Lok Janshakti Party(Ram Vilas),12859,40.34,2,lost,U,67,10th Pass,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1454,nagaland,2023,3,DIMAPUR-III,LUN TUNGNUNG,parties.IN.IND,IND,2445,7.67,3,forfeit,U,45,Graduate Professional,Qualified Professional,challenger,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1454,nagaland,2023,3,DIMAPUR-III,KAHUTO CHISHI SUMI,parties.IN.IND,IND,1671,5.24,4,forfeit,U,57,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1454,nagaland,2023,3,DIMAPUR-III,VETETSO LASUH,parties.IN.INC,INC,370,1.16,5,forfeit,U,72,Illiterate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1455,nagaland,2023,4,GHASPANI-I,N. JACOB ZHIMOMI,parties.IN.BJP,BJP,32037,55.95,1,won,U,42,Graduate,Party Worker,incumbent,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1455,nagaland,2023,4,GHASPANI-I,V. PHUSHIKA AOMI,parties.IN.IND,IND,11941,20.85,2,lost,U,46,Graduate,Party Worker,challenger,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1455,nagaland,2023,4,GHASPANI-I,IMSUMONGBA PONGEN,parties.IN.UNK,Janata Dal(United),8228,14.37,3,forfeit,U,48,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1455,nagaland,2023,4,GHASPANI-I,AKAVI N. ZHIMOMI,parties.IN.INC,INC,4513,7.88,4,forfeit,U,31,Graduate,,crossover,src-1b7bc1c9d39a
IN-AC-2008-nagaland-1455,nagaland,2023,4,GHASPANI-I,VIKATO AYE,parties.IN.NPF,NPF,277,0.48,5,forfeit,U,37,Graduate,,challenger,src-1b7bc1c9d39a
