entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-odisha-1,odisha,1980,1,KARANJIA,RAGHUNATH HEMBRAM,parties.IN.JNP_SC,JNP(SC),10381,39.21,1,won,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-1,odisha,1980,1,KARANJIA,PRAFULLA KUMAR DAS,parties.IN.INC_I,INC(I),9906,37.42,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-1,odisha,1980,1,KARANJIA,KULAMANI SANKHAIAL,parties.IN.INC_U,INC(U),3044,11.5,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-1,odisha,1980,1,KARANJIA,SANKHA CHARAN MAJHI,parties.IN.IND,IND,2356,8.9,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-1,odisha,1980,1,KARANJIA,RAGHUNATH JERAI,parties.IN.IND,IND,788,2.98,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-2,odisha,1980,2,JASHIPUR,SUNDAR MOHAN MAJHI,parties.IN.INC_I,INC(I),9358,41.16,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-2,odisha,1980,2,JASHIPUR,GHANASYAM HEMBRAM,parties.IN.JNP_SC,JNP(SC),5029,22.12,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-2,odisha,1980,2,JASHIPUR,KANHURAM HEMBRAM,parties.IN.INC_U,INC(U),4458,19.61,3,lost,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-2,odisha,1980,2,JASHIPUR,PRANABANDHU NAYAK,parties.IN.IND,IND,1981,8.71,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-2,odisha,1980,2,JASHIPUR,KRUSHNA CHANDRA SOREN,parties.IN.IND,IND,1470,6.47,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-2,odisha,1980,2,JASHIPUR,RAKHAL CHANDRA PINGUA,parties.IN.JKD,JKD,439,1.93,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-3,odisha,1980,3,BAHALDA,RAMA CHANDRA HANSDAH,parties.IN.INC_I,INC(I),7691,35.89,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-3,odisha,1980,3,BAHALDA,LAXMAN MAJHI,parties.IN.IND,IND,5450,25.43,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-3,odisha,1980,3,BAHALDA,GURU CHARAN BAGE,parties.IN.INC_U,INC(U),5162,24.09,3,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-3,odisha,1980,3,BAHALDA,SASHI BHUSAN MARNDI,parties.IN.JKD,JKD,1742,8.13,4,forfeit,U,,,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-3,odisha,1980,3,BAHALDA,GOKUL DANDAPAT,parties.IN.IND,IND,1384,6.46,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-4,odisha,1980,4,RAIRANGPUR,SIDHALAL MURMU,parties.IN.INC_I,INC(I),11208,45.53,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-4,odisha,1980,4,RAIRANGPUR,BRAJA MOHAN HANSDAH,parties.IN.IND,IND,7172,29.13,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-4,odisha,1980,4,RAIRANGPUR,CHANDRA MOHAN SINHA,parties.IN.JNP_SC,JNP(SC),5122,20.81,3,lost,U,,,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-4,odisha,1980,4,RAIRANGPUR,GHASIRAM SANDIL,parties.IN.JKD,JKD,1115,4.53,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-5,odisha,1980,5,BANGRIPOSI,KANGOI SINGH,parties.IN.INC_I,INC(I),16770,64.63,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-5,odisha,1980,5,BANGRIPOSI,BHIM CHARAN NAIK,parties.IN.CPI,CPI,3264,12.58,2,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-5,odisha,1980,5,BANGRIPOSI,PURUSHOTTAM NAIK,parties.IN.BJP,BJP,3121,12.03,3,forfeit,U,,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-5,odisha,1980,5,BANGRIPOSI,DASMAT MARANDI,parties.IN.IND,IND,2009,7.74,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-5,odisha,1980,5,BANGRIPOSI,JADABANANDA MURMU,parties.IN.JKD,JKD,555,2.14,5,forfeit,U,,,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-odisha-5,odisha,1980,5,BANGRIPOSI,RAMANATH DAS,parties.IN.IND,IND,230,0.89,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
