entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1976-odisha-1,odisha,1980,KARANJIA,76640,26475,34.54,RAGHUNATH HEMBRAM,parties.IN.JNP_SC,JNP(SC),10381,39.21,PRAFULLA KUMAR DAS,parties.IN.INC_I,INC(I),9906,475,1.79,src-1b7bc1c9d39a
IN-AC-1976-odisha-10,odisha,1980,UDALA,82569,31541,38.2,RAUANESWAR MADHEI,parties.IN.INC_I,INC(I),17914,56.8,RUHIDAS SOREN,parties.IN.INC_U,INC(U),9193,8721,27.65,src-1b7bc1c9d39a
IN-AC-1976-odisha-100,odisha,1980,NARLA,72268,19255,26.64,TEJRAJ MAJHI,parties.IN.INC_I,INC(I),10787,56.02,PURNA CHANDRA MAJHI,parties.IN.IND,IND,3234,7553,39.22,src-1b7bc1c9d39a
IN-AC-1976-odisha-101,odisha,1980,KESINGA,83084,44169,53.16,BHUPINDER SINGH,parties.IN.INC_I,INC(I),21955,49.71,NILAMANI SAHU,parties.IN.JNP_SC,JNP(SC),9231,12724,28.81,src-1b7bc1c9d39a
IN-AC-1976-odisha-102,odisha,1980,BALLIGUDA,87376,30784,35.23,SAHURA MALLIK,parties.IN.INC_I,INC(I),13791,44.8,SADANANDA KONHAR,parties.IN.IND,IND,12709,1082,3.52,src-1b7bc1c9d39a
IN-AC-1976-odisha-103,odisha,1980,UDAYAGIRI,92354,28795,31.18,NAGARJUN PRADHAN,parties.IN.INC_I,INC(I),15592,54.15,PAUL PRADHAN,parties.IN.IND,IND,7804,7788,27.05,src-1b7bc1c9d39a
IN-AC-1976-odisha-104,odisha,1980,PHULBANI,93682,26765,28.57,CHANDRA SEKHAR BEHERA,parties.IN.INC_I,INC(I),16124,60.24,INDRAMANI BEHERA,parties.IN.JNP_SC,JNP(SC),8911,7213,26.95,src-1b7bc1c9d39a
IN-AC-1976-odisha-105,odisha,1980,BOUDH,102155,58201,56.97,HIMANSHU SEKHAR PANDHI,parties.IN.INC_I,INC(I),33959,58.35,NATABAR PRADHAN,parties.IN.JNP_SC,JNP(SC),22163,11796,20.27,src-1b7bc1c9d39a
IN-AC-1976-odisha-106,odisha,1980,TITILAGARH,88715,28944,32.63,LALIT MOHAN GANDHI,parties.IN.INC_I,INC(I),17580,60.74,ACHYUTANANDA MAHANANDA,parties.IN.JNP_JP,JNP(JP),5289,12291,42.47,src-1b7bc1c9d39a
IN-AC-1976-odisha-107,odisha,1980,KANTABANJI,78965,30725,38.91,PRASANNA KUMAR PAL,parties.IN.INC_I,INC(I),16850,54.84,NITYANANDA SAHU,parties.IN.IND,IND,7596,9254,30.12,src-1b7bc1c9d39a
IN-AC-1976-odisha-108,odisha,1980,PATNAGARH,87036,42228,48.52,BRAJAMOHAN THAKUR,parties.IN.INC_I,INC(I),23407,55.43,AINTHU SAHOO,parties.IN.JNP_SC,JNP(SC),15253,8154,19.31,src-1b7bc1c9d39a
IN-AC-1976-odisha-109,odisha,1980,SAINTALA,85090,28620,33.63,RAMESH CHANDRA SINGH BHOI,parties.IN.INC_I,INC(I),14915,52.11,JAGENSWAR BABU,parties.IN.IND,IND,5726,9189,32.1,src-1b7bc1c9d39a
IN-AC-1976-odisha-11,odisha,1980,BHOGRAI,98547,68169,69.17,KARTIKESWAR PATRA,parties.IN.INC_I,INC(I),34458,50.55,SAMRENDRA KUNDU,parties.IN.JNP_JP,JNP(JP),32255,2203,3.23,src-1b7bc1c9d39a
IN-AC-1976-odisha-110,odisha,1980,LOISINGHA,94562,47418,50.14,BALGOPAL MISHRA,parties.IN.IND,IND,30187,63.66,SURYABHANU MISHRA,parties.IN.INC_I,INC(I),11967,18220,38.42,src-1b7bc1c9d39a
IN-AC-1976-odisha-111,odisha,1980,BOLANGIR,103060,39600,38.42,MAHAMMAD MUZAFAR HUSSAIN KHAN,parties.IN.INC_I,INC(I),14370,36.29,MURALIDHAR GURU,parties.IN.JNP_SC,JNP(SC),6145,8225,20.77,src-1b7bc1c9d39a
IN-AC-1976-odisha-112,odisha,1980,SONEPUR,103332,30971,29.97,DHANESWAR KUMBHAR,parties.IN.INC_I,INC(I),20512,66.23,RAMAKANTA SETH,parties.IN.INC_U,INC(U),4761,15751,50.86,src-1b7bc1c9d39a
IN-AC-1976-odisha-113,odisha,1980,BINKA,108143,50831,47,PRADIPT HOTA,parties.IN.INC_I,INC(I),19160,37.69,MAHATMA PRASAD BHOI,parties.IN.INC_U,INC(U),9468,9692,19.06,src-1b7bc1c9d39a
IN-AC-1976-odisha-114,odisha,1980,BIRMAHARAJPUR,94331,37056,39.28,HRUSHIKESH HOTA,parties.IN.INC_I,INC(I),17893,48.29,SURENDRA PRADHAN,parties.IN.JNP_SC,JNP(SC),11537,6356,17.16,src-1b7bc1c9d39a
IN-AC-1976-odisha-115,odisha,1980,ATHMALLIK,87652,43472,49.6,BHAJAMAN BEHERA,parties.IN.INC_I,INC(I),26221,60.32,BALAKRUSHNA PATNAIK,parties.IN.INC_U,INC(U),13221,13000,29.91,src-1b7bc1c9d39a
IN-AC-1976-odisha-116,odisha,1980,ANGUL,99007,52334,52.86,SANTOSH KUMAR PRADHAN,parties.IN.INC_I,INC(I),27729,52.98,ADWAIT PRASAD SINGH,parties.IN.JNP_SC,JNP(SC),19471,8258,15.77,src-1b7bc1c9d39a
IN-AC-1976-odisha-117,odisha,1980,HINDOL,89868,38329,42.65,TRINATH NAYAK,parties.IN.JNP_SC,JNP(SC),16670,43.49,HARIHAR SETHI,parties.IN.INC_I,INC(I),16390,280,0.73,src-1b7bc1c9d39a
IN-AC-1976-odisha-118,odisha,1980,DHENKANAL,90208,43643,48.38,NANDINI SATPATHY,parties.IN.INC_U,INC(U),25797,59.11,PRAFULLA KUMAR BHANJA,parties.IN.INC_I,INC(I),16976,8821,20.21,src-1b7bc1c9d39a
IN-AC-1976-odisha-119,odisha,1980,GONDIA,87818,37580,42.79,HALADHAR MISHRA,parties.IN.INC_U,INC(U),11330,30.15,BIDHAN CHANDRA MISRA,parties.IN.IND,IND,8208,3122,8.31,src-1b7bc1c9d39a
IN-AC-1976-odisha-12,odisha,1980,JALESWAR,109513,64080,58.51,GADADHAR GIRI,parties.IN.JNP_JP,JNP(JP),24365,38.02,JAYANARAYAN MOHANTY,parties.IN.INC_I,INC(I),16087,8278,12.92,src-1b7bc1c9d39a
IN-AC-1976-odisha-120,odisha,1980,KAMAKHYANAGAR,97646,43759,44.81,KAILASH CHANDRA MOHAPATRA,parties.IN.INC_I,INC(I),25616,58.54,BRAHMANANDA BISWAL,parties.IN.INC_U,INC(U),14275,11341,25.92,src-1b7bc1c9d39a
IN-AC-1976-odisha-121,odisha,1980,PALLAHARA,99069,37702,38.06,BIBHUDHENDRA PRATAP DAS,parties.IN.INC_I,INC(I),14961,39.68,NRUSINGH CHARAN SAHU,parties.IN.IND,IND,6691,8270,21.93,src-1b7bc1c9d39a
IN-AC-1976-odisha-122,odisha,1980,TALCHER,111175,40385,36.33,BRUNDABAN BAHERA,parties.IN.JNP_JP,JNP(JP),20215,50.06,PABITRAMOHAN NAIK,parties.IN.INC_I,INC(I),19325,890,2.21,src-1b7bc1c9d39a
IN-AC-1976-odisha-123,odisha,1980,PADAMPUR,95375,36353,38.12,SATYA BHUSAN SAHU,parties.IN.INC_I,INC(I),15478,42.58,MURARI PRASAD MISHRA,parties.IN.INC_U,INC(U),10018,5460,15.02,src-1b7bc1c9d39a
IN-AC-1976-odisha-124,odisha,1980,MELCHHAMUNDA,95580,39128,40.94,PRAKASH CHANDRA DEBATA,parties.IN.INC_I,INC(I),20208,51.65,PURNA CHANDRA SAHU,parties.IN.IND,IND,7009,13199,33.74,src-1b7bc1c9d39a
IN-AC-1976-odisha-125,odisha,1980,BIJEPUR,106088,48566,45.78,RAJIB LOCHAN HOTA,parties.IN.INC_I,INC(I),23656,48.71,SIBA PRASAD PADHAN,parties.IN.JNP_SC,JNP(SC),12026,11630,23.95,src-1b7bc1c9d39a
IN-AC-1976-odisha-126,odisha,1980,BHATLI,101234,40464,39.97,MOHAN NAG,parties.IN.INC_I,INC(I),27392,67.69,BIMBAHAR KUAR,parties.IN.BJP,BJP,10741,16651,41.15,src-1b7bc1c9d39a
IN-AC-1976-odisha-127,odisha,1980,BARGARH,114407,46148,40.34,JADUMANI PADHAN,parties.IN.INC_I,INC(I),27689,60,NABIN KUMAR PADHAN,parties.IN.JNP_SC,JNP(SC),13648,14041,30.43,src-1b7bc1c9d39a
IN-AC-1976-odisha-128,odisha,1980,SAMBALPUR,122707,45633,37.19,ASWINI KUMAR GURU,parties.IN.INC_I,INC(I),29603,64.87,BISHNU PRASAD MISHRA,parties.IN.JNP_SC,JNP(SC),7619,21984,48.17,src-1b7bc1c9d39a
IN-AC-1976-odisha-129,odisha,1980,BRAJARAJNAGAR,95350,45450,47.67,UPENDRA DIXIT,parties.IN.INC_I,INC(I),24815,54.6,PRASANNA KUMAR PANDA,parties.IN.CPI,CPI,16277,8538,18.79,src-1b7bc1c9d39a
IN-AC-1976-odisha-13,odisha,1980,BASTA,89989,58161,64.63,BHOPAL CHANDRA MOHAPATRA,parties.IN.INC_I,INC(I),30690,52.77,RAGHUNATH MOHANTY,parties.IN.IND,IND,13154,17536,30.15,src-1b7bc1c9d39a
IN-AC-1976-odisha-130,odisha,1980,JHARSUGUDA,104617,45350,43.35,BIRENDRA PANDEY,parties.IN.INC_I,INC(I),26375,58.16,JHASKETAN SAHU,parties.IN.JNP_SC,JNP(SC),8475,17900,39.47,src-1b7bc1c9d39a
IN-AC-1976-odisha-131,odisha,1980,LAIKERA,87520,30870,35.27,HEMANANDA BISWAL,parties.IN.INC_I,INC(I),22706,73.55,BINOD BIHARI SINGH,parties.IN.JNP_SC,JNP(SC),8164,14542,47.1,src-1b7bc1c9d39a
IN-AC-1976-odisha-132,odisha,1980,KUCHINDA,86655,24704,28.51,JAGATESWAR MIRDHA,parties.IN.INC_I,INC(I),18820,76.18,DEBARCHAN KALO,parties.IN.JNP_JP,JNP(JP),4845,13975,56.57,src-1b7bc1c9d39a
IN-AC-1976-odisha-133,odisha,1980,RAIRAKHOL,88830,26521,29.86,ABHIMANYU KUMAR,parties.IN.INC_I,INC(I),16660,62.82,BASANT KUMAR MAHANANDA,parties.IN.JNP_SC,JNP(SC),6417,10243,38.62,src-1b7bc1c9d39a
IN-AC-1976-odisha-134,odisha,1980,DEOGARH,97741,37196,38.06,ASWINI KUMAR BEHERA,parties.IN.INC_I,INC(I),16227,43.63,BALARAM SAHU,parties.IN.IND,IND,8228,7999,21.51,src-1b7bc1c9d39a
IN-AC-1976-odisha-135,odisha,1980,SUNDARGARH,88049,42239,47.97,KISHORE CHANDRA PATAL,parties.IN.INC_I,INC(I),31053,73.52,ANANDA CHANDRA NAIK,parties.IN.INC_U,INC(U),5868,25185,59.63,src-1b7bc1c9d39a
IN-AC-1976-odisha-136,odisha,1980,TALSARA,78143,29812,38.15,GAJADHAR MAJHI,parties.IN.INC_I,INC(I),17033,57.13,IGNANCE MAJHI,parties.IN.JNP_SC,JNP(SC),4889,12144,40.73,src-1b7bc1c9d39a
IN-AC-1976-odisha-137,odisha,1980,RAJGANGPUR,92161,32777,35.56,MUKHARAM NAIK,parties.IN.INC_I,INC(I),10827,33.03,MANGUAL KISAN,parties.IN.JNP_SC,JNP(SC),8521,2306,7.03,src-1b7bc1c9d39a
