entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-2008-odisha-2222,odisha,2009,HINJILI,190379,95922,50.38,NAVEEN PATNAIK,parties.IN.BJD,BJD,72942,76.04,RAGHABO PARIDA,parties.IN.INC,INC,11669,61273,63.87,src-0c1b8f274551,minor,
IN-AC-2008-odisha-2223,odisha,2009,ASKA,167516,88154,52.62,DEBARAJ MOHANTY,parties.IN.BJD,BJD,46059,52.25,SAROJA KUMAR PADHI,parties.IN.IND,IND,16073,29986,34.02,src-0c1b8f274551,minor,
IN-AC-2008-odisha-2224,odisha,2009,KABISURYANGAR,186421,101694,54.55,V. SUGNANA KUMARI DEO,parties.IN.BJD,BJD,56960,56.01,KISHOR PALLEI,parties.IN.INC,INC,33892,23068,22.68,src-0c1b8f274551,minor,
IN-AC-2008-odisha-2225,odisha,2009,KHALIKOTE,179450,95928,53.46,PURNA CHANDRA SETHY,parties.IN.BJD,BJD,65299,68.07,KASINATH BEHARA,parties.IN.INC,INC,20670,44629,46.52,src-0c1b8f274551,minor,
IN-AC-2008-odisha-2226,odisha,2009,POLASARA,197266,112543,57.05,NIRANJAN PRADHAN,parties.IN.BJD,BJD,55193,49.04,RAM KRUSHNA PATNAIK,parties.IN.INC,INC,43871,11322,10.06,src-0c1b8f274551,minor,
IN-AC-2008-odisha-2227,odisha,2009,SANAKHEMUNDI,179442,100273,55.88,RAMESH CHANDRA JENA,parties.IN.INC,INC,50487,50.35,KISHORE CHANDRA SINGH       DEO,parties.IN.BJP,BJP,26894,23593,23.53,src-0c1b8f274551,minor,
IN-AC-2008-odisha-2228,odisha,2009,SURADA,185720,107160,57.7,PURNA CHANDRA SWAIN,parties.IN.BJD,BJD,43299,40.41,NILAMANI BISOYI,parties.IN.IND,IND,39288,4011,3.75,src-0c1b8f274551,minor,
IN-AC-2008-odisha-2229,odisha,2009,BADASAHI,150007,106878,71.25,MANORANJAN SETHI,parties.IN.BJD,BJD,48382,45.27,GANESWAR PATRA,parties.IN.INC,INC,32883,15499,14.5,src-0c1b8f274551,minor,
IN-AC-2008-odisha-2230,odisha,2009,BALASORE,188022,122668,65.24,JIBAN PRADIP DASH,parties.IN.BJD,BJD,55710,45.42,ANUP KUMAR DAS,parties.IN.IND,IND,42220,13490,11,src-0c1b8f274551,minor,
IN-AC-2008-odisha-2231,odisha,2009,BASTA,190381,146932,77.18,RAGHUNATH MOHANTY,parties.IN.BJD,BJD,74472,50.68,JAYNARAYAN MOHANTY,parties.IN.INC,INC,64942,9530,6.48,src-0c1b8f274551,minor,
