entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-odisha-2242,odisha,2014,1,PADAMPUR,PRADIP PUROHIT,parties.IN.BJP,68942,38.66,1,won,U,48,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2242,odisha,2014,1,PADAMPUR,BIJAYA RANJAN SINGHA BARIHA,parties.IN.BJD,64429,36.13,2,lost,U,56,Post Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-odisha-2242,odisha,2014,1,PADAMPUR,PRAKASH NARAYAN TRIPATHY,parties.IN.INC,31179,17.48,3,lost,U,52,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2242,odisha,2014,1,PADAMPUR,GOBARDHAN BHOY,parties.IN.IND,5456,3.06,4,forfeit,U,42,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2242,odisha,2014,1,PADAMPUR,TANKADHAR KANTA,parties.IN.BSP,1632,0.92,6,forfeit,U,48,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2242,odisha,2014,1,PADAMPUR,RAJKUMAR SETH,,1563,0.88,7,forfeit,U,47,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2242,odisha,2014,1,PADAMPUR,GANGADHAR BHOI,,1295,0.73,8,forfeit,U,39,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2242,odisha,2014,1,PADAMPUR,PURNANANDA SAHU,parties.IN.IND,1132,0.63,9,forfeit,U,49,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2242,odisha,2014,1,PADAMPUR,NEHERU BAG,,953,0.53,10,forfeit,U,39,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2239,odisha,2014,2,BIJEPUR,SUBAL SAHU,parties.IN.INC,53290,32.15,1,won,U,53,Graduate Professional,Lawyer,incumbent,src-1b7bc1c9d39a
IN-AC-2008-odisha-2239,odisha,2014,2,BIJEPUR,PRASANNA ACHARYA,parties.IN.BJD,52832,31.88,2,lost,U,64,Graduate Professional,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-odisha-2239,odisha,2014,2,BIJEPUR,JAYSHANKAR PATTANAIK,parties.IN.BJP,30001,18.1,3,lost,U,56,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2239,odisha,2014,2,BIJEPUR,ASHOK KUMAR PANIGRAHI,parties.IN.IND,18232,11,4,forfeit,U,56,Post Graduate,Lawyer,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2239,odisha,2014,2,BIJEPUR,KISHOR DAPHADAR,,2931,1.77,5,forfeit,U,54,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2239,odisha,2014,2,BIJEPUR,SURESH TRIPATHY,,1659,1,6,forfeit,U,42,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2239,odisha,2014,2,BIJEPUR,PURNA CHANDRA PAIK,parties.IN.APOI,1561,0.94,7,forfeit,U,37,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2239,odisha,2014,2,BIJEPUR,JAYRAM BAG,parties.IN.BSP,1429,0.86,8,forfeit,U,39,Graduate Professional,Advocacy,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2239,odisha,2014,2,BIJEPUR,ROHITA KUMAR SAHU,parties.IN.AITC,935,0.56,10,forfeit,U,64,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2239,odisha,2014,2,BIJEPUR,KUMAR NANDA,parties.IN.RPI_D,838,0.51,11,forfeit,U,41,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2239,odisha,2014,2,BIJEPUR,SACHIDANANDA PATRA,,754,0.45,12,forfeit,U,36,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2237,odisha,2014,3,BARGARH,DEBESH ACHARYA,parties.IN.BJD,59350,40.67,1,won,U,41,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2237,odisha,2014,3,BARGARH,SADHU NEPAK,parties.IN.INC,46146,31.62,2,lost,U,62,Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-odisha-2237,odisha,2014,3,BARGARH,ASHWINI KUMAR SARANGI,parties.IN.BJP,22707,15.56,3,forfeit,U,43,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2237,odisha,2014,3,BARGARH,DEBABRATA MISHRA,,10699,7.33,4,forfeit,U,46,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2237,odisha,2014,3,BARGARH,ARUN KUMAR SAHU,,2556,1.75,5,forfeit,U,54,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2237,odisha,2014,3,BARGARH,SURENDRA KUMAR TANDI,parties.IN.BSP,1894,1.3,6,forfeit,U,39,Graduate Professional,Lawyer,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2237,odisha,2014,3,BARGARH,MD. NIJAMUDIN SAHA,parties.IN.AITC,813,0.56,8,forfeit,U,30,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2236,odisha,2014,4,ATTABIRA,SNEHANGINI CHHURIA,parties.IN.BJD,69602,44.92,1,won,U,45,Post Graduate,Party Worker,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2236,odisha,2014,4,ATTABIRA,NIHAR RANJAN MAHANANDA,parties.IN.INC,44128,28.48,2,lost,U,36,Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-odisha-2236,odisha,2014,4,ATTABIRA,MILAN SETH,parties.IN.BJP,33735,21.77,3,lost,U,41,Graduate,Party Worker,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2236,odisha,2014,4,ATTABIRA,UPENDRA SETH,,2521,1.63,4,forfeit,U,42,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2236,odisha,2014,4,ATTABIRA,MADHABI DEHURIA,parties.IN.BSP,1233,0.8,6,forfeit,U,45,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2236,odisha,2014,4,ATTABIRA,ARJUN NAG,,790,0.51,7,forfeit,U,37,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2236,odisha,2014,4,ATTABIRA,KUMAR BEHERA,parties.IN.AITC,757,0.49,8,forfeit,U,71,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-odisha-2236,odisha,2014,4,ATTABIRA,CHANDRAMANI KUMBHAR,,668,0.43,9,forfeit,U,38,,,challenger,src-1b7bc1c9d39a
