entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1967-puducherry-1,puducherry,1964,1,MUTHIALPET,"SHANMUGHAM, P",parties.IN.INC,CONG,1726,33.06,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-1,puducherry,1964,1,MUTHIALPET,THANGAPRAKASAM,parties.IN.IND,IND,1429,27.37,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-1,puducherry,1964,1,MUTHIALPET,DHATCHANAMURTHY,parties.IN.PFR,PF,1011,19.36,3,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-1,puducherry,1964,1,MUTHIALPET,MURUGAIAN. K.,parties.IN.IND,IND,882,16.89,4,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-1,puducherry,1964,1,MUTHIALPET,"ARUL RAJ A,",parties.IN.IND,IND,173,3.31,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-2,puducherry,1964,2,COUROSSUCOUPOM,PADMINI CHANDRASEKARAN,parties.IN.INC,CONG,3605,53.23,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-2,puducherry,1964,2,COUROSSUCOUPOM,"MURUGESA MUDALIAR, M.",parties.IN.IND,IND,3168,46.77,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-3,puducherry,1964,3,CASSICADE,KANKEYAN A.S.,parties.IN.INC,CONG,1799,39.98,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-3,puducherry,1964,3,CASSICADE,KUPPUSAMY MUDALIAR,parties.IN.IND,IND,1182,26.27,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-3,puducherry,1964,3,CASSICADE,SARASWATI,parties.IN.PFR,PF,880,19.56,3,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-3,puducherry,1964,3,CASSICADE,SIVAPRAKASAM,parties.IN.IND,IND,572,12.71,4,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-3,puducherry,1964,3,CASSICADE,SIYALI VENKU CHETTY,parties.IN.IND,IND,67,1.49,5,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-4,puducherry,1964,4,RAJ NIVAS,EDOUARD GOUBERT,parties.IN.INC,CONG,2722,78.47,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-4,puducherry,1964,4,RAJ NIVAS,PAKIAM S.,parties.IN.IND,IND,662,19.08,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-4,puducherry,1964,4,RAJ NIVAS,JIMMY EBENEZAR ROBERT,parties.IN.PFR,PF,85,2.45,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-5,puducherry,1964,5,BUSSY,ACHREAFF C.M.,parties.IN.IND,IND,2367,62.72,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-5,puducherry,1964,5,BUSSY,PAUL AMBROISE,parties.IN.INC,CONG,789,20.91,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-5,puducherry,1964,5,BUSSY,MUHAMMED HOUSSAIN,parties.IN.PFR,PF,618,16.38,3,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-6,puducherry,1964,6,OUPALOM,PERUMAL RAJA G.,parties.IN.IND,IND,3098,55.47,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-6,puducherry,1964,6,OUPALOM,"MUNISAMY, D.",parties.IN.INC,CONG,2487,44.53,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-7,puducherry,1964,7,NELLITOPE,"RANGANATHAN, N.",parties.IN.PFR,PF,3627,50.11,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1967-puducherry-7,puducherry,1964,7,NELLITOPE,"PURUSHOTHAMAN, R.T.",parties.IN.INC,CONG,3611,49.89,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
