entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id
IN-AC-1967-puducherry-1,puducherry,1964,MUTHIALPET,6503,5221,80.29,"SHANMUGHAM, P",parties.IN.INC,CONG,1726,33.06,THANGAPRAKASAM,parties.IN.IND,IND,1429,297,5.69,src-1b7bc1c9d39a
IN-AC-1967-puducherry-10,puducherry,1964,COUROUVINATTAM,7628,6611,86.67,SUBRAMANYA PADAYATCHI,parties.IN.IND,IND,3167,47.91,"PURUSHOTHAMAN, R.L.",parties.IN.INC,CONG,1760,1407,21.29,src-1b7bc1c9d39a
IN-AC-1967-puducherry-11,puducherry,1964,BAHOUR,6756,5244,77.62,"THANGAVELY, C.",parties.IN.UNK,PF,2612,49.81,"SIVA, A.",parties.IN.INC,CONG,2405,207,3.95,src-1b7bc1c9d39a
IN-AC-1967-puducherry-12,puducherry,1964,NETTAPACOM,7031,5943,84.53,VENKATASUBBAREDDY,parties.IN.INC,CONG,4965,83.54,"RAMAPUTHIRAN, S.",parties.IN.IND,IND,978,3987,67.08,src-1b7bc1c9d39a
IN-AC-1967-puducherry-13,puducherry,1964,TIROUBOUVANE,7860,5971,75.97,"KULANDAI, R.",parties.IN.IND,IND,3698,61.93,"THANGAVELY, S.",parties.IN.IND,IND,2273,1425,23.86,src-1b7bc1c9d39a
IN-AC-1967-puducherry-14,puducherry,1964,MANNADIPET,7912,6555,82.85,MANICKAVASAGA REDDIAR,parties.IN.INC,CONG,3369,51.4,"VENUGOPAL, M.,",parties.IN.UNK,PF,1347,2022,30.85,src-1b7bc1c9d39a
IN-AC-1967-puducherry-15,puducherry,1964,OUSSOUDOU,8332,5497,65.97,"HARIKRISHNAN, N.",parties.IN.INC,CONG,3027,55.07,PERUMAL.S,parties.IN.UNK,PF,2470,557,10.14,src-1b7bc1c9d39a
IN-AC-1967-puducherry-16,puducherry,1964,VILLENOUR,8747,6976,79.75,THILLAI KANAKARASU,parties.IN.INC,CONG,4025,57.7,"ABDUL RAHIMAN, M.",parties.IN.UNK,PF,2518,1507,21.6,src-1b7bc1c9d39a
IN-AC-1967-puducherry-17,puducherry,1964,EMBALOM,8119,6168,75.97,"ANGAMMAL, P",parties.IN.INC,CONG,4924,79.83,"ANDAVAN, S.",parties.IN.UNK,PF,1244,3680,59.66,src-1b7bc1c9d39a
IN-AC-1967-puducherry-18,puducherry,1964,OULGARET,7837,6136,78.3,"GOVINDASAMY, S.",parties.IN.INC,CONG,2511,40.92,"NARAYANASAMY, V.",parties.IN.UNK,PF,2481,30,0.49,src-1b7bc1c9d39a
IN-AC-1967-puducherry-19,puducherry,1964,CALAPETH,8943,6962,77.85,JEEVARATHINA UDAYAR,parties.IN.INC,CONG,4078,58.58,"NARAYANASAMY, P.",parties.IN.UNK,PF,1555,2523,36.24,src-1b7bc1c9d39a
IN-AC-1967-puducherry-2,puducherry,1964,COUROSSUCOUPOM,9426,6773,71.85,PADMINI CHANDRASEKARAN,parties.IN.INC,CONG,3605,53.23,"MURUGESA MUDALIAR, M.",parties.IN.IND,IND,3168,437,6.46,src-1b7bc1c9d39a
IN-AC-1967-puducherry-20,puducherry,1964,POUDOUSARAM,8049,5757,71.52,"GURUSAMY, N.",parties.IN.UNK,PF,2698,46.86,"RAJAMANICKAM, G.",parties.IN.INC,CONG,2426,272,4.72,src-1b7bc1c9d39a
IN-AC-1967-puducherry-21,puducherry,1964,COUCHERY,7457,6132,82.23,"NAGARAJAN, G.",parties.IN.INC,CONG,4313,70.34,"SOKALINGAME, S.",parties.IN.IND,IND,1614,2699,44.02,src-1b7bc1c9d39a
IN-AC-1967-puducherry-22,puducherry,1964,KARIKAL NORTH,9394,7467,79.49,FAROOK MARICAR,parties.IN.INC,CONG,4211,56.39,"SEMBULINGAM, M.",parties.IN.IND,IND,2033,2178,29.16,src-1b7bc1c9d39a
IN-AC-1967-puducherry-23,puducherry,1964,KARIKAL SOUTH,6320,4913,77.74,MOHAMED IBRAHIM MARICAR,parties.IN.IND,IND,2491,50.7,RAMASSAMY PILLAI,parties.IN.INC,CONG,2422,69,1.4,src-1b7bc1c9d39a
IN-AC-1967-puducherry-24,puducherry,1964,NERAVY,6665,5673,85.12,NAGAMUTTOU PILLAI,parties.IN.INC,CONG,3222,56.8,RAMASSAMY,parties.IN.IND,IND,2163,1059,18.67,src-1b7bc1c9d39a
IN-AC-1967-puducherry-25,puducherry,1964,GRAND ALDEE,5897,5021,85.14,"VARADHA PILLAI, V.M.C",parties.IN.INC,CONG,3544,70.58,PANDARINATHAN,parties.IN.IND,IND,1477,2067,41.16,src-1b7bc1c9d39a
IN-AC-1967-puducherry-26,puducherry,1964,TIRNOULAR,6886,5804,84.29,SUBARAYALU,parties.IN.INC,CONG,4000,68.92,SATHIAMOURTHY,parties.IN.IND,IND,1772,2228,38.39,src-1b7bc1c9d39a
