entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-puducherry-1,puducherry,1974,MUTHIALPET,12269,9835,80.16,"PAJANIRAJA, G.",parties.IN.ADK,ADK,4315,43.87,"THANGAPRAGASAM, M.",parties.IN.NCO,NCO,3842,473,4.81,src-1b7bc1c9d39a,minor,
IN-AC-1976-puducherry-10,puducherry,1974,EMBALOM,7998,6663,83.31,G. MURUGESAN,parties.IN.INC,INC,3140,47.13,SIVALOGANATHAN,parties.IN.DMK,DMK,1994,1146,17.2,src-1b7bc1c9d39a,minor,
IN-AC-1976-puducherry-11,puducherry,1974,NETTAPAKKAM,8138,7317,89.91,V. VENGATASUBBA REDDI,parties.IN.INC,INC,4072,55.65,S. VENGATACHALAPATHI,parties.IN.ADK,ADK,2598,1474,20.14,src-1b7bc1c9d39a,minor,
IN-AC-1976-puducherry-12,puducherry,1974,KURUVINATHAM,8986,7741,86.15,VENGATASAMY,parties.IN.ADK,ADK,3445,44.5,SUBRAMANIA PADAYATCHI,parties.IN.NCO,NCO,2642,803,10.37,src-1b7bc1c9d39a,minor,
IN-AC-1976-puducherry-13,puducherry,1974,BAHOUR,8424,7034,83.5,THANGAVEL CLAMANSO,parties.IN.CPI,CPI,2727,38.77,P. UTHARAVELU,parties.IN.IND,IND,2211,516,7.34,src-1b7bc1c9d39a,minor,
IN-AC-1976-puducherry-14,puducherry,1974,THIRUBUVANAI,9026,7644,84.69,A. GOPAL,parties.IN.INC,INC,2672,34.96,THANGAVELU,parties.IN.ADK,ADK,2637,35,0.46,src-1b7bc1c9d39a,minor,
IN-AC-1976-puducherry-15,puducherry,1974,MANNADIPATH,8506,7537,88.61,D. RAMACHANDIRA REDDIAR,parties.IN.ADK,ADK,3467,46,KANNAPPAN,parties.IN.NCO,NCO,2132,1335,17.71,src-1b7bc1c9d39a,minor,
IN-AC-1976-puducherry-16,puducherry,1974,OSSUDU,8688,7163,82.45,T. EZHUMALAI,parties.IN.ADK,ADK,3426,47.83,V. NAGARATHINAM,parties.IN.INC,INC,2461,965,13.47,src-1b7bc1c9d39a,minor,
IN-AC-1976-puducherry-17,puducherry,1974,VILLENOUR,8973,7601,84.71,M. K. JEEVARATHINA ODAYAR,parties.IN.NCO,NCO,2812,37,"THIRUKAMU, K.",parties.IN.ADK,ADK,2606,206,2.72,src-1b7bc1c9d39a,minor,
IN-AC-1976-puducherry-18,puducherry,1974,ORHUKARAI,8978,7560,84.21,"VENUGOPAL ALIAS MANNATHAN, G.",parties.IN.ADK,ADK,2982,39.44,"MUTHU, S.",parties.IN.DMK,DMK,2278,704,9.31,src-1b7bc1c9d39a,minor,
IN-AC-1976-puducherry-19,puducherry,1974,THATTANCHAVADY,9119,7402,81.17,"PETHAPERUMAL, V.",parties.IN.NCO,NCO,3468,46.85,"GURUSAMY, N.",parties.IN.CPI,CPI,2710,758,10.24,src-1b7bc1c9d39a,minor,
