entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-puducherry-4104,puducherry,2016,1,MANNADIPET,T.P.R. SELVAME,parties.IN.AINRC,AINRC,7679,28.68,1,won,U,44,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4104,puducherry,2016,1,MANNADIPET,A. KRISHNAN,parties.IN.DMK,DMK,7260,27.11,2,lost,U,53,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4104,puducherry,2016,1,MANNADIPET,MAHADEVI,parties.IN.AIADMK,ADMK,5676,21.2,3,lost,U,36,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4104,puducherry,2016,1,MANNADIPET,K.P.K. ARUL MURUGAN NAARAYANASSAAMY,parties.IN.IND,IND,4913,18.35,4,lost,U,40,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4104,puducherry,2016,1,MANNADIPET,VENKATESAN,parties.IN.PMK,PMK,260,0.97,6,forfeit,U,51,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4104,puducherry,2016,1,MANNADIPET,M. KARTHIKEYAN,parties.IN.DMDK,DMDK,220,0.82,7,forfeit,U,31,12th Pass,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4104,puducherry,2016,1,MANNADIPET,SADHASIVAM @ SARAVANAN,parties.IN.BJP,BJP,211,0.79,8,forfeit,U,41,Others,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4104,puducherry,2016,1,MANNADIPET,PURUSHOTHAMAN,parties.IN.BSP,BSP,85,0.32,9,forfeit,U,25,8th Pass,Workshop or Small Manufacturer,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4104,puducherry,2016,1,MANNADIPET,V. MURUGANANDHAM,parties.IN.IND,IND,56,0.21,10,forfeit,U,36,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4104,puducherry,2016,1,MANNADIPET,P. MUTHUKUMARAN,parties.IN.IJK,IJK,53,0.2,11,forfeit,U,40,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4104,puducherry,2016,1,MANNADIPET,BOOMILINGAM,,AGIMK,47,0.18,12,forfeit,U,29,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4117,puducherry,2016,2,THIRUBHUVANAI,B. KOBIGA,parties.IN.AINRC,AINRC,12143,44.73,1,won,U,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4117,puducherry,2016,2,THIRUBHUVANAI,P. ANGALANE,parties.IN.INC,INC,10711,39.45,2,lost,U,48,Post Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4117,puducherry,2016,2,THIRUBHUVANAI,M. SANKAR @ VADIVELAN,parties.IN.AIADMK,ADMK,1618,5.96,3,forfeit,U,49,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4117,puducherry,2016,2,THIRUBHUVANAI,L. KALIVARATHAN,parties.IN.CPIM,CPM,1484,5.47,4,forfeit,U,69,5th Pass,Party Worker,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4117,puducherry,2016,2,THIRUBHUVANAI,S.T.PARAMASIVAM ALIAS CALE,parties.IN.IND,IND,213,0.78,6,forfeit,U,42,5th Pass,Musician or Artist,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4117,puducherry,2016,2,THIRUBHUVANAI,SUNDARAMOORTHY,parties.IN.BJP,BJP,208,0.77,7,forfeit,U,48,10th Pass,Musician or Artist,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4117,puducherry,2016,2,THIRUBHUVANAI,S. KOMALA,parties.IN.IND,IND,113,0.42,8,forfeit,U,63,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4117,puducherry,2016,2,THIRUBHUVANAI,PERU. P. PANDIYAN,parties.IN.BSP,BSP,69,0.25,9,forfeit,U,37,Graduate Professional,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4117,puducherry,2016,2,THIRUBHUVANAI,A. EGAMBARAM,parties.IN.IND,IND,55,0.2,10,forfeit,U,55,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4117,puducherry,2016,2,THIRUBHUVANAI,G. BOOMILINGAM,,AGIMK,21,0.08,11,forfeit,U,29,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4117,puducherry,2016,2,THIRUBHUVANAI,E. ANANTHAVEL,parties.IN.IND,IND,19,0.07,12,forfeit,U,30,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4113,puducherry,2016,3,OUSSUDU,E. THEEPPAINTHAN,parties.IN.INC,INC,8675,33.02,1,won,U,51,Post Graduate,Ex Civil Service,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4113,puducherry,2016,3,OUSSUDU,SAI J SARAVANAN KUMAR,parties.IN.BJP,BJP,6345,24.15,2,lost,U,43,Graduate,Ex Govt Employee,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4113,puducherry,2016,3,OUSSUDU,M. VAITHIYANATHAN,parties.IN.AINRC,AINRC,5687,21.65,3,lost,U,52,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4113,puducherry,2016,3,OUSSUDU,P. KARTHIKEYAN,parties.IN.IND,IND,3397,12.93,4,forfeit,U,40,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4113,puducherry,2016,3,OUSSUDU,M. SELVARASSOU,parties.IN.AIADMK,ADMK,942,3.59,5,forfeit,U,60,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4113,puducherry,2016,3,OUSSUDU,D. ANGALAN,parties.IN.VCK,VCK,479,1.82,6,forfeit,U,56,10th Pass,Retired or Pension,challenger,src-1b7bc1c9d39a
IN-AC-2008-puducherry-4113,puducherry,2016,3,OUSSUDU,P. ASARAVEL,parties.IN.IND,IND,166,0.63,8,forfeit,U,43,,,challenger,src-1b7bc1c9d39a
